Date,Direxion Daily Energy Bear 3X SharesEtf_Open_average,Direxion Daily Energy Bear 3X SharesEtf_Open_max,Direxion Daily Energy Bear 3X SharesEtf_Open_min,Direxion Daily Energy Bear 3X SharesEtf_Open_volatility,Direxion Daily Energy Bear 3X SharesEtf_Open_change,Direxion Daily Energy Bear 3X SharesEtf_High_average,Direxion Daily Energy Bear 3X SharesEtf_High_max,Direxion Daily Energy Bear 3X SharesEtf_High_min,Direxion Daily Energy Bear 3X SharesEtf_High_volatility,Direxion Daily Energy Bear 3X SharesEtf_High_change,Direxion Daily Energy Bear 3X SharesEtf_Low_average,Direxion Daily Energy Bear 3X SharesEtf_Low_max,Direxion Daily Energy Bear 3X SharesEtf_Low_min,Direxion Daily Energy Bear 3X SharesEtf_Low_volatility,Direxion Daily Energy Bear 3X SharesEtf_Low_change,Direxion Daily Energy Bear 3X SharesEtf_Close_average,Direxion Daily Energy Bear 3X SharesEtf_Close_max,Direxion Daily Energy Bear 3X SharesEtf_Close_min,Direxion Daily Energy Bear 3X SharesEtf_Close_volatility,Direxion Daily Energy Bear 3X SharesEtf_Close_change
2018-01-14,38.25,38.25,38.25,0.0,0.0,38.5,38.5,38.5,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.75,37.75,37.75,0.0,0.0
2018-01-21,36.4,36.4,36.4,0.0,0.0,36.65,36.65,36.65,0.0,0.0,35.85,35.85,35.85,0.0,0.0,36.05,36.05,36.05,0.0,0.0
2018-01-28,40.7,40.7,40.7,0.0,0.0,44.15,44.15,44.15,0.0,0.0,40.55,40.55,40.55,0.0,0.0,43.6,43.6,43.6,0.0,0.0
2018-02-04,52.95,52.95,52.95,0.0,0.0,60.45,60.45,60.45,0.0,0.0,52.6,52.6,52.6,0.0,0.0,55.1,55.1,55.1,0.0,0.0
2018-02-11,51.55,51.55,51.55,0.0,0.0,52.3,52.3,52.3,0.0,0.0,49.95,49.95,49.95,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2018-02-18,52.55,52.55,52.55,0.0,0.0,52.65,52.65,52.65,0.0,0.0,49.55,49.55,49.55,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-02-25,55.75,55.75,55.75,0.0,0.0,56.9,56.9,56.9,0.0,0.0,53.2,53.2,53.2,0.0,0.0,53.75,53.75,53.75,0.0,0.0
2018-03-04,51.95,51.95,51.95,0.0,0.0,51.95,51.95,51.95,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-03-11,52.95,52.95,52.95,0.0,0.0,53.3,53.3,53.3,0.0,0.0,50.95,50.95,50.95,0.0,0.0,51.6,51.6,51.6,0.0,0.0
2018-03-18,50.65,50.65,50.65,0.0,0.0,52.74,52.74,52.74,0.0,0.0,48.88,48.88,48.88,0.0,0.0,52.3,52.3,52.3,0.0,0.0
