Date,VanEck Vectors Steel_etf_Open_average,VanEck Vectors Steel_etf_Open_max,VanEck Vectors Steel_etf_Open_min,VanEck Vectors Steel_etf_Open_volatility,VanEck Vectors Steel_etf_Open_change,VanEck Vectors Steel_etf_High_average,VanEck Vectors Steel_etf_High_max,VanEck Vectors Steel_etf_High_min,VanEck Vectors Steel_etf_High_volatility,VanEck Vectors Steel_etf_High_change,VanEck Vectors Steel_etf_Low_average,VanEck Vectors Steel_etf_Low_max,VanEck Vectors Steel_etf_Low_min,VanEck Vectors Steel_etf_Low_volatility,VanEck Vectors Steel_etf_Low_change,VanEck Vectors Steel_etf_Close_average,VanEck Vectors Steel_etf_Close_max,VanEck Vectors Steel_etf_Close_min,VanEck Vectors Steel_etf_Close_volatility,VanEck Vectors Steel_etf_Close_change
2018-01-14,50.13,50.13,50.13,0.0,0.0,50.52,50.52,50.52,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2018-01-21,50.59,50.59,50.59,0.0,0.0,51.14,51.14,51.14,0.0,0.0,50.43,50.43,50.43,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2018-01-28,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0,47.42,47.42,47.42,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2018-02-04,45.8,45.8,45.8,0.0,0.0,46.52,46.52,46.52,0.0,0.0,44.33,44.33,44.33,0.0,0.0,46.17,46.17,46.17,0.0,0.0
2018-02-11,49.65,49.65,49.65,0.0,0.0,51.57,51.57,51.57,0.0,0.0,49.41,49.41,49.41,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2018-02-18,50.9,50.9,50.9,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2018-02-25,48.93,48.93,48.93,0.0,0.0,49.27,49.27,49.27,0.0,0.0,47.91,47.91,47.91,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2018-03-04,48.77,48.77,48.77,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.69,48.69,48.69,0.0,0.0
2018-03-11,47.32,47.32,47.32,0.0,0.0,48.13,48.13,48.13,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.64,47.64,47.64,0.0,0.0
2018-03-18,45.05,45.05,45.05,0.0,0.0,45.45,45.45,45.45,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.33,44.33,44.33,0.0,0.0
