Date,PowerShares KBW Regional Banking Portfolio_Open_average,PowerShares KBW Regional Banking Portfolio_Open_max,PowerShares KBW Regional Banking Portfolio_Open_min,PowerShares KBW Regional Banking Portfolio_Open_volatility,PowerShares KBW Regional Banking Portfolio_Open_change,PowerShares KBW Regional Banking Portfolio_High_average,PowerShares KBW Regional Banking Portfolio_High_max,PowerShares KBW Regional Banking Portfolio_High_min,PowerShares KBW Regional Banking Portfolio_High_volatility,PowerShares KBW Regional Banking Portfolio_High_change,PowerShares KBW Regional Banking Portfolio_Low_average,PowerShares KBW Regional Banking Portfolio_Low_max,PowerShares KBW Regional Banking Portfolio_Low_min,PowerShares KBW Regional Banking Portfolio_Low_volatility,PowerShares KBW Regional Banking Portfolio_Low_change,PowerShares KBW Regional Banking Portfolio_Close_average,PowerShares KBW Regional Banking Portfolio_Close_max,PowerShares KBW Regional Banking Portfolio_Close_min,PowerShares KBW Regional Banking Portfolio_Close_volatility,PowerShares KBW Regional Banking Portfolio_Close_change
2018-01-14,59.47,59.47,59.47,0.0,0.0,59.47,59.47,59.47,0.0,0.0,59.07,59.07,59.07,0.0,0.0,59.46,59.46,59.46,0.0,0.0
2018-01-21,58.83,58.83,58.83,0.0,0.0,58.92,58.92,58.92,0.0,0.0,58.63,58.63,58.63,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2018-01-28,57.96,57.96,57.96,0.0,0.0,58.42,58.42,58.42,0.0,0.0,55.96,55.96,55.96,0.0,0.0,56.01,56.01,56.01,0.0,0.0
2018-02-04,56.39,56.39,56.39,0.0,0.0,56.81,56.81,56.81,0.0,0.0,55.7,55.7,55.7,0.0,0.0,56.19,56.19,56.19,0.0,0.0
2018-02-11,58.01,58.01,58.01,0.0,0.0,58.84,58.84,58.84,0.0,0.0,58.01,58.01,58.01,0.0,0.0,58.76,58.76,58.76,0.0,0.0
2018-02-18,58.42,58.42,58.42,0.0,0.0,58.54,58.54,58.54,0.0,0.0,57.93,57.93,57.93,0.0,0.0,58.52,58.52,58.52,0.0,0.0
2018-02-25,57.77,57.77,57.77,0.0,0.0,58.87,58.87,58.87,0.0,0.0,57.33,57.33,57.33,0.0,0.0,58.77,58.77,58.77,0.0,0.0
2018-03-04,60.19,60.19,60.19,0.0,0.0,60.47,60.47,60.47,0.0,0.0,59.99,59.99,59.99,0.0,0.0,60.34,60.34,60.34,0.0,0.0
2018-03-11,59.52,59.52,59.52,0.0,0.0,59.52,59.52,59.52,0.0,0.0,58.53,58.53,58.53,0.0,0.0,59.25,59.25,59.25,0.0,0.0
2018-03-18,55.8,55.8,55.8,0.0,0.0,56.38,56.38,56.38,0.0,0.0,55.5,55.5,55.5,0.0,0.0,56.38,56.38,56.38,0.0,0.0
2018-03-25,56.4,56.4,56.4,0.0,0.0,56.4,56.4,56.4,0.0,0.0,54.59,54.59,54.59,0.0,0.0,55.28,55.28,55.28,0.0,0.0
2018-04-01,55.81,55.81,55.81,0.0,0.0,56.39,56.39,56.39,0.0,0.0,55.64,55.64,55.64,0.0,0.0,55.64,55.64,55.64,0.0,0.0
2018-04-08,56.59,56.59,56.59,0.0,0.0,56.68,56.68,56.68,0.0,0.0,56.1,56.1,56.1,0.0,0.0,56.63,56.63,56.63,0.0,0.0
2018-04-15,57.06,57.06,57.06,0.0,0.0,57.67,57.67,57.67,0.0,0.0,57.06,57.06,57.06,0.0,0.0,57.6,57.6,57.6,0.0,0.0
2018-04-22,58.5,58.5,58.5,0.0,0.0,58.57,58.57,58.57,0.0,0.0,57.37,57.37,57.37,0.0,0.0,57.47,57.47,57.47,0.0,0.0
2018-04-29,58.07,58.07,58.07,0.0,0.0,58.55,58.55,58.55,0.0,0.0,57.6,57.6,57.6,0.0,0.0,58.24,58.24,58.24,0.0,0.0
2018-05-06,59.35,59.35,59.35,0.0,0.0,59.4,59.4,59.4,0.0,0.0,59.01,59.01,59.01,0.0,0.0,59.01,59.01,59.01,0.0,0.0
2018-05-13,59.91,59.91,59.91,0.0,0.0,60.53,60.53,60.53,0.0,0.0,59.91,59.91,59.91,0.0,0.0,60.48,60.48,60.48,0.0,0.0
2018-05-20,59.91,59.91,59.91,0.0,0.0,60.23,60.23,60.23,0.0,0.0,59.84,59.84,59.84,0.0,0.0,60.08,60.08,60.08,0.0,0.0
2018-05-27,60.08,60.08,60.08,0.0,0.0,60.64,60.64,60.64,0.0,0.0,59.98,59.98,59.98,0.0,0.0,60.64,60.64,60.64,0.0,0.0
2018-06-03,62.01,62.01,62.01,0.0,0.0,62.03,62.03,62.03,0.0,0.0,60.78,60.78,60.78,0.0,0.0,61.04,61.04,61.04,0.0,0.0
2018-06-10,59.24,59.24,59.24,0.0,0.0,60.2,60.2,60.2,0.0,0.0,59.24,59.24,59.24,0.0,0.0,59.83,59.83,59.83,0.0,0.0
2018-06-17,59.75,59.75,59.75,0.0,0.0,59.75,59.75,59.75,0.0,0.0,58.82,58.82,58.82,0.0,0.0,59.38,59.38,59.38,0.0,0.0
2018-06-24,57.11,57.11,57.11,0.0,0.0,57.86,57.86,57.86,0.0,0.0,57.01,57.01,57.01,0.0,0.0,57.84,57.84,57.84,0.0,0.0
2018-07-01,58.69,58.69,58.69,0.0,0.0,59.74,59.74,59.74,0.0,0.0,58.69,58.69,58.69,0.0,0.0,59.64,59.64,59.64,0.0,0.0
2018-07-08,57.34,57.34,57.34,0.0,0.0,57.99,57.99,57.99,0.0,0.0,57.34,57.34,57.34,0.0,0.0,57.93,57.93,57.93,0.0,0.0
2018-07-15,59.09,59.09,59.09,0.0,0.0,59.85,59.85,59.85,0.0,0.0,59.03,59.03,59.03,0.0,0.0,59.78,59.78,59.78,0.0,0.0
2018-07-22,58.33,58.33,58.33,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.08,58.08,58.08,0.0,0.0,58.09,58.09,58.09,0.0,0.0
2018-07-29,58.16,58.16,58.16,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.09,58.09,58.09,0.0,0.0,58.23,58.23,58.23,0.0,0.0
2018-08-05,58.32,58.32,58.32,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.29,58.29,58.29,0.0,0.0,58.38,58.38,58.38,0.0,0.0
2018-08-12,59.48,59.48,59.48,0.0,0.0,59.76,59.76,59.76,0.0,0.0,59.13,59.13,59.13,0.0,0.0,59.64,59.64,59.64,0.0,0.0
2018-08-19,59.77,59.77,59.77,0.0,0.0,59.98,59.98,59.98,0.0,0.0,59.38,59.38,59.38,0.0,0.0,59.42,59.42,59.42,0.0,0.0
2018-08-26,58.82,58.82,58.82,0.0,0.0,59.13,59.13,59.13,0.0,0.0,58.82,58.82,58.82,0.0,0.0,59.13,59.13,59.13,0.0,0.0
2018-09-02,59.48,59.48,59.48,0.0,0.0,59.54,59.54,59.54,0.0,0.0,59.12,59.12,59.12,0.0,0.0,59.12,59.12,59.12,0.0,0.0
2018-09-09,58.52,58.52,58.52,0.0,0.0,58.52,58.52,58.52,0.0,0.0,57.77,57.77,57.77,0.0,0.0,57.77,57.77,57.77,0.0,0.0
2018-09-16,57.35,57.35,57.35,0.0,0.0,57.43,57.43,57.43,0.0,0.0,57.25,57.25,57.25,0.0,0.0,57.29,57.29,57.29,0.0,0.0
2018-09-23,56.05,56.05,56.05,0.0,0.0,56.05,56.05,56.05,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.06,55.06,55.06,0.0,0.0
2018-09-30,55.85,55.85,55.85,0.0,0.0,56.61,56.61,56.61,0.0,0.0,55.67,55.67,55.67,0.0,0.0,56.5,56.5,56.5,0.0,0.0
2018-10-07,52.4,52.4,52.4,0.0,0.0,53.1,53.1,53.1,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2018-10-14,51.42,51.42,51.42,0.0,0.0,51.45,51.45,51.45,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2018-10-21,49.4,49.4,49.4,0.0,0.0,50.32,50.32,50.32,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2018-10-28,51.51,51.51,51.51,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.65,51.65,51.65,0.0,0.0
2018-11-04,52.19,52.19,52.19,0.0,0.0,52.35,52.35,52.35,0.0,0.0,51.88,51.88,51.88,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-11-11,52.35,52.35,52.35,0.0,0.0,52.68,52.68,52.68,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2018-11-18,52.01,52.01,52.01,0.0,0.0,52.54,52.54,52.54,0.0,0.0,52.01,52.01,52.01,0.0,0.0,52.18,52.18,52.18,0.0,0.0
2018-11-25,53.84,53.84,53.84,0.0,0.0,53.84,53.84,53.84,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2018-12-02,49.45,49.45,49.45,0.0,0.0,49.45,49.45,49.45,0.0,0.0,48.27,48.27,48.27,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2018-12-09,46.48,46.48,46.48,0.0,0.0,47.36,47.36,47.36,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2018-12-16,42.76,42.76,42.76,0.0,0.0,43.25,43.25,43.25,0.0,0.0,42.37,42.37,42.37,0.0,0.0,42.37,42.37,42.37,0.0,0.0
2018-12-23,44.77,44.77,44.77,0.0,0.0,44.8,44.8,44.8,0.0,0.0,43.89,43.89,43.89,0.0,0.0,44.8,44.8,44.8,0.0,0.0
2018-12-30,46.76,46.76,46.76,0.0,0.0,47.35,47.35,47.35,0.0,0.0,46.56,46.56,46.56,0.0,0.0,47.1,47.1,47.1,0.0,0.0
2019-01-06,47.99,47.99,47.99,0.0,0.0,48.49,48.49,48.49,0.0,0.0,47.99,47.99,47.99,0.0,0.0,48.16,48.16,48.16,0.0,0.0
2019-01-13,50.2,50.2,50.2,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.74,50.74,50.74,0.0,0.0
2019-01-20,50.51,50.51,50.51,0.0,0.0,51.47,51.47,51.47,0.0,0.0,50.51,50.51,50.51,0.0,0.0,51.31,51.31,51.31,0.0,0.0
2019-01-27,50.92,50.92,50.92,0.0,0.0,51.61,51.61,51.61,0.0,0.0,50.89,50.89,50.89,0.0,0.0,51.61,51.61,51.61,0.0,0.0
2019-02-03,51.78,51.78,51.78,0.0,0.0,52.09,52.09,52.09,0.0,0.0,51.71,51.71,51.71,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2019-02-10,52.51,52.51,52.51,0.0,0.0,53.34,53.34,53.34,0.0,0.0,52.51,52.51,52.51,0.0,0.0,53.16,53.16,53.16,0.0,0.0
2019-02-17,54.6,54.6,54.6,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2019-02-24,53.79,53.79,53.79,0.0,0.0,53.79,53.79,53.79,0.0,0.0,53.2,53.2,53.2,0.0,0.0,53.47,53.47,53.47,0.0,0.0
2019-03-03,51.24,51.24,51.24,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.67,51.67,51.67,0.0,0.0
2019-03-10,51.89,51.89,51.89,0.0,0.0,52.42,52.42,52.42,0.0,0.0,51.89,51.89,51.89,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2019-03-17,47.13,47.13,47.13,0.0,0.0,47.24,47.24,47.24,0.0,0.0,46.74,46.74,46.74,0.0,0.0,47.07,47.07,47.07,0.0,0.0
2019-03-24,49.14,49.14,49.14,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.14,49.14,49.14,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2019-03-31,50.95,50.95,50.95,0.0,0.0,51.31,51.31,51.31,0.0,0.0,50.91,50.91,50.91,0.0,0.0,51.11,51.11,51.11,0.0,0.0
2019-04-07,51.89,51.89,51.89,0.0,0.0,51.89,51.89,51.89,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2019-04-14,51.1,51.1,51.1,0.0,0.0,51.1,51.1,51.1,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2019-04-21,52.38,52.38,52.38,0.0,0.0,53.17,53.17,53.17,0.0,0.0,52.38,52.38,52.38,0.0,0.0,53.02,53.02,53.02,0.0,0.0
2019-04-28,52.37,52.37,52.37,0.0,0.0,53.66,53.66,53.66,0.0,0.0,52.37,52.37,52.37,0.0,0.0,53.66,53.66,53.66,0.0,0.0
2019-05-05,50.95,50.95,50.95,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2019-05-12,49.84,49.84,49.84,0.0,0.0,50.69,50.69,50.69,0.0,0.0,49.84,49.84,49.84,0.0,0.0,50.58,50.58,50.58,0.0,0.0
2019-05-19,49.31,49.31,49.31,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.6,49.6,49.6,0.0,0.0
2019-05-26,47.27,47.27,47.27,0.0,0.0,48.3,48.3,48.3,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.94,47.94,47.94,0.0,0.0
2019-06-02,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.52,49.52,49.52,0.0,0.0
