Date,ProShares Short MSCI Emerging Markets_Open_average,ProShares Short MSCI Emerging Markets_Open_max,ProShares Short MSCI Emerging Markets_Open_min,ProShares Short MSCI Emerging Markets_Open_volatility,ProShares Short MSCI Emerging Markets_Open_change,ProShares Short MSCI Emerging Markets_High_average,ProShares Short MSCI Emerging Markets_High_max,ProShares Short MSCI Emerging Markets_High_min,ProShares Short MSCI Emerging Markets_High_volatility,ProShares Short MSCI Emerging Markets_High_change,ProShares Short MSCI Emerging Markets_Low_average,ProShares Short MSCI Emerging Markets_Low_max,ProShares Short MSCI Emerging Markets_Low_min,ProShares Short MSCI Emerging Markets_Low_volatility,ProShares Short MSCI Emerging Markets_Low_change,ProShares Short MSCI Emerging Markets_Close_average,ProShares Short MSCI Emerging Markets_Close_max,ProShares Short MSCI Emerging Markets_Close_min,ProShares Short MSCI Emerging Markets_Close_volatility,ProShares Short MSCI Emerging Markets_Close_change
2018-01-14,16.8,16.8,16.8,0.0,0.0,16.86,16.86,16.86,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.75,16.75,16.75,0.0,0.0
2018-01-21,16.36,16.36,16.36,0.0,0.0,16.37,16.37,16.37,0.0,0.0,16.23,16.23,16.23,0.0,0.0,16.23,16.23,16.23,0.0,0.0
2018-01-28,16.98,16.98,16.98,0.0,0.0,17.22,17.22,17.22,0.0,0.0,16.97,16.97,16.97,0.0,0.0,17.21,17.21,17.21,0.0,0.0
2018-02-04,18.16,18.16,18.16,0.0,0.0,18.65,18.65,18.65,0.0,0.0,17.96,17.96,17.96,0.0,0.0,18.1,18.1,18.1,0.0,0.0
2018-02-11,17.0,17.0,17.0,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.94,16.94,16.94,0.0,0.0
2018-02-18,16.99,16.99,16.99,0.0,0.0,17.04,17.04,17.04,0.0,0.0,16.87,16.87,16.87,0.0,0.0,16.88,16.88,16.88,0.0,0.0
2018-02-25,17.72,17.72,17.72,0.0,0.0,17.77,17.77,17.77,0.0,0.0,17.38,17.38,17.38,0.0,0.0,17.41,17.41,17.41,0.0,0.0
2018-03-04,17.09,17.09,17.09,0.0,0.0,17.09,17.09,17.09,0.0,0.0,16.83,16.83,16.83,0.0,0.0,16.84,16.84,16.84,0.0,0.0
2018-03-11,17.05,17.05,17.05,0.0,0.0,17.06,17.06,17.06,0.0,0.0,16.99,16.99,16.99,0.0,0.0,17.02,17.02,17.02,0.0,0.0
2018-03-18,17.46,17.46,17.46,0.0,0.0,17.84,17.84,17.84,0.0,0.0,17.43,17.43,17.43,0.0,0.0,17.84,17.84,17.84,0.0,0.0
