Date,iShares Currency Hedged MSCI ACWI ex US_etf_Open_average,iShares Currency Hedged MSCI ACWI ex US_etf_Open_max,iShares Currency Hedged MSCI ACWI ex US_etf_Open_min,iShares Currency Hedged MSCI ACWI ex US_etf_Open_volatility,iShares Currency Hedged MSCI ACWI ex US_etf_Open_change,iShares Currency Hedged MSCI ACWI ex US_etf_High_average,iShares Currency Hedged MSCI ACWI ex US_etf_High_max,iShares Currency Hedged MSCI ACWI ex US_etf_High_min,iShares Currency Hedged MSCI ACWI ex US_etf_High_volatility,iShares Currency Hedged MSCI ACWI ex US_etf_High_change,iShares Currency Hedged MSCI ACWI ex US_etf_Low_average,iShares Currency Hedged MSCI ACWI ex US_etf_Low_max,iShares Currency Hedged MSCI ACWI ex US_etf_Low_min,iShares Currency Hedged MSCI ACWI ex US_etf_Low_volatility,iShares Currency Hedged MSCI ACWI ex US_etf_Low_change,iShares Currency Hedged MSCI ACWI ex US_etf_Close_average,iShares Currency Hedged MSCI ACWI ex US_etf_Close_max,iShares Currency Hedged MSCI ACWI ex US_etf_Close_min,iShares Currency Hedged MSCI ACWI ex US_etf_Close_volatility,iShares Currency Hedged MSCI ACWI ex US_etf_Close_change
2018-01-14,27.78,27.78,27.78,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.83,27.83,27.83,0.0,0.0
2018-01-21,27.92,27.92,27.92,0.0,0.0,27.98,27.98,27.98,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2018-01-28,27.15,27.15,27.15,0.0,0.0,27.23,27.23,27.23,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0
2018-02-04,25.83,25.83,25.83,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2018-02-11,26.61,26.61,26.61,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-02-18,26.72,26.72,26.72,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2018-02-25,25.93,25.93,25.93,0.0,0.0,26.1,26.1,26.1,0.0,0.0,25.93,25.93,25.93,0.0,0.0,26.1,26.1,26.1,0.0,0.0
2018-03-04,26.51,26.51,26.51,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.65,26.65,26.65,0.0,0.0
2018-03-11,26.66,26.66,26.66,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2018-03-18,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2018-03-25,26.08,26.08,26.08,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2018-04-01,26.28,26.28,26.28,0.0,0.0,26.28,26.28,26.28,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2018-04-08,26.4,26.4,26.4,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2018-04-15,26.61,26.61,26.61,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2018-04-22,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2018-04-29,26.83,26.83,26.83,0.0,0.0,27.01,27.01,27.01,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.96,26.96,26.96,0.0,0.0
2018-05-06,27.34,27.34,27.34,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.36,27.36,27.36,0.0,0.0
2018-05-13,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0
2018-05-20,27.09,27.09,27.09,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.1,27.1,27.1,0.0,0.0
2018-05-27,26.97,26.97,26.97,0.0,0.0,27.0,27.0,27.0,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.95,26.95,26.95,0.0,0.0
2018-06-03,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2018-06-10,27.03,27.03,27.03,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2018-06-17,26.73,26.73,26.73,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-06-24,26.49,26.49,26.49,0.0,0.0,26.52,26.52,26.52,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.52,26.52,26.52,0.0,0.0
2018-07-01,26.27,26.27,26.27,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0
2018-07-08,26.54,26.54,26.54,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-07-15,26.53,26.53,26.53,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2018-07-22,26.83,26.83,26.83,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.85,26.85,26.85,0.0,0.0
2018-07-29,26.64,26.64,26.64,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.73,26.73,26.73,0.0,0.0
2018-08-05,26.45,26.45,26.45,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2018-08-12,26.17,26.17,26.17,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2018-08-19,26.57,26.57,26.57,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-08-26,26.58,26.58,26.58,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-09-02,25.84,25.84,25.84,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2018-09-09,26.31,26.31,26.31,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.22,26.22,26.22,0.0,0.0
2018-09-16,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2018-09-23,26.9,26.9,26.9,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.93,26.93,26.93,0.0,0.0
2018-09-30,26.33,26.33,26.33,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.21,26.21,26.21,0.0,0.0
2018-10-07,24.99,24.99,24.99,0.0,0.0,25.22,25.22,25.22,0.0,0.0,24.99,24.99,24.99,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2018-10-14,25.17,25.17,25.17,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2018-10-21,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-10-28,25.04,25.04,25.04,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-11-04,25.21,25.21,25.21,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-11-11,25.17,25.17,25.17,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2018-11-18,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2018-11-25,25.24,25.24,25.24,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.27,25.27,25.27,0.0,0.0
2018-12-02,24.73,24.73,24.73,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.47,24.47,24.47,0.0,0.0
2018-12-09,24.72,24.72,24.72,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2018-12-16,23.81,23.81,23.81,0.0,0.0,23.81,23.81,23.81,0.0,0.0,23.58,23.58,23.58,0.0,0.0,23.66,23.66,23.66,0.0,0.0
2018-12-23,23.74,23.74,23.74,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.69,23.69,23.69,0.0,0.0,23.79,23.79,23.79,0.0,0.0
2018-12-30,23.85,23.85,23.85,0.0,0.0,24.13,24.13,24.13,0.0,0.0,23.82,23.82,23.82,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2019-01-06,24.5,24.5,24.5,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.48,24.48,24.48,0.0,0.0
2019-01-13,25.01,25.01,25.01,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.1,25.1,25.1,0.0,0.0
2019-01-20,25.1,25.1,25.1,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2019-01-27,25.31,25.31,25.31,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2019-02-03,25.16,25.16,25.16,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.24,25.24,25.24,0.0,0.0
2019-02-10,25.75,25.75,25.75,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.8,25.8,25.8,0.0,0.0
