Date,WisdomTree Emerging Markets Local Debt_Open_average,WisdomTree Emerging Markets Local Debt_Open_max,WisdomTree Emerging Markets Local Debt_Open_min,WisdomTree Emerging Markets Local Debt_Open_volatility,WisdomTree Emerging Markets Local Debt_Open_change,WisdomTree Emerging Markets Local Debt_High_average,WisdomTree Emerging Markets Local Debt_High_max,WisdomTree Emerging Markets Local Debt_High_min,WisdomTree Emerging Markets Local Debt_High_volatility,WisdomTree Emerging Markets Local Debt_High_change,WisdomTree Emerging Markets Local Debt_Low_average,WisdomTree Emerging Markets Local Debt_Low_max,WisdomTree Emerging Markets Local Debt_Low_min,WisdomTree Emerging Markets Local Debt_Low_volatility,WisdomTree Emerging Markets Local Debt_Low_change,WisdomTree Emerging Markets Local Debt_Close_average,WisdomTree Emerging Markets Local Debt_Close_max,WisdomTree Emerging Markets Local Debt_Close_min,WisdomTree Emerging Markets Local Debt_Close_volatility,WisdomTree Emerging Markets Local Debt_Close_change
2018-01-14,39.61,39.61,39.61,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2018-01-21,39.66,39.66,39.66,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.63,39.63,39.63,0.0,0.0
2018-01-28,39.63,39.63,39.63,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.22,39.22,39.22,0.0,0.0
2018-02-04,39.15,39.15,39.15,0.0,0.0,39.25,39.25,39.25,0.0,0.0,38.94,38.94,38.94,0.0,0.0,39.03,39.03,39.03,0.0,0.0
2018-02-11,39.54,39.54,39.54,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.71,39.71,39.71,0.0,0.0
2018-02-18,39.43,39.43,39.43,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.56,39.56,39.56,0.0,0.0
2018-02-25,38.98,38.98,38.98,0.0,0.0,39.3,39.3,39.3,0.0,0.0,38.95,38.95,38.95,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2018-03-04,39.21,39.21,39.21,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.13,39.13,39.13,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2018-03-11,38.85,38.85,38.85,0.0,0.0,39.03,39.03,39.03,0.0,0.0,38.75,38.75,38.75,0.0,0.0,39.03,39.03,39.03,0.0,0.0
2018-03-18,39.26,39.26,39.26,0.0,0.0,39.3,39.3,39.3,0.0,0.0,39.04,39.04,39.04,0.0,0.0,39.26,39.26,39.26,0.0,0.0
