Date,Guggenheim Invest Mid-Cap Core_Open_average,Guggenheim Invest Mid-Cap Core_Open_max,Guggenheim Invest Mid-Cap Core_Open_min,Guggenheim Invest Mid-Cap Core_Open_volatility,Guggenheim Invest Mid-Cap Core_Open_change,Guggenheim Invest Mid-Cap Core_High_average,Guggenheim Invest Mid-Cap Core_High_max,Guggenheim Invest Mid-Cap Core_High_min,Guggenheim Invest Mid-Cap Core_High_volatility,Guggenheim Invest Mid-Cap Core_High_change,Guggenheim Invest Mid-Cap Core_Low_average,Guggenheim Invest Mid-Cap Core_Low_max,Guggenheim Invest Mid-Cap Core_Low_min,Guggenheim Invest Mid-Cap Core_Low_volatility,Guggenheim Invest Mid-Cap Core_Low_change,Guggenheim Invest Mid-Cap Core_Close_average,Guggenheim Invest Mid-Cap Core_Close_max,Guggenheim Invest Mid-Cap Core_Close_min,Guggenheim Invest Mid-Cap Core_Close_volatility,Guggenheim Invest Mid-Cap Core_Close_change
2018-01-14,67.98,67.98,67.98,0.0,0.0,68.11,68.11,68.11,0.0,0.0,67.79,67.79,67.79,0.0,0.0,68.09,68.09,68.09,0.0,0.0
2018-01-21,68.82,68.82,68.82,0.0,0.0,68.84,68.84,68.84,0.0,0.0,68.5,68.5,68.5,0.0,0.0,68.62,68.62,68.62,0.0,0.0
2018-01-28,66.6,66.6,66.6,0.0,0.0,66.8,66.8,66.8,0.0,0.0,64.44,64.44,64.44,0.0,0.0,64.44,64.44,64.44,0.0,0.0
2018-02-04,63.53,63.53,63.53,0.0,0.0,64.33,64.33,64.33,0.0,0.0,63.42,63.42,63.42,0.0,0.0,64.05,64.05,64.05,0.0,0.0
2018-02-11,65.57,65.57,65.57,0.0,0.0,66.12,66.12,66.12,0.0,0.0,65.56,65.56,65.56,0.0,0.0,65.87,65.87,65.87,0.0,0.0
2018-02-18,66.22,66.22,66.22,0.0,0.0,66.46,66.46,66.46,0.0,0.0,65.92,65.92,65.92,0.0,0.0,66.32,66.32,66.32,0.0,0.0
2018-02-25,64.46,64.46,64.46,0.0,0.0,65.52,65.52,65.52,0.0,0.0,64.4,64.4,64.4,0.0,0.0,65.37,65.37,65.37,0.0,0.0
2018-03-04,67.23,67.23,67.23,0.0,0.0,67.23,67.23,67.23,0.0,0.0,66.81,66.81,66.81,0.0,0.0,66.97,66.97,66.97,0.0,0.0
2018-03-11,66.04,66.04,66.04,0.0,0.0,66.05,66.05,66.05,0.0,0.0,65.41,65.41,65.41,0.0,0.0,65.62,65.62,65.62,0.0,0.0
2018-03-18,63.84,63.84,63.84,0.0,0.0,64.55,64.55,64.55,0.0,0.0,63.65,63.65,63.65,0.0,0.0,64.47,64.47,64.47,0.0,0.0
