Date,Arrow Investments DWA Tactical_etf_Open_average,Arrow Investments DWA Tactical_etf_Open_max,Arrow Investments DWA Tactical_etf_Open_min,Arrow Investments DWA Tactical_etf_Open_volatility,Arrow Investments DWA Tactical_etf_Open_change,Arrow Investments DWA Tactical_etf_High_average,Arrow Investments DWA Tactical_etf_High_max,Arrow Investments DWA Tactical_etf_High_min,Arrow Investments DWA Tactical_etf_High_volatility,Arrow Investments DWA Tactical_etf_High_change,Arrow Investments DWA Tactical_etf_Low_average,Arrow Investments DWA Tactical_etf_Low_max,Arrow Investments DWA Tactical_etf_Low_min,Arrow Investments DWA Tactical_etf_Low_volatility,Arrow Investments DWA Tactical_etf_Low_change,Arrow Investments DWA Tactical_etf_Close_average,Arrow Investments DWA Tactical_etf_Close_max,Arrow Investments DWA Tactical_etf_Close_min,Arrow Investments DWA Tactical_etf_Close_volatility,Arrow Investments DWA Tactical_etf_Close_change
2018-01-14,12.24,12.24,12.24,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.24,12.24,12.24,0.0,0.0,12.25,12.25,12.25,0.0,0.0
2018-01-21,12.5,12.5,12.5,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.5,12.5,12.5,0.0,0.0
2018-01-28,12.14,12.14,12.14,0.0,0.0,12.14,12.14,12.14,0.0,0.0,12.12,12.12,12.12,0.0,0.0,12.14,12.14,12.14,0.0,0.0
2018-02-04,11.4,11.4,11.4,0.0,0.0,11.4,11.4,11.4,0.0,0.0,11.29,11.29,11.29,0.0,0.0,11.29,11.29,11.29,0.0,0.0
2018-02-11,12.11,12.11,12.11,0.0,0.0,12.11,12.11,12.11,0.0,0.0,12.11,12.11,12.11,0.0,0.0,12.11,12.11,12.11,0.0,0.0
2018-02-18,11.97,11.97,11.97,0.0,0.0,12.04,12.04,12.04,0.0,0.0,11.97,11.97,11.97,0.0,0.0,12.04,12.04,12.04,0.0,0.0
2018-02-25,11.49,11.49,11.49,0.0,0.0,11.74,11.74,11.74,0.0,0.0,11.47,11.47,11.47,0.0,0.0,11.74,11.74,11.74,0.0,0.0
2018-03-04,12.17,12.17,12.17,0.0,0.0,12.17,12.17,12.17,0.0,0.0,12.17,12.17,12.17,0.0,0.0,12.17,12.17,12.17,0.0,0.0
2018-03-11,12.06,12.06,12.06,0.0,0.0,12.06,12.06,12.06,0.0,0.0,12.06,12.06,12.06,0.0,0.0,12.06,12.06,12.06,0.0,0.0
2018-03-18,11.66,11.66,11.66,0.0,0.0,11.66,11.66,11.66,0.0,0.0,11.54,11.54,11.54,0.0,0.0,11.54,11.54,11.54,0.0,0.0
