Date,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Open_average,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Open_max,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Open_min,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Open_volatility,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Open_change,iPath Bloomberg Cocoa Subindex Total Return Exp 24_High_average,iPath Bloomberg Cocoa Subindex Total Return Exp 24_High_max,iPath Bloomberg Cocoa Subindex Total Return Exp 24_High_min,iPath Bloomberg Cocoa Subindex Total Return Exp 24_High_volatility,iPath Bloomberg Cocoa Subindex Total Return Exp 24_High_change,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Low_average,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Low_max,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Low_min,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Low_volatility,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Low_change,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Close_average,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Close_max,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Close_min,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Close_volatility,iPath Bloomberg Cocoa Subindex Total Return Exp 24_Close_change
2018-01-14,23.82,23.82,23.82,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2018-01-21,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.56,23.56,23.56,0.0,0.0
2018-01-28,25.13,25.13,25.13,0.0,0.0,25.25,25.25,25.25,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.68,24.68,24.68,0.0,0.0
2018-02-04,24.37,24.37,24.37,0.0,0.0,24.54,24.54,24.54,0.0,0.0,23.85,23.85,23.85,0.0,0.0,24.06,24.06,24.06,0.0,0.0
2018-02-11,25.73,25.73,25.73,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.49,25.49,25.49,0.0,0.0
2018-02-18,26.25,26.25,26.25,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.94,26.94,26.94,0.0,0.0
2018-02-25,28.99,28.99,28.99,0.0,0.0,30.03,30.03,30.03,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2018-03-04,30.85,30.85,30.85,0.0,0.0,31.5,31.5,31.5,0.0,0.0,30.85,30.85,30.85,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-03-11,31.26,31.26,31.26,0.0,0.0,31.32,31.32,31.32,0.0,0.0,29.84,29.84,29.84,0.0,0.0,30.08,30.08,30.08,0.0,0.0
2018-03-18,32.26,32.26,32.26,0.0,0.0,32.55,32.55,32.55,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2018-03-25,31.86,31.86,31.86,0.0,0.0,32.6,32.6,32.6,0.0,0.0,31.86,31.86,31.86,0.0,0.0,32.12,32.12,32.12,0.0,0.0
