Date,PowerShares WilderHill Clean Energy_Open_average,PowerShares WilderHill Clean Energy_Open_max,PowerShares WilderHill Clean Energy_Open_min,PowerShares WilderHill Clean Energy_Open_volatility,PowerShares WilderHill Clean Energy_Open_change,PowerShares WilderHill Clean Energy_High_average,PowerShares WilderHill Clean Energy_High_max,PowerShares WilderHill Clean Energy_High_min,PowerShares WilderHill Clean Energy_High_volatility,PowerShares WilderHill Clean Energy_High_change,PowerShares WilderHill Clean Energy_Low_average,PowerShares WilderHill Clean Energy_Low_max,PowerShares WilderHill Clean Energy_Low_min,PowerShares WilderHill Clean Energy_Low_volatility,PowerShares WilderHill Clean Energy_Low_change,PowerShares WilderHill Clean Energy_Close_average,PowerShares WilderHill Clean Energy_Close_max,PowerShares WilderHill Clean Energy_Close_min,PowerShares WilderHill Clean Energy_Close_volatility,PowerShares WilderHill Clean Energy_Close_change
2018-01-14,25.67,25.67,25.67,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2018-01-21,25.27,25.27,25.27,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2018-01-28,24.01,24.01,24.01,0.0,0.0,24.2,24.2,24.2,0.0,0.0,23.31,23.31,23.31,0.0,0.0,23.31,23.31,23.31,0.0,0.0
2018-02-04,23.3,23.3,23.3,0.0,0.0,23.56,23.56,23.56,0.0,0.0,23.07,23.07,23.07,0.0,0.0,23.37,23.37,23.37,0.0,0.0
2018-02-11,24.73,24.73,24.73,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2018-02-18,25.06,25.06,25.06,0.0,0.0,25.25,25.25,25.25,0.0,0.0,24.86,24.86,24.86,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2018-02-25,24.15,24.15,24.15,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.12,24.12,24.12,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2018-03-04,25.38,25.38,25.38,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.61,25.61,25.61,0.0,0.0
2018-03-11,25.57,25.57,25.57,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2018-03-18,25.21,25.21,25.21,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2018-03-25,24.84,24.84,24.84,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2018-04-01,25.12,25.12,25.12,0.0,0.0,25.24,25.24,25.24,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0
2018-04-08,25.17,25.17,25.17,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2018-04-15,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.27,25.27,25.27,0.0,0.0
2018-04-22,25.07,25.07,25.07,0.0,0.0,25.08,25.08,25.08,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2018-04-29,25.31,25.31,25.31,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-05-06,26.37,26.37,26.37,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.57,26.57,26.57,0.0,0.0
2018-05-13,26.74,26.74,26.74,0.0,0.0,27.09,27.09,27.09,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.92,26.92,26.92,0.0,0.0
2018-05-20,26.19,26.19,26.19,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2018-05-27,25.9,25.9,25.9,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.59,25.59,25.59,0.0,0.0
2018-06-03,25.25,25.25,25.25,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.16,25.16,25.16,0.0,0.0
2018-06-10,24.83,24.83,24.83,0.0,0.0,25.24,25.24,25.24,0.0,0.0,24.83,24.83,24.83,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2018-06-17,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.94,24.94,24.94,0.0,0.0
2018-06-24,24.81,24.81,24.81,0.0,0.0,25.11,25.11,25.11,0.0,0.0,24.81,24.81,24.81,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2018-07-01,25.64,25.64,25.64,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2018-07-08,25.39,25.39,25.39,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-07-15,25.0,25.0,25.0,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.89,24.89,24.89,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2018-07-22,24.99,24.99,24.99,0.0,0.0,25.1,25.1,25.1,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.78,24.78,24.78,0.0,0.0
2018-07-29,25.39,25.39,25.39,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.63,25.63,25.63,0.0,0.0
2018-08-05,25.65,25.65,25.65,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2018-08-12,25.02,25.02,25.02,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2018-08-19,25.8,25.8,25.8,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2018-08-26,25.71,25.71,25.71,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2018-09-02,25.11,25.11,25.11,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2018-09-09,25.34,25.34,25.34,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2018-09-16,25.81,25.81,25.81,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.61,25.61,25.61,0.0,0.0
2018-09-23,25.05,25.05,25.05,0.0,0.0,25.14,25.14,25.14,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2018-09-30,23.87,23.87,23.87,0.0,0.0,23.98,23.98,23.98,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.98,23.98,23.98,0.0,0.0
2018-10-07,22.97,22.97,22.97,0.0,0.0,23.45,23.45,23.45,0.0,0.0,22.97,22.97,22.97,0.0,0.0,23.35,23.35,23.35,0.0,0.0
2018-10-14,23.25,23.25,23.25,0.0,0.0,23.25,23.25,23.25,0.0,0.0,22.87,22.87,22.87,0.0,0.0,22.96,22.96,22.96,0.0,0.0
2018-10-21,22.45,22.45,22.45,0.0,0.0,22.53,22.53,22.53,0.0,0.0,21.91,21.91,21.91,0.0,0.0,22.13,22.13,22.13,0.0,0.0
2018-10-28,23.83,23.83,23.83,0.0,0.0,24.11,24.11,24.11,0.0,0.0,23.83,23.83,23.83,0.0,0.0,24.11,24.11,24.11,0.0,0.0
2018-11-04,23.6,23.6,23.6,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.08,23.08,23.08,0.0,0.0,23.08,23.08,23.08,0.0,0.0
2018-11-11,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.27,23.27,23.27,0.0,0.0,23.27,23.27,23.27,0.0,0.0
2018-11-18,23.27,23.27,23.27,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.27,23.27,23.27,0.0,0.0,23.43,23.43,23.43,0.0,0.0
2018-11-25,24.71,24.71,24.71,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.73,24.73,24.73,0.0,0.0
2018-12-02,23.47,23.47,23.47,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.21,23.21,23.21,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2018-12-09,22.96,22.96,22.96,0.0,0.0,22.97,22.97,22.97,0.0,0.0,22.27,22.27,22.27,0.0,0.0,22.31,22.31,22.31,0.0,0.0
2018-12-16,20.41,20.41,20.41,0.0,0.0,20.41,20.41,20.41,0.0,0.0,20.08,20.08,20.08,0.0,0.0,20.12,20.12,20.12,0.0,0.0
2018-12-23,21.63,21.63,21.63,0.0,0.0,21.69,21.69,21.69,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.39,21.39,21.39,0.0,0.0
2018-12-30,22.34,22.34,22.34,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.33,22.33,22.33,0.0,0.0,22.77,22.77,22.77,0.0,0.0
2019-01-06,23.41,23.41,23.41,0.0,0.0,23.43,23.43,23.43,0.0,0.0,23.16,23.16,23.16,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2019-01-13,24.12,24.12,24.12,0.0,0.0,24.19,24.19,24.19,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.9,23.9,23.9,0.0,0.0
2019-01-20,24.31,24.31,24.31,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.77,24.77,24.77,0.0,0.0
2019-01-27,25.36,25.36,25.36,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2019-02-03,25.55,25.55,25.55,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.67,25.67,25.67,0.0,0.0
