Date,ProShares UltraShort Health CareEtf_Open_average,ProShares UltraShort Health CareEtf_Open_max,ProShares UltraShort Health CareEtf_Open_min,ProShares UltraShort Health CareEtf_Open_volatility,ProShares UltraShort Health CareEtf_Open_change,ProShares UltraShort Health CareEtf_High_average,ProShares UltraShort Health CareEtf_High_max,ProShares UltraShort Health CareEtf_High_min,ProShares UltraShort Health CareEtf_High_volatility,ProShares UltraShort Health CareEtf_High_change,ProShares UltraShort Health CareEtf_Low_average,ProShares UltraShort Health CareEtf_Low_max,ProShares UltraShort Health CareEtf_Low_min,ProShares UltraShort Health CareEtf_Low_volatility,ProShares UltraShort Health CareEtf_Low_change,ProShares UltraShort Health CareEtf_Close_average,ProShares UltraShort Health CareEtf_Close_max,ProShares UltraShort Health CareEtf_Close_min,ProShares UltraShort Health CareEtf_Close_volatility,ProShares UltraShort Health CareEtf_Close_change
2018-01-14,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2018-01-21,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2018-01-28,26.92,26.92,26.92,0.0,0.0,27.31,27.31,27.31,0.0,0.0,26.79,26.79,26.79,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2018-02-04,30.82,30.82,30.82,0.0,0.0,32.14,32.14,32.14,0.0,0.0,30.82,30.82,30.82,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-02-11,27.78,27.78,27.78,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2018-02-18,28.77,28.77,28.77,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.08,28.08,28.08,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2018-02-25,30.0,30.0,30.0,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2018-03-04,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2018-03-11,27.31,27.31,27.31,0.0,0.0,27.46,27.46,27.46,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.46,27.46,27.46,0.0,0.0
2018-03-18,30.02,30.02,30.02,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-03-25,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2018-04-01,29.78,29.78,29.78,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2018-04-08,29.43,29.43,29.43,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.32,29.32,29.32,0.0,0.0
2018-04-15,29.33,29.33,29.33,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2018-04-22,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-04-29,31.02,31.02,31.02,0.0,0.0,31.02,31.02,31.02,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2018-05-06,28.89,28.89,28.89,0.0,0.0,29.38,29.38,29.38,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-05-13,28.69,28.69,28.69,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.48,28.48,28.48,0.0,0.0
2018-05-20,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2018-05-27,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2018-06-03,27.31,27.31,27.31,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2018-06-10,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2018-06-17,26.83,26.83,26.83,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.85,26.85,26.85,0.0,0.0
2018-06-24,27.6,27.6,27.6,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2018-07-01,28.03,28.03,28.03,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.98,27.98,27.98,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2018-07-08,25.86,25.86,25.86,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2018-07-15,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2018-07-22,25.31,25.31,25.31,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-07-29,24.58,24.58,24.58,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2018-08-05,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2018-08-12,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0
2018-08-19,22.88,22.88,22.88,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.88,22.88,22.88,0.0,0.0,22.9,22.9,22.9,0.0,0.0
2018-08-26,22.74,22.74,22.74,0.0,0.0,22.74,22.74,22.74,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.67,22.67,22.67,0.0,0.0
2018-09-02,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0
2018-09-09,22.57,22.57,22.57,0.0,0.0,22.57,22.57,22.57,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2018-09-16,22.06,22.06,22.06,0.0,0.0,22.06,22.06,22.06,0.0,0.0,21.92,21.92,21.92,0.0,0.0,21.92,21.92,21.92,0.0,0.0
2018-09-23,21.82,21.82,21.82,0.0,0.0,21.82,21.82,21.82,0.0,0.0,21.63,21.63,21.63,0.0,0.0,21.63,21.63,21.63,0.0,0.0
2018-09-30,22.22,22.22,22.22,0.0,0.0,22.24,22.24,22.24,0.0,0.0,21.79,21.79,21.79,0.0,0.0,22.1,22.1,22.1,0.0,0.0
2018-10-07,24.0,24.0,24.0,0.0,0.0,24.16,24.16,24.16,0.0,0.0,23.4,23.4,23.4,0.0,0.0,24.16,24.16,24.16,0.0,0.0
2018-10-14,22.89,22.89,22.89,0.0,0.0,22.89,22.89,22.89,0.0,0.0,22.78,22.78,22.78,0.0,0.0,22.78,22.78,22.78,0.0,0.0
2018-10-21,25.55,25.55,25.55,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-10-28,23.95,23.95,23.95,0.0,0.0,24.26,24.26,24.26,0.0,0.0,23.95,23.95,23.95,0.0,0.0,24.26,24.26,24.26,0.0,0.0
2018-11-04,22.43,22.43,22.43,0.0,0.0,22.66,22.66,22.66,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.37,22.37,22.37,0.0,0.0
2018-11-11,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.2,23.2,23.2,0.0,0.0
2018-11-18,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0
2018-11-25,22.1,22.1,22.1,0.0,0.0,22.1,22.1,22.1,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0
2018-12-02,23.0,23.0,23.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0
2018-12-09,24.45,24.45,24.45,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.61,24.61,24.61,0.0,0.0
2018-12-16,27.43,27.43,27.43,0.0,0.0,28.32,28.32,28.32,0.0,0.0,26.81,26.81,26.81,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2018-12-23,26.25,26.25,26.25,0.0,0.0,26.48,26.48,26.48,0.0,0.0,25.85,25.85,25.85,0.0,0.0,26.48,26.48,26.48,0.0,0.0
2018-12-30,26.92,26.92,26.92,0.0,0.0,26.92,26.92,26.92,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.81,25.81,25.81,0.0,0.0
2019-01-06,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.47,24.47,24.47,0.0,0.0
2019-01-13,23.6,23.6,23.6,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.2,23.2,23.2,0.0,0.0
2019-01-20,23.72,23.72,23.72,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.76,23.76,23.76,0.0,0.0
2019-01-27,22.98,22.98,22.98,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.82,22.82,22.82,0.0,0.0
2019-02-03,23.81,23.81,23.81,0.0,0.0,23.87,23.87,23.87,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2019-02-10,22.11,22.11,22.11,0.0,0.0,22.11,22.11,22.11,0.0,0.0,21.84,21.84,21.84,0.0,0.0,21.84,21.84,21.84,0.0,0.0
2019-02-17,21.96,21.96,21.96,0.0,0.0,21.96,21.96,21.96,0.0,0.0,21.96,21.96,21.96,0.0,0.0,21.96,21.96,21.96,0.0,0.0
2019-02-24,22.1,22.1,22.1,0.0,0.0,22.1,22.1,22.1,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0
2019-03-03,23.74,23.74,23.74,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.52,23.52,23.52,0.0,0.0,23.52,23.52,23.52,0.0,0.0
2019-03-10,22.03,22.03,22.03,0.0,0.0,22.03,22.03,22.03,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.93,21.93,21.93,0.0,0.0
2019-03-17,22.14,22.14,22.14,0.0,0.0,22.51,22.51,22.51,0.0,0.0,22.14,22.14,22.14,0.0,0.0,22.51,22.51,22.51,0.0,0.0
2019-03-24,22.2,22.2,22.2,0.0,0.0,22.2,22.2,22.2,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0
2019-03-31,22.07,22.07,22.07,0.0,0.0,22.07,22.07,22.07,0.0,0.0,21.88,21.88,21.88,0.0,0.0,21.91,21.91,21.91,0.0,0.0
2019-04-07,22.44,22.44,22.44,0.0,0.0,23.03,23.03,23.03,0.0,0.0,22.43,22.43,22.43,0.0,0.0,23.03,23.03,23.03,0.0,0.0
2019-04-14,25.02,25.02,25.02,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2019-04-21,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.46,23.46,23.46,0.0,0.0
2019-04-28,23.13,23.13,23.13,0.0,0.0,23.17,23.17,23.17,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.91,22.91,22.91,0.0,0.0
