Date,Vanguard Mega Cap GrowthEtf_Open_average,Vanguard Mega Cap GrowthEtf_Open_max,Vanguard Mega Cap GrowthEtf_Open_min,Vanguard Mega Cap GrowthEtf_Open_volatility,Vanguard Mega Cap GrowthEtf_Open_change,Vanguard Mega Cap GrowthEtf_High_average,Vanguard Mega Cap GrowthEtf_High_max,Vanguard Mega Cap GrowthEtf_High_min,Vanguard Mega Cap GrowthEtf_High_volatility,Vanguard Mega Cap GrowthEtf_High_change,Vanguard Mega Cap GrowthEtf_Low_average,Vanguard Mega Cap GrowthEtf_Low_max,Vanguard Mega Cap GrowthEtf_Low_min,Vanguard Mega Cap GrowthEtf_Low_volatility,Vanguard Mega Cap GrowthEtf_Low_change,Vanguard Mega Cap GrowthEtf_Close_average,Vanguard Mega Cap GrowthEtf_Close_max,Vanguard Mega Cap GrowthEtf_Close_min,Vanguard Mega Cap GrowthEtf_Close_volatility,Vanguard Mega Cap GrowthEtf_Close_change
2018-01-14,118.18,118.18,118.18,0.0,0.0,118.43,118.43,118.43,0.0,0.0,117.86,117.86,117.86,0.0,0.0,118.43,118.43,118.43,0.0,0.0
2018-01-21,120.11,120.11,120.11,0.0,0.0,121.09,121.09,121.09,0.0,0.0,119.86,119.86,119.86,0.0,0.0,121.09,121.09,121.09,0.0,0.0
2018-01-28,118.31,118.31,118.31,0.0,0.0,118.62,118.62,118.62,0.0,0.0,116.52,116.52,116.52,0.0,0.0,116.52,116.52,116.52,0.0,0.0
2018-02-04,110.42,110.42,110.42,0.0,0.0,111.54,111.54,111.54,0.0,0.0,106.9,106.9,106.9,0.0,0.0,110.73,110.73,110.73,0.0,0.0
2018-02-11,116.04,116.04,116.04,0.0,0.0,117.13,117.13,117.13,0.0,0.0,115.98,115.98,115.98,0.0,0.0,116.22,116.22,116.22,0.0,0.0
2018-02-18,116.22,116.22,116.22,0.0,0.0,117.58,117.58,117.58,0.0,0.0,116.05,116.05,116.05,0.0,0.0,117.58,117.58,117.58,0.0,0.0
2018-02-25,113.34,113.34,113.34,0.0,0.0,115.35,115.35,115.35,0.0,0.0,112.9,112.9,112.9,0.0,0.0,115.07,115.07,115.07,0.0,0.0
2018-03-04,118.44,118.44,118.44,0.0,0.0,119.81,119.81,119.81,0.0,0.0,118.31,118.31,118.31,0.0,0.0,119.81,119.81,119.81,0.0,0.0
2018-03-11,118.79,118.79,118.79,0.0,0.0,118.98,118.98,118.98,0.0,0.0,118.45,118.45,118.45,0.0,0.0,118.45,118.45,118.45,0.0,0.0
2018-03-18,113.33,113.33,113.33,0.0,0.0,113.71,113.71,113.71,0.0,0.0,110.67,110.67,110.67,0.0,0.0,110.76,110.76,110.76,0.0,0.0
2018-03-25,110.88,110.88,110.88,0.0,0.0,113.16,113.16,113.16,0.0,0.0,110.4,110.4,110.4,0.0,0.0,112.24,112.24,112.24,0.0,0.0
2018-04-01,111.9,111.9,111.9,0.0,0.0,112.73,112.73,112.73,0.0,0.0,109.8,109.8,109.8,0.0,0.0,110.42,110.42,110.42,0.0,0.0
2018-04-08,113.89,113.89,113.89,0.0,0.0,113.89,113.89,113.89,0.0,0.0,112.52,112.52,112.52,0.0,0.0,113.01,113.01,113.01,0.0,0.0
2018-04-15,114.55,114.55,114.55,0.0,0.0,114.55,114.55,114.55,0.0,0.0,112.92,112.92,112.92,0.0,0.0,113.31,113.31,113.31,0.0,0.0
2018-04-22,113.82,113.82,113.82,0.0,0.0,114.0,114.0,114.0,0.0,0.0,112.71,112.71,112.71,0.0,0.0,113.1,113.1,113.1,0.0,0.0
2018-04-29,112.75,112.75,112.75,0.0,0.0,115.18,115.18,115.18,0.0,0.0,112.75,112.75,112.75,0.0,0.0,114.91,114.91,114.91,0.0,0.0
2018-05-06,117.79,117.79,117.79,0.0,0.0,118.2,118.2,118.2,0.0,0.0,117.56,117.56,117.56,0.0,0.0,117.91,117.91,117.91,0.0,0.0
2018-05-13,117.13,117.13,117.13,0.0,0.0,117.38,117.38,117.38,0.0,0.0,116.93,116.93,116.93,0.0,0.0,117.13,117.13,117.13,0.0,0.0
2018-05-20,118.02,118.02,118.02,0.0,0.0,118.31,118.31,118.31,0.0,0.0,117.76,117.76,117.76,0.0,0.0,117.99,117.99,117.99,0.0,0.0
2018-05-27,118.55,118.55,118.55,0.0,0.0,119.45,119.45,119.45,0.0,0.0,118.55,118.55,118.55,0.0,0.0,119.34,119.34,119.34,0.0,0.0
2018-06-03,120.61,120.61,120.61,0.0,0.0,121.32,121.32,121.32,0.0,0.0,120.53,120.53,120.53,0.0,0.0,121.24,121.24,121.24,0.0,0.0
2018-06-10,122.15,122.15,122.15,0.0,0.0,122.44,122.44,122.44,0.0,0.0,121.79,121.79,121.79,0.0,0.0,122.41,122.41,122.41,0.0,0.0
2018-06-17,121.87,121.87,121.87,0.0,0.0,121.87,121.87,121.87,0.0,0.0,121.12,121.12,121.12,0.0,0.0,121.21,121.21,121.21,0.0,0.0
