Date,SPDR S&P Emerging Asia Pacific_Open_average,SPDR S&P Emerging Asia Pacific_Open_max,SPDR S&P Emerging Asia Pacific_Open_min,SPDR S&P Emerging Asia Pacific_Open_volatility,SPDR S&P Emerging Asia Pacific_Open_change,SPDR S&P Emerging Asia Pacific_High_average,SPDR S&P Emerging Asia Pacific_High_max,SPDR S&P Emerging Asia Pacific_High_min,SPDR S&P Emerging Asia Pacific_High_volatility,SPDR S&P Emerging Asia Pacific_High_change,SPDR S&P Emerging Asia Pacific_Low_average,SPDR S&P Emerging Asia Pacific_Low_max,SPDR S&P Emerging Asia Pacific_Low_min,SPDR S&P Emerging Asia Pacific_Low_volatility,SPDR S&P Emerging Asia Pacific_Low_change,SPDR S&P Emerging Asia Pacific_Close_average,SPDR S&P Emerging Asia Pacific_Close_max,SPDR S&P Emerging Asia Pacific_Close_min,SPDR S&P Emerging Asia Pacific_Close_volatility,SPDR S&P Emerging Asia Pacific_Close_change
2018-01-14,112.81,112.81,112.81,0.0,0.0,113.48,113.48,113.48,0.0,0.0,112.73,112.73,112.73,0.0,0.0,113.43,113.43,113.43,0.0,0.0
2018-01-21,114.66,114.66,114.66,0.0,0.0,114.75,114.75,114.75,0.0,0.0,114.13,114.13,114.13,0.0,0.0,114.13,114.13,114.13,0.0,0.0
2018-01-28,109.85,109.85,109.85,0.0,0.0,110.77,110.77,110.77,0.0,0.0,106.58,106.58,106.58,0.0,0.0,106.75,106.75,106.75,0.0,0.0
2018-02-04,104.61,104.61,104.61,0.0,0.0,105.59,105.59,105.59,0.0,0.0,104.02,104.02,104.02,0.0,0.0,105.14,105.14,105.14,0.0,0.0
2018-02-11,109.02,109.02,109.02,0.0,0.0,110.39,110.39,110.39,0.0,0.0,109.02,109.02,109.02,0.0,0.0,109.69,109.69,109.69,0.0,0.0
2018-02-18,110.27,110.27,110.27,0.0,0.0,110.94,110.94,110.94,0.0,0.0,109.97,109.97,109.97,0.0,0.0,110.89,110.89,110.89,0.0,0.0
2018-02-25,105.78,105.78,105.78,0.0,0.0,107.26,107.26,107.26,0.0,0.0,105.78,105.78,105.78,0.0,0.0,107.0,107.0,107.0,0.0,0.0
2018-03-04,109.98,109.98,109.98,0.0,0.0,110.29,110.29,110.29,0.0,0.0,109.73,109.73,109.73,0.0,0.0,110.16,110.16,110.16,0.0,0.0
2018-03-11,109.06,109.06,109.06,0.0,0.0,109.06,109.06,109.06,0.0,0.0,107.85,107.85,107.85,0.0,0.0,108.25,108.25,108.25,0.0,0.0
2018-03-18,106.81,106.81,106.81,0.0,0.0,107.62,107.62,107.62,0.0,0.0,105.79,105.79,105.79,0.0,0.0,107.59,107.59,107.59,0.0,0.0
2018-03-25,106.09,106.09,106.09,0.0,0.0,106.09,106.09,106.09,0.0,0.0,104.18,104.18,104.18,0.0,0.0,104.71,104.71,104.71,0.0,0.0
2018-04-01,105.65,105.65,105.65,0.0,0.0,106.57,106.57,106.57,0.0,0.0,105.36,105.36,105.36,0.0,0.0,105.53,105.53,105.53,0.0,0.0
2018-04-08,105.87,105.87,105.87,0.0,0.0,106.33,106.33,106.33,0.0,0.0,105.8,105.8,105.8,0.0,0.0,106.13,106.13,106.13,0.0,0.0
2018-04-15,104.62,104.62,104.62,0.0,0.0,104.62,104.62,104.62,0.0,0.0,104.01,104.01,104.01,0.0,0.0,104.36,104.36,104.36,0.0,0.0
2018-04-22,105.08,105.08,105.08,0.0,0.0,105.12,105.12,105.12,0.0,0.0,104.1,104.1,104.1,0.0,0.0,104.36,104.36,104.36,0.0,0.0
2018-04-29,103.5,103.5,103.5,0.0,0.0,104.15,104.15,104.15,0.0,0.0,103.5,103.5,103.5,0.0,0.0,103.69,103.69,103.69,0.0,0.0
