Date,ALBKYStock_Open_average,ALBKYStock_Open_max,ALBKYStock_Open_min,ALBKYStock_Open_volatility,ALBKYStock_Open_change,ALBKYStock_High_average,ALBKYStock_High_max,ALBKYStock_High_min,ALBKYStock_High_volatility,ALBKYStock_High_change,ALBKYStock_Low_average,ALBKYStock_Low_max,ALBKYStock_Low_min,ALBKYStock_Low_volatility,ALBKYStock_Low_change,ALBKYStock_Close_average,ALBKYStock_Close_max,ALBKYStock_Close_min,ALBKYStock_Close_volatility,ALBKYStock_Close_change,ALBKYStock_Volume_average,ALBKYStock_Volume_max,ALBKYStock_Volume_min,ALBKYStock_Volume_volatility,ALBKYStock_Volume_change
2018-03-25,0.5397500000000001,0.557,0.515,0.04200000000000004,0.04200000000000004,0.56475,0.57,0.557,0.0129999999999999,-0.0129999999999999,0.52275,0.545,0.502,0.04300000000000004,-0.0020000000000000018,0.543,0.562,0.52,0.04200000000000004,0.010000000000000009,245941,554539,43214,511325,-271986
2018-04-01,0.5414,0.584,0.52,0.06399999999999995,-0.010000000000000009,0.5576,0.584,0.52,0.06399999999999995,-0.020000000000000018,0.5204,0.54,0.502,0.038000000000000034,-0.020000000000000018,0.548,0.58,0.515,0.06499999999999995,-0.016000000000000014,96489,268699,43638,225061,-14417
2018-04-08,0.545,0.57,0.526,0.04399999999999993,-0.0030000000000000027,0.5622,0.583,0.5479999999999999,0.03500000000000003,-0.03500000000000003,0.5268,0.55,0.5,0.050000000000000044,-0.02400000000000002,0.544,0.58,0.51,0.06999999999999995,-0.05999999999999994,31467,79143,4200,74943,-29823
2018-04-15,0.5822,0.615,0.541,0.07399999999999995,0.07399999999999995,0.6032,0.62,0.583,0.03700000000000003,0.03700000000000003,0.5776,0.611,0.541,0.06999999999999995,0.06999999999999995,0.5948,0.62,0.565,0.05500000000000005,0.05500000000000005,61490,128590,15118,113472,-113472
2018-04-22,0.6286,0.65,0.621,0.029000000000000026,-0.009000000000000008,0.6384,0.65,0.621,0.029000000000000026,0.0,0.6122,0.621,0.6,0.02100000000000002,0.0010000000000000009,0.6188,0.64,0.6,0.040000000000000036,0.006000000000000005,40748,142659,9180,133479,-120009
2018-04-29,0.6272,0.665,0.5920000000000001,0.07299999999999995,-0.007000000000000006,0.6458,0.665,0.63,0.03500000000000003,0.0040000000000000036,0.6026,0.62,0.5920000000000001,0.027999999999999914,-0.020000000000000018,0.6198,0.63,0.61,0.020000000000000018,-0.010000000000000009,35780,48389,23050,25339,-13330
2018-05-06,0.6188,0.635,0.602,0.03300000000000003,-0.015000000000000013,0.632,0.64,0.61,0.030000000000000027,0.0050000000000000044,0.6038,0.61,0.6,0.010000000000000009,-0.0010000000000000009,0.6092,0.619,0.6,0.019000000000000017,0.0050000000000000044,80184,150580,7186,143394,57321
2018-05-13,0.6003999999999999,0.62,0.585,0.03500000000000003,0.008000000000000007,0.6066,0.62,0.59,0.030000000000000027,0.0,0.5838,0.6,0.564,0.03600000000000003,-0.03600000000000003,0.5866,0.6,0.565,0.03500000000000003,-0.03500000000000003,44556,103084,3232,99852,99852
2018-05-20,0.5918,0.638,0.565,0.07300000000000006,-0.0050000000000000044,0.6146,0.639,0.57,0.06900000000000006,-0.06900000000000006,0.5766,0.611,0.532,0.07899999999999996,-0.03799999999999992,0.6088,0.634,0.57,0.06400000000000006,-0.06400000000000006,105253,252792,7829,244963,-86032
2018-05-27,0.54675,0.568,0.519,0.04899999999999993,-0.015999999999999903,0.5652499999999999,0.57,0.5579999999999999,0.01200000000000001,0.01200000000000001,0.528,0.546,0.505,0.041000000000000036,0.03700000000000003,0.53825,0.55,0.525,0.025000000000000022,0.017999999999999905,96648,204357,41737,162620,-158297
2018-06-03,0.5402,0.561,0.525,0.03600000000000003,-0.025000000000000022,0.5534,0.568,0.525,0.04299999999999993,-0.04299999999999993,0.5346,0.55,0.525,0.025000000000000022,-0.025000000000000022,0.5408000000000001,0.5660000000000001,0.525,0.041000000000000036,-0.041000000000000036,10557,19064,0,19064,-15752
2018-06-10,0.5386000000000001,0.561,0.51,0.051000000000000045,-0.015000000000000013,0.5474,0.561,0.527,0.03400000000000003,0.025000000000000022,0.5266000000000001,0.542,0.51,0.03200000000000003,-0.015000000000000013,0.536,0.551,0.525,0.026000000000000023,-0.0020000000000000018,13854,27943,0,27943,25471
2018-06-17,0.5318,0.5489999999999999,0.525,0.02399999999999991,0.02399999999999991,0.5389999999999999,0.5489999999999999,0.53,0.018999999999999906,0.01100000000000001,0.5302,0.541,0.525,0.016000000000000014,0.016000000000000014,0.5346,0.541,0.53,0.01100000000000001,0.0030000000000001137,40954,152762,0,152762,140493
2018-06-24,0.5396,0.5589999999999999,0.53,0.028999999999999915,-0.018999999999999906,0.5504,0.563,0.53,0.03299999999999992,-0.0129999999999999,0.5302,0.5489999999999999,0.512,0.03699999999999992,-0.03699999999999992,0.5356000000000001,0.552,0.52,0.03200000000000003,-0.03200000000000003,257083,1093586,0,1093586,989326
2018-07-01,0.52575,0.55,0.503,0.04700000000000004,-0.010000000000000009,0.532,0.55,0.52,0.030000000000000027,-0.017000000000000015,0.517,0.53,0.503,0.027000000000000024,-0.010000000000000009,0.522,0.537,0.515,0.02200000000000002,-0.017000000000000015,14395,31480,0,31480,-31480
2018-07-08,0.5266000000000001,0.536,0.515,0.02100000000000002,-0.006000000000000005,0.532,0.537,0.525,0.01200000000000001,-0.0010000000000000009,0.5234,0.536,0.515,0.02100000000000002,-0.006000000000000005,0.5254,0.536,0.52,0.016000000000000014,-0.0010000000000000009,11267,47140,0,47140,645
2018-07-15,0.5242,0.53,0.515,0.015000000000000013,-0.006000000000000005,0.527,0.53,0.525,0.0050000000000000044,0.0,0.5186000000000001,0.525,0.503,0.02200000000000002,-0.017000000000000015,0.5232,0.525,0.516,0.009000000000000008,-0.009000000000000008,273046,1237560,0,1237560,-1216260
