Date,PowerShares Dynamic Pharmaceuticals_Open_average,PowerShares Dynamic Pharmaceuticals_Open_max,PowerShares Dynamic Pharmaceuticals_Open_min,PowerShares Dynamic Pharmaceuticals_Open_volatility,PowerShares Dynamic Pharmaceuticals_Open_change,PowerShares Dynamic Pharmaceuticals_High_average,PowerShares Dynamic Pharmaceuticals_High_max,PowerShares Dynamic Pharmaceuticals_High_min,PowerShares Dynamic Pharmaceuticals_High_volatility,PowerShares Dynamic Pharmaceuticals_High_change,PowerShares Dynamic Pharmaceuticals_Low_average,PowerShares Dynamic Pharmaceuticals_Low_max,PowerShares Dynamic Pharmaceuticals_Low_min,PowerShares Dynamic Pharmaceuticals_Low_volatility,PowerShares Dynamic Pharmaceuticals_Low_change,PowerShares Dynamic Pharmaceuticals_Close_average,PowerShares Dynamic Pharmaceuticals_Close_max,PowerShares Dynamic Pharmaceuticals_Close_min,PowerShares Dynamic Pharmaceuticals_Close_volatility,PowerShares Dynamic Pharmaceuticals_Close_change
2018-01-14,68.57,68.57,68.57,0.0,0.0,69.5,69.5,69.5,0.0,0.0,68.57,68.57,68.57,0.0,0.0,69.44,69.44,69.44,0.0,0.0
2018-01-21,70.5,70.5,70.5,0.0,0.0,71.42,71.42,71.42,0.0,0.0,70.47,70.47,70.47,0.0,0.0,71.18,71.18,71.18,0.0,0.0
2018-01-28,66.67,66.67,66.67,0.0,0.0,66.95,66.95,66.95,0.0,0.0,64.19,64.19,64.19,0.0,0.0,64.21,64.21,64.21,0.0,0.0
2018-02-04,63.71,63.71,63.71,0.0,0.0,64.71,64.71,64.71,0.0,0.0,63.46,63.46,63.46,0.0,0.0,64.17,64.17,64.17,0.0,0.0
2018-02-11,66.45,66.45,66.45,0.0,0.0,67.18,67.18,67.18,0.0,0.0,66.45,66.45,66.45,0.0,0.0,66.73,66.73,66.73,0.0,0.0
2018-02-18,66.07,66.07,66.07,0.0,0.0,66.45,66.45,66.45,0.0,0.0,65.55,65.55,65.55,0.0,0.0,66.21,66.21,66.21,0.0,0.0
2018-02-25,63.45,63.45,63.45,0.0,0.0,64.48,64.48,64.48,0.0,0.0,63.42,63.42,63.42,0.0,0.0,64.29,64.29,64.29,0.0,0.0
2018-03-04,66.16,66.16,66.16,0.0,0.0,66.52,66.52,66.52,0.0,0.0,65.9,65.9,65.9,0.0,0.0,66.37,66.37,66.37,0.0,0.0
2018-03-11,65.43,65.43,65.43,0.0,0.0,65.43,65.43,65.43,0.0,0.0,64.16,64.16,64.16,0.0,0.0,64.69,64.69,64.69,0.0,0.0
2018-03-18,61.91,61.91,61.91,0.0,0.0,62.55,62.55,62.55,0.0,0.0,61.04,61.04,61.04,0.0,0.0,62.47,62.47,62.47,0.0,0.0
