Date,SPDR S&P 1500 Momentum Tilt_Open_average,SPDR S&P 1500 Momentum Tilt_Open_max,SPDR S&P 1500 Momentum Tilt_Open_min,SPDR S&P 1500 Momentum Tilt_Open_volatility,SPDR S&P 1500 Momentum Tilt_Open_change,SPDR S&P 1500 Momentum Tilt_High_average,SPDR S&P 1500 Momentum Tilt_High_max,SPDR S&P 1500 Momentum Tilt_High_min,SPDR S&P 1500 Momentum Tilt_High_volatility,SPDR S&P 1500 Momentum Tilt_High_change,SPDR S&P 1500 Momentum Tilt_Low_average,SPDR S&P 1500 Momentum Tilt_Low_max,SPDR S&P 1500 Momentum Tilt_Low_min,SPDR S&P 1500 Momentum Tilt_Low_volatility,SPDR S&P 1500 Momentum Tilt_Low_change,SPDR S&P 1500 Momentum Tilt_Close_average,SPDR S&P 1500 Momentum Tilt_Close_max,SPDR S&P 1500 Momentum Tilt_Close_min,SPDR S&P 1500 Momentum Tilt_Close_volatility,SPDR S&P 1500 Momentum Tilt_Close_change
2018-01-14,121.67,121.67,121.67,0.0,0.0,121.67,121.67,121.67,0.0,0.0,121.67,121.67,121.67,0.0,0.0,121.67,121.67,121.67,0.0,0.0
2018-01-21,123.66,123.66,123.66,0.0,0.0,123.7,123.7,123.7,0.0,0.0,123.01,123.01,123.01,0.0,0.0,123.23,123.23,123.23,0.0,0.0
2018-01-28,119.13,119.13,119.13,0.0,0.0,119.13,119.13,119.13,0.0,0.0,116.17,116.17,116.17,0.0,0.0,116.7,116.7,116.7,0.0,0.0
2018-02-04,115.71,115.71,115.71,0.0,0.0,115.76,115.76,115.76,0.0,0.0,114.47,114.47,114.47,0.0,0.0,114.47,114.47,114.47,0.0,0.0
2018-02-11,118.96,118.96,118.96,0.0,0.0,119.4,119.4,119.4,0.0,0.0,118.96,118.96,118.96,0.0,0.0,119.4,119.4,119.4,0.0,0.0
2018-02-18,121.39,121.39,121.39,0.0,0.0,121.61,121.61,121.61,0.0,0.0,121.39,121.39,121.39,0.0,0.0,121.61,121.61,121.61,0.0,0.0
2018-02-25,119.11,119.11,119.11,0.0,0.0,119.16,119.16,119.16,0.0,0.0,118.64,118.64,118.64,0.0,0.0,119.16,119.16,119.16,0.0,0.0
2018-03-04,122.76,122.76,122.76,0.0,0.0,122.76,122.76,122.76,0.0,0.0,122.49,122.49,122.49,0.0,0.0,122.55,122.55,122.55,0.0,0.0
2018-03-11,119.9,119.9,119.9,0.0,0.0,120.04,120.04,120.04,0.0,0.0,118.81,118.81,118.81,0.0,0.0,119.58,119.58,119.58,0.0,0.0
2018-03-18,115.5,115.5,115.5,0.0,0.0,116.0,116.0,116.0,0.0,0.0,114.91,114.91,114.91,0.0,0.0,116.0,116.0,116.0,0.0,0.0
