Date,Guggenheim Invest China TechnologyEtf_Open_average,Guggenheim Invest China TechnologyEtf_Open_max,Guggenheim Invest China TechnologyEtf_Open_min,Guggenheim Invest China TechnologyEtf_Open_volatility,Guggenheim Invest China TechnologyEtf_Open_change,Guggenheim Invest China TechnologyEtf_High_average,Guggenheim Invest China TechnologyEtf_High_max,Guggenheim Invest China TechnologyEtf_High_min,Guggenheim Invest China TechnologyEtf_High_volatility,Guggenheim Invest China TechnologyEtf_High_change,Guggenheim Invest China TechnologyEtf_Low_average,Guggenheim Invest China TechnologyEtf_Low_max,Guggenheim Invest China TechnologyEtf_Low_min,Guggenheim Invest China TechnologyEtf_Low_volatility,Guggenheim Invest China TechnologyEtf_Low_change,Guggenheim Invest China TechnologyEtf_Close_average,Guggenheim Invest China TechnologyEtf_Close_max,Guggenheim Invest China TechnologyEtf_Close_min,Guggenheim Invest China TechnologyEtf_Close_volatility,Guggenheim Invest China TechnologyEtf_Close_change
2018-01-14,65.15,65.15,65.15,0.0,0.0,65.5,65.5,65.5,0.0,0.0,64.89,64.89,64.89,0.0,0.0,65.28,65.28,65.28,0.0,0.0
2018-01-21,66.14,66.14,66.14,0.0,0.0,66.9,66.9,66.9,0.0,0.0,65.99,65.99,65.99,0.0,0.0,66.86,66.86,66.86,0.0,0.0
2018-01-28,62.95,62.95,62.95,0.0,0.0,62.95,62.95,62.95,0.0,0.0,61.45,61.45,61.45,0.0,0.0,61.53,61.53,61.53,0.0,0.0
2018-02-04,56.64,56.64,56.64,0.0,0.0,57.5,57.5,57.5,0.0,0.0,55.05,55.05,55.05,0.0,0.0,57.13,57.13,57.13,0.0,0.0
2018-02-11,63.05,63.05,63.05,0.0,0.0,63.33,63.33,63.33,0.0,0.0,62.59,62.59,62.59,0.0,0.0,62.78,62.78,62.78,0.0,0.0
2018-02-18,63.51,63.51,63.51,0.0,0.0,64.23,64.23,64.23,0.0,0.0,63.38,63.38,63.38,0.0,0.0,64.23,64.23,64.23,0.0,0.0
2018-02-25,60.3,60.3,60.3,0.0,0.0,62.4,62.4,62.4,0.0,0.0,60.29,60.29,60.29,0.0,0.0,62.4,62.4,62.4,0.0,0.0
2018-03-04,64.5,64.5,64.5,0.0,0.0,65.48,65.48,65.48,0.0,0.0,64.5,64.5,64.5,0.0,0.0,65.43,65.43,65.43,0.0,0.0
2018-03-11,65.6,65.6,65.6,0.0,0.0,65.68,65.68,65.68,0.0,0.0,65.23,65.23,65.23,0.0,0.0,65.67,65.67,65.67,0.0,0.0
2018-03-18,61.32,61.32,61.32,0.0,0.0,61.55,61.55,61.55,0.0,0.0,59.97,59.97,59.97,0.0,0.0,60.21,60.21,60.21,0.0,0.0
