Date,Amplify YieldShares CWP Dividend Option IncomeEtf_Open_average,Amplify YieldShares CWP Dividend Option IncomeEtf_Open_max,Amplify YieldShares CWP Dividend Option IncomeEtf_Open_min,Amplify YieldShares CWP Dividend Option IncomeEtf_Open_volatility,Amplify YieldShares CWP Dividend Option IncomeEtf_Open_change,Amplify YieldShares CWP Dividend Option IncomeEtf_High_average,Amplify YieldShares CWP Dividend Option IncomeEtf_High_max,Amplify YieldShares CWP Dividend Option IncomeEtf_High_min,Amplify YieldShares CWP Dividend Option IncomeEtf_High_volatility,Amplify YieldShares CWP Dividend Option IncomeEtf_High_change,Amplify YieldShares CWP Dividend Option IncomeEtf_Low_average,Amplify YieldShares CWP Dividend Option IncomeEtf_Low_max,Amplify YieldShares CWP Dividend Option IncomeEtf_Low_min,Amplify YieldShares CWP Dividend Option IncomeEtf_Low_volatility,Amplify YieldShares CWP Dividend Option IncomeEtf_Low_change,Amplify YieldShares CWP Dividend Option IncomeEtf_Close_average,Amplify YieldShares CWP Dividend Option IncomeEtf_Close_max,Amplify YieldShares CWP Dividend Option IncomeEtf_Close_min,Amplify YieldShares CWP Dividend Option IncomeEtf_Close_volatility,Amplify YieldShares CWP Dividend Option IncomeEtf_Close_change
2018-01-14,30.22,30.22,30.22,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2018-01-21,30.51,30.51,30.51,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2018-01-28,30.03,30.03,30.03,0.0,0.0,30.03,30.03,30.03,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2018-02-04,28.2,28.2,28.2,0.0,0.0,28.5,28.5,28.5,0.0,0.0,27.6,27.6,27.6,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-02-11,29.3,29.3,29.3,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2018-02-18,29.04,29.04,29.04,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.44,29.44,29.44,0.0,0.0
2018-02-25,29.34,29.34,29.34,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2018-03-04,29.34,29.34,29.34,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.33,29.33,29.33,0.0,0.0
2018-03-11,29.05,29.05,29.05,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.05,29.05,29.05,0.0,0.0
2018-03-18,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0
