Date,SPDR MSCI Emer Mkts StrategicFactors_Open_average,SPDR MSCI Emer Mkts StrategicFactors_Open_max,SPDR MSCI Emer Mkts StrategicFactors_Open_min,SPDR MSCI Emer Mkts StrategicFactors_Open_volatility,SPDR MSCI Emer Mkts StrategicFactors_Open_change,SPDR MSCI Emer Mkts StrategicFactors_High_average,SPDR MSCI Emer Mkts StrategicFactors_High_max,SPDR MSCI Emer Mkts StrategicFactors_High_min,SPDR MSCI Emer Mkts StrategicFactors_High_volatility,SPDR MSCI Emer Mkts StrategicFactors_High_change,SPDR MSCI Emer Mkts StrategicFactors_Low_average,SPDR MSCI Emer Mkts StrategicFactors_Low_max,SPDR MSCI Emer Mkts StrategicFactors_Low_min,SPDR MSCI Emer Mkts StrategicFactors_Low_volatility,SPDR MSCI Emer Mkts StrategicFactors_Low_change,SPDR MSCI Emer Mkts StrategicFactors_Close_average,SPDR MSCI Emer Mkts StrategicFactors_Close_max,SPDR MSCI Emer Mkts StrategicFactors_Close_min,SPDR MSCI Emer Mkts StrategicFactors_Close_volatility,SPDR MSCI Emer Mkts StrategicFactors_Close_change
2018-01-14,68.38,68.38,68.38,0.0,0.0,68.64,68.64,68.64,0.0,0.0,68.2,68.2,68.2,0.0,0.0,68.63,68.63,68.63,0.0,0.0
2018-01-21,69.07,69.07,69.07,0.0,0.0,69.29,69.29,69.29,0.0,0.0,68.83,68.83,68.83,0.0,0.0,69.0,69.0,69.0,0.0,0.0
2018-01-28,66.64,66.64,66.64,0.0,0.0,66.87,66.87,66.87,0.0,0.0,65.0,65.0,65.0,0.0,0.0,65.0,65.0,65.0,0.0,0.0
2018-02-04,64.28,64.28,64.28,0.0,0.0,64.75,64.75,64.75,0.0,0.0,63.97,63.97,63.97,0.0,0.0,64.26,64.26,64.26,0.0,0.0
2018-02-11,66.6,66.6,66.6,0.0,0.0,67.48,67.48,67.48,0.0,0.0,66.6,66.6,66.6,0.0,0.0,66.96,66.96,66.96,0.0,0.0
2018-02-18,67.1,67.1,67.1,0.0,0.0,67.6,67.6,67.6,0.0,0.0,67.03,67.03,67.03,0.0,0.0,67.37,67.37,67.37,0.0,0.0
2018-02-25,64.68,64.68,64.68,0.0,0.0,65.75,65.75,65.75,0.0,0.0,64.68,64.68,64.68,0.0,0.0,65.69,65.69,65.69,0.0,0.0
2018-03-04,67.11,67.11,67.11,0.0,0.0,67.48,67.48,67.48,0.0,0.0,66.84,66.84,66.84,0.0,0.0,67.31,67.31,67.31,0.0,0.0
2018-03-11,66.0,66.0,66.0,0.0,0.0,66.07,66.07,66.07,0.0,0.0,65.36,65.36,65.36,0.0,0.0,65.96,65.96,65.96,0.0,0.0
2018-03-18,65.23,65.23,65.23,0.0,0.0,65.67,65.67,65.67,0.0,0.0,64.98,64.98,64.98,0.0,0.0,65.58,65.58,65.58,0.0,0.0
2018-03-25,65.7,65.7,65.7,0.0,0.0,65.7,65.7,65.7,0.0,0.0,64.2,64.2,64.2,0.0,0.0,64.84,64.84,64.84,0.0,0.0
2018-04-01,64.99,64.99,64.99,0.0,0.0,65.19,65.19,65.19,0.0,0.0,64.35,64.35,64.35,0.0,0.0,64.35,64.35,64.35,0.0,0.0
2018-04-08,64.99,64.99,64.99,0.0,0.0,65.14,65.14,65.14,0.0,0.0,64.86,64.86,64.86,0.0,0.0,64.9,64.9,64.9,0.0,0.0
2018-04-15,64.27,64.27,64.27,0.0,0.0,64.56,64.56,64.56,0.0,0.0,64.27,64.27,64.27,0.0,0.0,64.37,64.37,64.37,0.0,0.0
2018-04-22,63.87,63.87,63.87,0.0,0.0,65.0,65.0,65.0,0.0,0.0,63.87,63.87,63.87,0.0,0.0,64.18,64.18,64.18,0.0,0.0
2018-04-29,63.01,63.01,63.01,0.0,0.0,63.39,63.39,63.39,0.0,0.0,62.82,62.82,62.82,0.0,0.0,62.82,62.82,62.82,0.0,0.0
2018-05-06,64.94,64.94,64.94,0.0,0.0,64.98,64.98,64.98,0.0,0.0,64.15,64.15,64.15,0.0,0.0,64.63,64.63,64.63,0.0,0.0
2018-05-13,63.44,63.44,63.44,0.0,0.0,63.44,63.44,63.44,0.0,0.0,63.01,63.01,63.01,0.0,0.0,63.09,63.09,63.09,0.0,0.0
2018-05-20,63.35,63.35,63.35,0.0,0.0,63.75,63.75,63.75,0.0,0.0,63.13,63.13,63.13,0.0,0.0,63.2,63.2,63.2,0.0,0.0
2018-05-27,62.83,62.83,62.83,0.0,0.0,63.76,63.76,63.76,0.0,0.0,62.83,62.83,62.83,0.0,0.0,63.75,63.75,63.75,0.0,0.0
2018-06-03,62.82,62.82,62.82,0.0,0.0,63.37,63.37,63.37,0.0,0.0,62.82,62.82,62.82,0.0,0.0,63.16,63.16,63.16,0.0,0.0
2018-06-10,61.0,61.0,61.0,0.0,0.0,61.0,61.0,61.0,0.0,0.0,60.24,60.24,60.24,0.0,0.0,60.97,60.97,60.97,0.0,0.0
2018-06-17,59.62,59.62,59.62,0.0,0.0,59.87,59.87,59.87,0.0,0.0,59.38,59.38,59.38,0.0,0.0,59.53,59.53,59.53,0.0,0.0
2018-06-24,58.42,58.42,58.42,0.0,0.0,58.91,58.91,58.91,0.0,0.0,58.06,58.06,58.06,0.0,0.0,58.78,58.78,58.78,0.0,0.0
