Date,PowerShares PureBeta FTSE EM Portfolio_Open_average,PowerShares PureBeta FTSE EM Portfolio_Open_max,PowerShares PureBeta FTSE EM Portfolio_Open_min,PowerShares PureBeta FTSE EM Portfolio_Open_volatility,PowerShares PureBeta FTSE EM Portfolio_Open_change,PowerShares PureBeta FTSE EM Portfolio_High_average,PowerShares PureBeta FTSE EM Portfolio_High_max,PowerShares PureBeta FTSE EM Portfolio_High_min,PowerShares PureBeta FTSE EM Portfolio_High_volatility,PowerShares PureBeta FTSE EM Portfolio_High_change,PowerShares PureBeta FTSE EM Portfolio_Low_average,PowerShares PureBeta FTSE EM Portfolio_Low_max,PowerShares PureBeta FTSE EM Portfolio_Low_min,PowerShares PureBeta FTSE EM Portfolio_Low_volatility,PowerShares PureBeta FTSE EM Portfolio_Low_change,PowerShares PureBeta FTSE EM Portfolio_Close_average,PowerShares PureBeta FTSE EM Portfolio_Close_max,PowerShares PureBeta FTSE EM Portfolio_Close_min,PowerShares PureBeta FTSE EM Portfolio_Close_volatility,PowerShares PureBeta FTSE EM Portfolio_Close_change
2018-01-14,27.97,27.97,27.97,0.0,0.0,27.97,27.97,27.97,0.0,0.0,27.97,27.97,27.97,0.0,0.0,27.97,27.97,27.97,0.0,0.0
2018-01-21,28.84,28.84,28.84,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2018-01-28,27.9,27.9,27.9,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.9,27.9,27.9,0.0,0.0
2018-02-04,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2018-02-11,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0
2018-02-18,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0
2018-02-25,27.71,27.71,27.71,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.71,27.71,27.71,0.0,0.0
2018-03-04,27.54,27.54,27.54,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.62,27.62,27.62,0.0,0.0
2018-03-11,27.62,27.62,27.62,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.62,27.62,27.62,0.0,0.0
2018-03-18,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2018-03-25,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2018-04-01,26.11,26.11,26.11,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-04-08,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-04-15,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-04-22,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-04-29,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-05-06,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2018-05-13,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2018-05-20,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2018-05-27,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2018-06-03,25.39,25.39,25.39,0.0,0.0,26.02,26.02,26.02,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2018-06-10,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2018-06-17,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2018-06-24,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0
2018-07-01,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0
