Date,PIMCO Investment Grade Corporate Bond_etf_Open_average,PIMCO Investment Grade Corporate Bond_etf_Open_max,PIMCO Investment Grade Corporate Bond_etf_Open_min,PIMCO Investment Grade Corporate Bond_etf_Open_volatility,PIMCO Investment Grade Corporate Bond_etf_Open_change,PIMCO Investment Grade Corporate Bond_etf_High_average,PIMCO Investment Grade Corporate Bond_etf_High_max,PIMCO Investment Grade Corporate Bond_etf_High_min,PIMCO Investment Grade Corporate Bond_etf_High_volatility,PIMCO Investment Grade Corporate Bond_etf_High_change,PIMCO Investment Grade Corporate Bond_etf_Low_average,PIMCO Investment Grade Corporate Bond_etf_Low_max,PIMCO Investment Grade Corporate Bond_etf_Low_min,PIMCO Investment Grade Corporate Bond_etf_Low_volatility,PIMCO Investment Grade Corporate Bond_etf_Low_change,PIMCO Investment Grade Corporate Bond_etf_Close_average,PIMCO Investment Grade Corporate Bond_etf_Close_max,PIMCO Investment Grade Corporate Bond_etf_Close_min,PIMCO Investment Grade Corporate Bond_etf_Close_volatility,PIMCO Investment Grade Corporate Bond_etf_Close_change
2018-01-14,104.77,104.77,104.77,0.0,0.0,104.77,104.77,104.77,0.0,0.0,104.37,104.37,104.37,0.0,0.0,104.39,104.39,104.39,0.0,0.0
2018-01-21,104.96,104.96,104.96,0.0,0.0,104.97,104.97,104.97,0.0,0.0,104.73,104.73,104.73,0.0,0.0,104.76,104.76,104.76,0.0,0.0
2018-01-28,103.76,103.76,103.76,0.0,0.0,103.76,103.76,103.76,0.0,0.0,103.29,103.29,103.29,0.0,0.0,103.7,103.7,103.7,0.0,0.0
2018-02-04,102.8,102.8,102.8,0.0,0.0,102.96,102.96,102.96,0.0,0.0,102.56,102.56,102.56,0.0,0.0,102.82,102.82,102.82,0.0,0.0
2018-02-11,102.68,102.68,102.68,0.0,0.0,102.78,102.78,102.78,0.0,0.0,102.4,102.4,102.4,0.0,0.0,102.58,102.58,102.58,0.0,0.0
2018-02-18,102.22,102.22,102.22,0.0,0.0,102.6,102.6,102.6,0.0,0.0,102.22,102.22,102.22,0.0,0.0,102.37,102.37,102.37,0.0,0.0
2018-02-25,102.19,102.19,102.19,0.0,0.0,102.19,102.19,102.19,0.0,0.0,101.75,101.75,101.75,0.0,0.0,101.94,101.94,101.94,0.0,0.0
2018-03-04,101.97,101.97,101.97,0.0,0.0,101.98,101.98,101.98,0.0,0.0,101.8,101.8,101.8,0.0,0.0,101.81,101.81,101.81,0.0,0.0
2018-03-11,102.05,102.05,102.05,0.0,0.0,102.24,102.24,102.24,0.0,0.0,102.03,102.03,102.03,0.0,0.0,102.08,102.08,102.08,0.0,0.0
2018-03-18,101.69,101.69,101.69,0.0,0.0,101.83,101.83,101.83,0.0,0.0,101.5,101.5,101.5,0.0,0.0,101.71,101.71,101.71,0.0,0.0
2018-03-25,101.68,101.68,101.68,0.0,0.0,102.44,102.44,102.44,0.0,0.0,101.68,101.68,101.68,0.0,0.0,102.27,102.27,102.27,0.0,0.0
2018-04-01,101.74,101.74,101.74,0.0,0.0,102.17,102.17,102.17,0.0,0.0,101.7,101.7,101.7,0.0,0.0,102.1,102.1,102.1,0.0,0.0
2018-04-08,101.87,101.87,101.87,0.0,0.0,102.15,102.15,102.15,0.0,0.0,101.87,101.87,101.87,0.0,0.0,102.11,102.11,102.11,0.0,0.0
2018-04-15,101.38,101.38,101.38,0.0,0.0,101.38,101.38,101.38,0.0,0.0,101.03,101.03,101.03,0.0,0.0,101.18,101.18,101.18,0.0,0.0
2018-04-22,100.82,100.82,100.82,0.0,0.0,100.85,100.85,100.85,0.0,0.0,100.73,100.73,100.73,0.0,0.0,100.83,100.83,100.83,0.0,0.0
