Date,PowerShares Aerospace & DefenseEtf_Open_average,PowerShares Aerospace & DefenseEtf_Open_max,PowerShares Aerospace & DefenseEtf_Open_min,PowerShares Aerospace & DefenseEtf_Open_volatility,PowerShares Aerospace & DefenseEtf_Open_change,PowerShares Aerospace & DefenseEtf_High_average,PowerShares Aerospace & DefenseEtf_High_max,PowerShares Aerospace & DefenseEtf_High_min,PowerShares Aerospace & DefenseEtf_High_volatility,PowerShares Aerospace & DefenseEtf_High_change,PowerShares Aerospace & DefenseEtf_Low_average,PowerShares Aerospace & DefenseEtf_Low_max,PowerShares Aerospace & DefenseEtf_Low_min,PowerShares Aerospace & DefenseEtf_Low_volatility,PowerShares Aerospace & DefenseEtf_Low_change,PowerShares Aerospace & DefenseEtf_Close_average,PowerShares Aerospace & DefenseEtf_Close_max,PowerShares Aerospace & DefenseEtf_Close_min,PowerShares Aerospace & DefenseEtf_Close_volatility,PowerShares Aerospace & DefenseEtf_Close_change
2018-01-14,56.4,56.4,56.4,0.0,0.0,56.6,56.6,56.6,0.0,0.0,56.26,56.26,56.26,0.0,0.0,56.55,56.55,56.55,0.0,0.0
2018-01-21,57.48,57.48,57.48,0.0,0.0,58.03,58.03,58.03,0.0,0.0,57.22,57.22,57.22,0.0,0.0,58.03,58.03,58.03,0.0,0.0
2018-01-28,58.03,58.03,58.03,0.0,0.0,58.14,58.14,58.14,0.0,0.0,57.26,57.26,57.26,0.0,0.0,57.27,57.27,57.27,0.0,0.0
2018-02-04,54.87,54.87,54.87,0.0,0.0,55.3,55.3,55.3,0.0,0.0,53.55,53.55,53.55,0.0,0.0,54.91,54.91,54.91,0.0,0.0
2018-02-11,57.96,57.96,57.96,0.0,0.0,58.41,58.41,58.41,0.0,0.0,57.73,57.73,57.73,0.0,0.0,58.06,58.06,58.06,0.0,0.0
2018-02-18,58.04,58.04,58.04,0.0,0.0,58.13,58.13,58.13,0.0,0.0,57.62,57.62,57.62,0.0,0.0,58.04,58.04,58.04,0.0,0.0
2018-02-25,56.24,56.24,56.24,0.0,0.0,57.09,57.09,57.09,0.0,0.0,55.91,55.91,55.91,0.0,0.0,56.94,56.94,56.94,0.0,0.0
2018-03-04,58.02,58.02,58.02,0.0,0.0,58.56,58.56,58.56,0.0,0.0,57.71,57.71,57.71,0.0,0.0,58.56,58.56,58.56,0.0,0.0
2018-03-11,57.14,57.14,57.14,0.0,0.0,57.24,57.24,57.24,0.0,0.0,56.91,56.91,56.91,0.0,0.0,57.01,57.01,57.01,0.0,0.0
2018-03-18,55.99,55.99,55.99,0.0,0.0,57.2,57.2,57.2,0.0,0.0,55.94,55.94,55.94,0.0,0.0,56.01,56.01,56.01,0.0,0.0
