Date,iShares US EnergyEtf_Open_average,iShares US EnergyEtf_Open_max,iShares US EnergyEtf_Open_min,iShares US EnergyEtf_Open_volatility,iShares US EnergyEtf_Open_change,iShares US EnergyEtf_High_average,iShares US EnergyEtf_High_max,iShares US EnergyEtf_High_min,iShares US EnergyEtf_High_volatility,iShares US EnergyEtf_High_change,iShares US EnergyEtf_Low_average,iShares US EnergyEtf_Low_max,iShares US EnergyEtf_Low_min,iShares US EnergyEtf_Low_volatility,iShares US EnergyEtf_Low_change,iShares US EnergyEtf_Close_average,iShares US EnergyEtf_Close_max,iShares US EnergyEtf_Close_min,iShares US EnergyEtf_Close_volatility,iShares US EnergyEtf_Close_change
2018-01-14,40.45,40.45,40.45,0.0,0.0,40.48,40.48,40.48,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.47,40.47,40.47,0.0,0.0
2018-01-21,40.9,40.9,40.9,0.0,0.0,41.11,41.11,41.11,0.0,0.0,40.82,40.82,40.82,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2018-01-28,39.3,39.3,39.3,0.0,0.0,39.35,39.35,39.35,0.0,0.0,38.13,38.13,38.13,0.0,0.0,38.32,38.32,38.32,0.0,0.0
2018-02-04,35.62,35.62,35.62,0.0,0.0,35.69,35.69,35.69,0.0,0.0,34.07,34.07,34.07,0.0,0.0,35.24,35.24,35.24,0.0,0.0
2018-02-11,36.07,36.07,36.07,0.0,0.0,36.45,36.45,36.45,0.0,0.0,35.9,35.9,35.9,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2018-02-18,35.86,35.86,35.86,0.0,0.0,36.52,36.52,36.52,0.0,0.0,35.83,35.83,35.83,0.0,0.0,36.51,36.51,36.51,0.0,0.0
2018-02-25,35.09,35.09,35.09,0.0,0.0,35.66,35.66,35.66,0.0,0.0,34.81,34.81,34.81,0.0,0.0,35.56,35.56,35.56,0.0,0.0
2018-03-04,35.88,35.88,35.88,0.0,0.0,36.35,36.35,36.35,0.0,0.0,35.88,35.88,35.88,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2018-03-11,35.64,35.64,35.64,0.0,0.0,36.14,36.14,36.14,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2018-03-18,35.88,35.88,35.88,0.0,0.0,36.27,36.27,36.27,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.47,35.47,35.47,0.0,0.0
2018-03-25,35.27,35.27,35.27,0.0,0.0,35.94,35.94,35.94,0.0,0.0,35.27,35.27,35.27,0.0,0.0,35.8,35.8,35.8,0.0,0.0
2018-04-01,36.2,36.2,36.2,0.0,0.0,36.35,36.35,36.35,0.0,0.0,35.27,35.27,35.27,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2018-04-08,37.72,37.72,37.72,0.0,0.0,38.07,38.07,38.07,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.93,37.93,37.93,0.0,0.0
2018-04-15,39.02,39.02,39.02,0.0,0.0,39.07,39.07,39.07,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.95,38.95,38.95,0.0,0.0
2018-04-22,39.27,39.27,39.27,0.0,0.0,39.4,39.4,39.4,0.0,0.0,39.06,39.06,39.06,0.0,0.0,39.21,39.21,39.21,0.0,0.0
2018-04-29,38.93,38.93,38.93,0.0,0.0,39.4,39.4,39.4,0.0,0.0,38.79,38.79,38.79,0.0,0.0,39.27,39.27,39.27,0.0,0.0
2018-05-06,40.88,40.88,40.88,0.0,0.0,41.06,41.06,41.06,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.81,40.81,40.81,0.0,0.0
2018-05-13,41.81,41.81,41.81,0.0,0.0,41.92,41.92,41.92,0.0,0.0,41.59,41.59,41.59,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2018-05-20,40.1,40.1,40.1,0.0,0.0,40.1,40.1,40.1,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.7,39.7,39.7,0.0,0.0
2018-05-27,40.74,40.74,40.74,0.0,0.0,41.0,41.0,41.0,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.7,40.7,40.7,0.0,0.0
2018-06-03,41.11,41.11,41.11,0.0,0.0,41.15,41.15,41.15,0.0,0.0,40.65,40.65,40.65,0.0,0.0,40.94,40.94,40.94,0.0,0.0
2018-06-10,40.38,40.38,40.38,0.0,0.0,40.38,40.38,40.38,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2018-06-17,40.36,40.36,40.36,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.41,40.41,40.41,0.0,0.0
2018-06-24,40.43,40.43,40.43,0.0,0.0,41.01,41.01,41.01,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.61,40.61,40.61,0.0,0.0
2018-07-01,39.93,39.93,39.93,0.0,0.0,40.6,40.6,40.6,0.0,0.0,39.9,39.9,39.9,0.0,0.0,40.49,40.49,40.49,0.0,0.0
2018-07-08,40.61,40.61,40.61,0.0,0.0,41.01,41.01,41.01,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.77,40.77,40.77,0.0,0.0
2018-07-15,40.14,40.14,40.14,0.0,0.0,40.24,40.24,40.24,0.0,0.0,39.89,39.89,39.89,0.0,0.0,40.01,40.01,40.01,0.0,0.0
2018-07-22,40.55,40.55,40.55,0.0,0.0,41.04,41.04,41.04,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.79,40.79,40.79,0.0,0.0
2018-07-29,40.29,40.29,40.29,0.0,0.0,40.37,40.37,40.37,0.0,0.0,39.96,39.96,39.96,0.0,0.0,40.18,40.18,40.18,0.0,0.0
2018-08-05,39.89,39.89,39.89,0.0,0.0,40.19,40.19,40.19,0.0,0.0,39.81,39.81,39.81,0.0,0.0,40.16,40.16,40.16,0.0,0.0
2018-08-12,38.72,38.72,38.72,0.0,0.0,38.84,38.84,38.84,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.75,38.75,38.75,0.0,0.0
2018-08-19,39.81,39.81,39.81,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.78,39.78,39.78,0.0,0.0,39.86,39.86,39.86,0.0,0.0
2018-08-26,39.94,39.94,39.94,0.0,0.0,39.94,39.94,39.94,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.78,39.78,39.78,0.0,0.0
