Date,First Trust Materials AlphaDEXEtf_Open_average,First Trust Materials AlphaDEXEtf_Open_max,First Trust Materials AlphaDEXEtf_Open_min,First Trust Materials AlphaDEXEtf_Open_volatility,First Trust Materials AlphaDEXEtf_Open_change,First Trust Materials AlphaDEXEtf_High_average,First Trust Materials AlphaDEXEtf_High_max,First Trust Materials AlphaDEXEtf_High_min,First Trust Materials AlphaDEXEtf_High_volatility,First Trust Materials AlphaDEXEtf_High_change,First Trust Materials AlphaDEXEtf_Low_average,First Trust Materials AlphaDEXEtf_Low_max,First Trust Materials AlphaDEXEtf_Low_min,First Trust Materials AlphaDEXEtf_Low_volatility,First Trust Materials AlphaDEXEtf_Low_change,First Trust Materials AlphaDEXEtf_Close_average,First Trust Materials AlphaDEXEtf_Close_max,First Trust Materials AlphaDEXEtf_Close_min,First Trust Materials AlphaDEXEtf_Close_volatility,First Trust Materials AlphaDEXEtf_Close_change
2018-01-14,45.59,45.59,45.59,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.83,45.83,45.83,0.0,0.0
2018-01-21,46.19,46.19,46.19,0.0,0.0,46.42,46.42,46.42,0.0,0.0,45.95,45.95,45.95,0.0,0.0,46.41,46.41,46.41,0.0,0.0
2018-01-28,44.64,44.64,44.64,0.0,0.0,44.64,44.64,44.64,0.0,0.0,43.62,43.62,43.62,0.0,0.0,43.68,43.68,43.68,0.0,0.0
2018-02-04,41.42,41.42,41.42,0.0,0.0,41.68,41.68,41.68,0.0,0.0,40.19,40.19,40.19,0.0,0.0,41.47,41.47,41.47,0.0,0.0
2018-02-11,43.49,43.49,43.49,0.0,0.0,44.08,44.08,44.08,0.0,0.0,43.32,43.32,43.32,0.0,0.0,43.73,43.73,43.73,0.0,0.0
2018-02-18,43.93,43.93,43.93,0.0,0.0,44.05,44.05,44.05,0.0,0.0,43.71,43.71,43.71,0.0,0.0,44.04,44.04,44.04,0.0,0.0
2018-02-25,42.83,42.83,42.83,0.0,0.0,43.3,43.3,43.3,0.0,0.0,42.53,42.53,42.53,0.0,0.0,43.23,43.23,43.23,0.0,0.0
2018-03-04,44.06,44.06,44.06,0.0,0.0,44.62,44.62,44.62,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.61,44.61,44.61,0.0,0.0
2018-03-11,43.64,43.64,43.64,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.75,43.75,43.75,0.0,0.0
2018-03-18,42.13,42.13,42.13,0.0,0.0,42.24,42.24,42.24,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.31,41.31,41.31,0.0,0.0
2018-03-25,41.52,41.52,41.52,0.0,0.0,42.39,42.39,42.39,0.0,0.0,41.52,41.52,41.52,0.0,0.0,42.18,42.18,42.18,0.0,0.0
2018-04-01,42.5,42.5,42.5,0.0,0.0,42.51,42.51,42.51,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2018-04-08,42.95,42.95,42.95,0.0,0.0,42.95,42.95,42.95,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.58,42.58,42.58,0.0,0.0
2018-04-15,43.77,43.77,43.77,0.0,0.0,43.77,43.77,43.77,0.0,0.0,43.15,43.15,43.15,0.0,0.0,43.38,43.38,43.38,0.0,0.0
2018-04-22,42.4,42.4,42.4,0.0,0.0,42.41,42.41,42.41,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.94,41.94,41.94,0.0,0.0
2018-04-29,41.11,41.11,41.11,0.0,0.0,42.12,42.12,42.12,0.0,0.0,41.11,41.11,41.11,0.0,0.0,41.93,41.93,41.93,0.0,0.0
2018-05-06,43.05,43.05,43.05,0.0,0.0,43.28,43.28,43.28,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.98,42.98,42.98,0.0,0.0
