Date,Janus Organics_Open_average,Janus Organics_Open_max,Janus Organics_Open_min,Janus Organics_Open_volatility,Janus Organics_Open_change,Janus Organics_High_average,Janus Organics_High_max,Janus Organics_High_min,Janus Organics_High_volatility,Janus Organics_High_change,Janus Organics_Low_average,Janus Organics_Low_max,Janus Organics_Low_min,Janus Organics_Low_volatility,Janus Organics_Low_change,Janus Organics_Close_average,Janus Organics_Close_max,Janus Organics_Close_min,Janus Organics_Close_volatility,Janus Organics_Close_change
2018-01-14,34.9,34.9,34.9,0.0,0.0,35.41,35.41,35.41,0.0,0.0,34.9,34.9,34.9,0.0,0.0,35.41,35.41,35.41,0.0,0.0
2018-01-21,35.11,35.11,35.11,0.0,0.0,35.26,35.26,35.26,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.13,35.13,35.13,0.0,0.0
2018-01-28,33.36,33.36,33.36,0.0,0.0,34.6,34.6,34.6,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2018-02-04,32.3,32.3,32.3,0.0,0.0,33.09,33.09,33.09,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2018-02-11,33.5,33.5,33.5,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.67,33.67,33.67,0.0,0.0
2018-02-18,33.02,33.02,33.02,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.75,32.75,32.75,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2018-02-25,32.0,32.0,32.0,0.0,0.0,33.31,33.31,33.31,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.88,32.88,32.88,0.0,0.0
2018-03-04,33.5,33.5,33.5,0.0,0.0,34.02,34.02,34.02,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2018-03-11,33.58,33.58,33.58,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2018-03-18,32.6,32.6,32.6,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.8,32.8,32.8,0.0,0.0
