Date,iShares US Healthcare Providers_Open_average,iShares US Healthcare Providers_Open_max,iShares US Healthcare Providers_Open_min,iShares US Healthcare Providers_Open_volatility,iShares US Healthcare Providers_Open_change,iShares US Healthcare Providers_High_average,iShares US Healthcare Providers_High_max,iShares US Healthcare Providers_High_min,iShares US Healthcare Providers_High_volatility,iShares US Healthcare Providers_High_change,iShares US Healthcare Providers_Low_average,iShares US Healthcare Providers_Low_max,iShares US Healthcare Providers_Low_min,iShares US Healthcare Providers_Low_volatility,iShares US Healthcare Providers_Low_change,iShares US Healthcare Providers_Close_average,iShares US Healthcare Providers_Close_max,iShares US Healthcare Providers_Close_min,iShares US Healthcare Providers_Close_volatility,iShares US Healthcare Providers_Close_change
2018-03-25,157.75,157.75,157.75,0.0,0.0,157.75,157.75,157.75,0.0,0.0,154.63,154.63,154.63,0.0,0.0,155.72,155.72,155.72,0.0,0.0
2018-04-01,159.72,159.72,159.72,0.0,0.0,160.62,160.62,160.62,0.0,0.0,158.9,158.9,158.9,0.0,0.0,158.9,158.9,158.9,0.0,0.0
2018-04-08,161.28,161.28,161.28,0.0,0.0,163.28,163.28,163.28,0.0,0.0,160.89,160.89,160.89,0.0,0.0,162.67,162.67,162.67,0.0,0.0
2018-04-15,164.37,164.37,164.37,0.0,0.0,164.56,164.56,164.56,0.0,0.0,163.64,163.64,163.64,0.0,0.0,164.33,164.33,164.33,0.0,0.0
2018-04-22,166.5,166.5,166.5,0.0,0.0,166.5,166.5,166.5,0.0,0.0,164.0,164.0,164.0,0.0,0.0,164.0,164.0,164.0,0.0,0.0
2018-04-29,165.77,165.77,165.77,0.0,0.0,166.17,166.17,166.17,0.0,0.0,164.78,164.78,164.78,0.0,0.0,165.19,165.19,165.19,0.0,0.0
2018-05-06,169.08,169.08,169.08,0.0,0.0,170.17,170.17,170.17,0.0,0.0,169.08,169.08,169.08,0.0,0.0,169.93,169.93,169.93,0.0,0.0
2018-05-13,172.55,172.55,172.55,0.0,0.0,173.17,173.17,173.17,0.0,0.0,172.32,172.32,172.32,0.0,0.0,172.74,172.74,172.74,0.0,0.0
2018-05-20,171.36,171.36,171.36,0.0,0.0,173.16,173.16,173.16,0.0,0.0,171.36,171.36,171.36,0.0,0.0,172.92,172.92,172.92,0.0,0.0
2018-05-27,172.22,172.22,172.22,0.0,0.0,172.59,172.59,172.59,0.0,0.0,171.52,171.52,171.52,0.0,0.0,172.59,172.59,172.59,0.0,0.0
2018-06-03,176.67,176.67,176.67,0.0,0.0,178.91,178.91,178.91,0.0,0.0,176.42,176.42,176.42,0.0,0.0,178.77,178.77,178.77,0.0,0.0
2018-06-10,181.6,181.6,181.6,0.0,0.0,181.6,181.6,181.6,0.0,0.0,180.21,180.21,180.21,0.0,0.0,180.75,180.75,180.75,0.0,0.0
2018-06-17,181.69,181.69,181.69,0.0,0.0,181.97,181.97,181.97,0.0,0.0,179.32,179.32,179.32,0.0,0.0,180.58,180.58,180.58,0.0,0.0
2018-06-24,175.01,175.01,175.01,0.0,0.0,176.74,176.74,176.74,0.0,0.0,174.23,174.23,174.23,0.0,0.0,176.69,176.69,176.69,0.0,0.0
2018-07-01,180.77,180.77,180.77,0.0,0.0,182.06,182.06,182.06,0.0,0.0,180.77,180.77,180.77,0.0,0.0,181.88,181.88,181.88,0.0,0.0
2018-07-08,184.15,184.15,184.15,0.0,0.0,184.15,184.15,184.15,0.0,0.0,182.83,182.83,182.83,0.0,0.0,182.97,182.97,182.97,0.0,0.0
2018-07-15,182.52,182.52,182.52,0.0,0.0,184.25,184.25,184.25,0.0,0.0,182.52,182.52,182.52,0.0,0.0,183.75,183.75,183.75,0.0,0.0
2018-07-22,183.46,183.46,183.46,0.0,0.0,183.57,183.57,183.57,0.0,0.0,182.17,182.17,182.17,0.0,0.0,182.24,182.24,182.24,0.0,0.0
2018-07-29,187.17,187.17,187.17,0.0,0.0,187.8,187.8,187.8,0.0,0.0,187.0,187.0,187.0,0.0,0.0,187.36,187.36,187.36,0.0,0.0
2018-08-05,189.16,189.16,189.16,0.0,0.0,190.04,190.04,190.04,0.0,0.0,188.58,188.58,188.58,0.0,0.0,189.45,189.45,189.45,0.0,0.0
2018-08-12,193.85,193.85,193.85,0.0,0.0,193.85,193.85,193.85,0.0,0.0,192.86,192.86,192.86,0.0,0.0,193.42,193.42,193.42,0.0,0.0
2018-08-19,195.39,195.39,195.39,0.0,0.0,195.85,195.85,195.85,0.0,0.0,195.26,195.26,195.26,0.0,0.0,195.65,195.65,195.65,0.0,0.0
2018-08-26,195.5,195.5,195.5,0.0,0.0,197.11,197.11,197.11,0.0,0.0,195.5,195.5,195.5,0.0,0.0,196.96,196.96,196.96,0.0,0.0
2018-09-02,197.19,197.19,197.19,0.0,0.0,197.19,197.19,197.19,0.0,0.0,194.0,194.0,194.0,0.0,0.0,194.21,194.21,194.21,0.0,0.0
2018-09-09,197.67,197.67,197.67,0.0,0.0,197.67,197.67,197.67,0.0,0.0,196.36,196.36,196.36,0.0,0.0,196.48,196.48,196.48,0.0,0.0
2018-09-16,197.39,197.39,197.39,0.0,0.0,198.41,198.41,198.41,0.0,0.0,197.14,197.14,197.14,0.0,0.0,198.2,198.2,198.2,0.0,0.0
2018-09-23,201.0,201.0,201.0,0.0,0.0,201.69,201.69,201.69,0.0,0.0,199.75,199.75,199.75,0.0,0.0,200.16,200.16,200.16,0.0,0.0
2018-09-30,197.55,197.55,197.55,0.0,0.0,203.31,203.31,203.31,0.0,0.0,195.83,195.83,195.83,0.0,0.0,198.02,198.02,198.02,0.0,0.0
2018-10-07,191.18,191.18,191.18,0.0,0.0,192.06,192.06,192.06,0.0,0.0,190.24,190.24,190.24,0.0,0.0,190.26,190.26,190.26,0.0,0.0
2018-10-14,193.7,193.7,193.7,0.0,0.0,194.43,194.43,194.43,0.0,0.0,191.18,191.18,191.18,0.0,0.0,192.35,192.35,192.35,0.0,0.0
2018-10-21,187.52,187.52,187.52,0.0,0.0,189.09,189.09,189.09,0.0,0.0,183.86,183.86,183.86,0.0,0.0,185.94,185.94,185.94,0.0,0.0
2018-10-28,192.1,192.1,192.1,0.0,0.0,193.0,193.0,193.0,0.0,0.0,191.77,191.77,191.77,0.0,0.0,192.52,192.52,192.52,0.0,0.0
2018-11-04,200.15,200.15,200.15,0.0,0.0,200.61,200.61,200.61,0.0,0.0,197.66,197.66,197.66,0.0,0.0,197.88,197.88,197.88,0.0,0.0
2018-11-11,194.48,194.48,194.48,0.0,0.0,194.68,194.68,194.68,0.0,0.0,189.4,189.4,189.4,0.0,0.0,189.9,189.9,189.9,0.0,0.0
2018-11-18,191.92,191.92,191.92,0.0,0.0,193.51,193.51,193.51,0.0,0.0,191.21,191.21,191.21,0.0,0.0,192.56,192.56,192.56,0.0,0.0
2018-11-25,201.92,201.92,201.92,0.0,0.0,202.02,202.02,202.02,0.0,0.0,199.2,199.2,199.2,0.0,0.0,201.83,201.83,201.83,0.0,0.0
2018-12-02,188.06,188.06,188.06,0.0,0.0,188.62,188.62,188.62,0.0,0.0,183.25,183.25,183.25,0.0,0.0,186.94,186.94,186.94,0.0,0.0
2018-12-09,178.18,178.18,178.18,0.0,0.0,180.19,180.19,180.19,0.0,0.0,175.46,175.46,175.46,0.0,0.0,177.5,177.5,177.5,0.0,0.0
2018-12-16,163.71,163.71,163.71,0.0,0.0,165.26,165.26,165.26,0.0,0.0,161.92,161.92,161.92,0.0,0.0,162.04,162.04,162.04,0.0,0.0
2018-12-23,163.69,163.69,163.69,0.0,0.0,165.3,165.3,165.3,0.0,0.0,163.5,163.5,163.5,0.0,0.0,165.19,165.19,165.19,0.0,0.0
2018-12-30,164.11,164.11,164.11,0.0,0.0,165.98,165.98,165.98,0.0,0.0,162.96,162.96,162.96,0.0,0.0,164.83,164.83,164.83,0.0,0.0
2019-01-06,169.38,169.38,169.38,0.0,0.0,170.31,170.31,170.31,0.0,0.0,169.01,169.01,169.01,0.0,0.0,169.17,169.17,169.17,0.0,0.0
2019-01-13,175.94,175.94,175.94,0.0,0.0,176.44,176.44,176.44,0.0,0.0,174.98,174.98,174.98,0.0,0.0,176.2,176.2,176.2,0.0,0.0
2019-01-20,176.17,176.17,176.17,0.0,0.0,178.12,178.12,178.12,0.0,0.0,174.6,174.6,174.6,0.0,0.0,176.12,176.12,176.12,0.0,0.0
2019-01-27,179.99,179.99,179.99,0.0,0.0,180.79,180.79,180.79,0.0,0.0,179.01,179.01,179.01,0.0,0.0,180.79,180.79,180.79,0.0,0.0
2019-02-03,178.0,178.0,178.0,0.0,0.0,178.0,178.0,178.0,0.0,0.0,176.85,176.85,176.85,0.0,0.0,177.19,177.19,177.19,0.0,0.0
2019-02-10,182.95,182.95,182.95,0.0,0.0,185.57,185.57,185.57,0.0,0.0,182.95,182.95,182.95,0.0,0.0,185.5,185.5,185.5,0.0,0.0
2019-02-17,184.0,184.0,184.0,0.0,0.0,184.37,184.37,184.37,0.0,0.0,182.03,182.03,182.03,0.0,0.0,182.14,182.14,182.14,0.0,0.0
2019-02-24,177.84,177.84,177.84,0.0,0.0,177.84,177.84,177.84,0.0,0.0,170.95,170.95,170.95,0.0,0.0,171.79,171.79,171.79,0.0,0.0
2019-03-03,166.4,166.4,166.4,0.0,0.0,168.11,168.11,168.11,0.0,0.0,165.35,165.35,165.35,0.0,0.0,167.87,167.87,167.87,0.0,0.0
2019-03-10,172.75,172.75,172.75,0.0,0.0,174.49,174.49,174.49,0.0,0.0,172.54,172.54,172.54,0.0,0.0,174.33,174.33,174.33,0.0,0.0
2019-03-17,170.49,170.49,170.49,0.0,0.0,170.49,170.49,170.49,0.0,0.0,166.87,166.87,166.87,0.0,0.0,169.29,169.29,169.29,0.0,0.0
2019-03-24,169.36,169.36,169.36,0.0,0.0,169.36,169.36,169.36,0.0,0.0,167.22,167.22,167.22,0.0,0.0,168.48,168.48,168.48,0.0,0.0
2019-03-31,171.52,171.52,171.52,0.0,0.0,171.74,171.74,171.74,0.0,0.0,170.15,170.15,170.15,0.0,0.0,171.0,171.0,171.0,0.0,0.0
2019-04-07,161.81,161.81,161.81,0.0,0.0,164.07,164.07,164.07,0.0,0.0,161.46,161.46,161.46,0.0,0.0,163.81,163.81,163.81,0.0,0.0
2019-04-14,154.26,154.26,154.26,0.0,0.0,156.11,156.11,156.11,0.0,0.0,153.8,153.8,153.8,0.0,0.0,154.87,154.87,154.87,0.0,0.0
2019-04-21,165.03,165.03,165.03,0.0,0.0,165.47,165.47,165.47,0.0,0.0,163.5,163.5,163.5,0.0,0.0,164.95,164.95,164.95,0.0,0.0
2019-04-28,162.06,162.06,162.06,0.0,0.0,168.45,168.45,168.45,0.0,0.0,162.0,162.0,162.0,0.0,0.0,168.21,168.21,168.21,0.0,0.0
2019-05-05,163.74,163.74,163.74,0.0,0.0,164.54,164.54,164.54,0.0,0.0,162.68,162.68,162.68,0.0,0.0,164.16,164.16,164.16,0.0,0.0
2019-05-12,164.48,164.48,164.48,0.0,0.0,166.88,166.88,166.88,0.0,0.0,163.66,163.66,163.66,0.0,0.0,166.44,166.44,166.44,0.0,0.0
2019-05-19,166.99,166.99,166.99,0.0,0.0,167.65,167.65,167.65,0.0,0.0,165.79,165.79,165.79,0.0,0.0,167.39,167.39,167.39,0.0,0.0
2019-05-26,164.57,164.57,164.57,0.0,0.0,165.93,165.93,165.93,0.0,0.0,163.12,163.12,163.12,0.0,0.0,163.93,163.93,163.93,0.0,0.0
2019-06-02,169.68,169.68,169.68,0.0,0.0,170.9,170.9,170.9,0.0,0.0,169.67,169.67,169.67,0.0,0.0,170.25,170.25,170.25,0.0,0.0
2019-06-09,169.35,169.35,169.35,0.0,0.0,170.58,170.58,170.58,0.0,0.0,169.08,169.08,169.08,0.0,0.0,170.56,170.56,170.56,0.0,0.0
2019-06-16,173.25,173.25,173.25,0.0,0.0,173.25,173.25,173.25,0.0,0.0,171.07,171.07,171.07,0.0,0.0,172.02,172.02,172.02,0.0,0.0
2019-06-23,172.77,172.77,172.77,0.0,0.0,172.88,172.88,172.88,0.0,0.0,170.13,170.13,170.13,0.0,0.0,171.07,171.07,171.07,0.0,0.0
2019-06-30,173.04,173.04,173.04,0.0,0.0,173.04,173.04,173.04,0.0,0.0,171.71,171.71,171.71,0.0,0.0,172.8,172.8,172.8,0.0,0.0
2019-07-07,181.65,181.65,181.65,0.0,0.0,181.65,181.65,181.65,0.0,0.0,180.32,180.32,180.32,0.0,0.0,180.7,180.7,180.7,0.0,0.0
2019-07-14,177.97,177.97,177.97,0.0,0.0,178.57,178.57,178.57,0.0,0.0,176.79,176.79,176.79,0.0,0.0,176.92,176.92,176.92,0.0,0.0
2019-07-21,178.6,178.6,178.6,0.0,0.0,179.83,179.83,179.83,0.0,0.0,178.52,178.52,178.52,0.0,0.0,179.62,179.62,179.62,0.0,0.0
2019-07-28,172.98,172.98,172.98,0.0,0.0,174.04,174.04,174.04,0.0,0.0,168.67,168.67,168.67,0.0,0.0,170.54,170.54,170.54,0.0,0.0
2019-08-04,175.0,175.0,175.0,0.0,0.0,175.03,175.03,175.03,0.0,0.0,173.32,173.32,173.32,0.0,0.0,173.38,173.38,173.38,0.0,0.0
2019-08-11,174.94,174.94,174.94,0.0,0.0,175.0,175.0,175.0,0.0,0.0,173.64,173.64,173.64,0.0,0.0,173.64,173.64,173.64,0.0,0.0
2019-08-18,167.82,167.82,167.82,0.0,0.0,167.94,167.94,167.94,0.0,0.0,166.82,166.82,166.82,0.0,0.0,167.11,167.11,167.11,0.0,0.0
2019-08-25,168.15,168.15,168.15,0.0,0.0,168.93,168.93,168.93,0.0,0.0,167.78,167.78,167.78,0.0,0.0,168.19,168.19,168.19,0.0,0.0
2019-09-01,167.56,167.56,167.56,0.0,0.0,169.12,169.12,169.12,0.0,0.0,167.11,167.11,167.11,0.0,0.0,168.77,168.77,168.77,0.0,0.0
2019-09-08,169.2,169.2,169.2,0.0,0.0,171.52,171.52,171.52,0.0,0.0,168.36,168.36,168.36,0.0,0.0,171.35,171.35,171.35,0.0,0.0
2019-09-15,169.16,169.16,169.16,0.0,0.0,169.45,169.45,169.45,0.0,0.0,168.49,168.49,168.49,0.0,0.0,168.92,168.92,168.92,0.0,0.0
2019-09-22,159.91,159.91,159.91,0.0,0.0,162.58,162.58,162.58,0.0,0.0,159.51,159.51,159.51,0.0,0.0,161.7,161.7,161.7,0.0,0.0
2019-09-29,160.95,160.95,160.95,0.0,0.0,162.29,162.29,162.29,0.0,0.0,160.53,160.53,160.53,0.0,0.0,161.2,161.2,161.2,0.0,0.0
2019-10-06,161.86,161.86,161.86,0.0,0.0,162.5,162.5,162.5,0.0,0.0,161.36,161.36,161.36,0.0,0.0,161.36,161.36,161.36,0.0,0.0
2019-10-13,172.05,172.05,172.05,0.0,0.0,172.27,172.27,172.27,0.0,0.0,171.01,171.01,171.01,0.0,0.0,171.09,171.09,171.09,0.0,0.0
2019-10-20,172.37,172.37,172.37,0.0,0.0,174.81,174.81,174.81,0.0,0.0,172.37,172.37,172.37,0.0,0.0,173.63,173.63,173.63,0.0,0.0
2019-10-27,178.55,178.55,178.55,0.0,0.0,179.46,179.46,179.46,0.0,0.0,177.09,177.09,177.09,0.0,0.0,178.66,178.66,178.66,0.0,0.0
2019-11-03,183.58,183.58,183.58,0.0,0.0,184.03,184.03,184.03,0.0,0.0,182.6,182.6,182.6,0.0,0.0,182.99,182.99,182.99,0.0,0.0
2019-11-10,190.6,190.6,190.6,0.0,0.0,194.41,194.41,194.41,0.0,0.0,190.6,190.6,190.6,0.0,0.0,191.73,191.73,191.73,0.0,0.0
2019-11-17,194.1,194.1,194.1,0.0,0.0,197.41,197.41,197.41,0.0,0.0,194.1,194.1,194.1,0.0,0.0,197.26,197.26,197.26,0.0,0.0
2019-11-24,194.97,194.97,194.97,0.0,0.0,195.2,195.2,195.2,0.0,0.0,193.76,193.76,193.76,0.0,0.0,194.05,194.05,194.05,0.0,0.0
2019-12-01,196.41,196.41,196.41,0.0,0.0,196.41,196.41,196.41,0.0,0.0,193.92,193.92,193.92,0.0,0.0,193.92,193.92,193.92,0.0,0.0
2019-12-08,195.71,195.71,195.71,0.0,0.0,199.33,199.33,199.33,0.0,0.0,195.07,195.07,195.07,0.0,0.0,197.26,197.26,197.26,0.0,0.0
2019-12-15,200.56,200.56,200.56,0.0,0.0,201.63,201.63,201.63,0.0,0.0,199.93,199.93,199.93,0.0,0.0,201.25,201.25,201.25,0.0,0.0
2019-12-22,201.7,201.7,201.7,0.0,0.0,201.7,201.7,201.7,0.0,0.0,200.21,200.21,200.21,0.0,0.0,200.3,200.3,200.3,0.0,0.0
2019-12-29,197.43,197.43,197.43,0.0,0.0,199.43,199.43,199.43,0.0,0.0,196.88,196.88,196.88,0.0,0.0,198.67,198.67,198.67,0.0,0.0
