Date,FlexShares Currency Hedged Morningstar DM ex-US_Open_average,FlexShares Currency Hedged Morningstar DM ex-US_Open_max,FlexShares Currency Hedged Morningstar DM ex-US_Open_min,FlexShares Currency Hedged Morningstar DM ex-US_Open_volatility,FlexShares Currency Hedged Morningstar DM ex-US_Open_change,FlexShares Currency Hedged Morningstar DM ex-US_High_average,FlexShares Currency Hedged Morningstar DM ex-US_High_max,FlexShares Currency Hedged Morningstar DM ex-US_High_min,FlexShares Currency Hedged Morningstar DM ex-US_High_volatility,FlexShares Currency Hedged Morningstar DM ex-US_High_change,FlexShares Currency Hedged Morningstar DM ex-US_Low_average,FlexShares Currency Hedged Morningstar DM ex-US_Low_max,FlexShares Currency Hedged Morningstar DM ex-US_Low_min,FlexShares Currency Hedged Morningstar DM ex-US_Low_volatility,FlexShares Currency Hedged Morningstar DM ex-US_Low_change,FlexShares Currency Hedged Morningstar DM ex-US_Close_average,FlexShares Currency Hedged Morningstar DM ex-US_Close_max,FlexShares Currency Hedged Morningstar DM ex-US_Close_min,FlexShares Currency Hedged Morningstar DM ex-US_Close_volatility,FlexShares Currency Hedged Morningstar DM ex-US_Close_change
2018-01-14,29.81,29.81,29.81,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2018-01-21,29.77,29.77,29.77,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2018-01-28,29.26,29.26,29.26,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.26,29.26,29.26,0.0,0.0
2018-02-04,27.17,27.17,27.17,0.0,0.0,27.17,27.17,27.17,0.0,0.0,27.17,27.17,27.17,0.0,0.0,27.17,27.17,27.17,0.0,0.0
2018-02-11,27.91,27.91,27.91,0.0,0.0,28.01,28.01,28.01,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2018-02-18,28.44,28.44,28.44,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.44,28.44,28.44,0.0,0.0
2018-02-25,27.6,27.6,27.6,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.71,27.71,27.71,0.0,0.0
2018-03-04,28.25,28.25,28.25,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2018-03-11,28.22,28.22,28.22,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2018-03-18,27.14,27.14,27.14,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0
2018-03-25,27.72,27.72,27.72,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.76,27.76,27.76,0.0,0.0
2018-04-01,27.69,27.69,27.69,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2018-04-08,28.55,28.55,28.55,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.08,28.08,28.08,0.0,0.0,28.08,28.08,28.08,0.0,0.0
