Date,FlexShares Morningstar US Market Factor Tilt_etf_Open_average,FlexShares Morningstar US Market Factor Tilt_etf_Open_max,FlexShares Morningstar US Market Factor Tilt_etf_Open_min,FlexShares Morningstar US Market Factor Tilt_etf_Open_volatility,FlexShares Morningstar US Market Factor Tilt_etf_Open_change,FlexShares Morningstar US Market Factor Tilt_etf_High_average,FlexShares Morningstar US Market Factor Tilt_etf_High_max,FlexShares Morningstar US Market Factor Tilt_etf_High_min,FlexShares Morningstar US Market Factor Tilt_etf_High_volatility,FlexShares Morningstar US Market Factor Tilt_etf_High_change,FlexShares Morningstar US Market Factor Tilt_etf_Low_average,FlexShares Morningstar US Market Factor Tilt_etf_Low_max,FlexShares Morningstar US Market Factor Tilt_etf_Low_min,FlexShares Morningstar US Market Factor Tilt_etf_Low_volatility,FlexShares Morningstar US Market Factor Tilt_etf_Low_change,FlexShares Morningstar US Market Factor Tilt_etf_Close_average,FlexShares Morningstar US Market Factor Tilt_etf_Close_max,FlexShares Morningstar US Market Factor Tilt_etf_Close_min,FlexShares Morningstar US Market Factor Tilt_etf_Close_volatility,FlexShares Morningstar US Market Factor Tilt_etf_Close_change
2018-01-14,116.7,116.7,116.7,0.0,0.0,116.9,116.9,116.9,0.0,0.0,116.23,116.23,116.23,0.0,0.0,116.73,116.73,116.73,0.0,0.0
2018-01-21,118.07,118.07,118.07,0.0,0.0,118.93,118.93,118.93,0.0,0.0,118.07,118.07,118.07,0.0,0.0,118.93,118.93,118.93,0.0,0.0
2018-01-28,115.62,115.62,115.62,0.0,0.0,115.81,115.81,115.81,0.0,0.0,114.27,114.27,114.27,0.0,0.0,114.29,114.29,114.29,0.0,0.0
2018-02-04,107.92,107.92,107.92,0.0,0.0,109.14,109.14,109.14,0.0,0.0,105.51,105.51,105.51,0.0,0.0,108.33,108.33,108.33,0.0,0.0
2018-02-11,112.55,112.55,112.55,0.0,0.0,113.74,113.74,113.74,0.0,0.0,112.55,112.55,112.55,0.0,0.0,113.33,113.33,113.33,0.0,0.0
2018-02-18,112.55,112.55,112.55,0.0,0.0,113.36,113.36,113.36,0.0,0.0,112.55,112.55,112.55,0.0,0.0,113.36,113.36,113.36,0.0,0.0
2018-02-25,109.98,109.98,109.98,0.0,0.0,111.26,111.26,111.26,0.0,0.0,109.98,109.98,109.98,0.0,0.0,111.08,111.08,111.08,0.0,0.0
2018-03-04,114.19,114.19,114.19,0.0,0.0,115.33,115.33,115.33,0.0,0.0,114.13,114.13,114.13,0.0,0.0,115.27,115.27,115.27,0.0,0.0
2018-03-11,113.71,113.71,113.71,0.0,0.0,114.53,114.53,114.53,0.0,0.0,113.71,113.71,113.71,0.0,0.0,114.43,114.43,114.43,0.0,0.0
2018-03-18,109.9,109.9,109.9,0.0,0.0,110.09,110.09,110.09,0.0,0.0,108.91,108.91,108.91,0.0,0.0,108.91,108.91,108.91,0.0,0.0
2018-03-25,109.29,109.29,109.29,0.0,0.0,110.05,110.05,110.05,0.0,0.0,109.25,109.25,109.25,0.0,0.0,109.72,109.72,109.72,0.0,0.0
2018-04-01,109.76,109.76,109.76,0.0,0.0,110.18,110.18,110.18,0.0,0.0,107.83,107.83,107.83,0.0,0.0,108.38,108.38,108.38,0.0,0.0
