Date,Vanguard Telecommunication Services_Open_average,Vanguard Telecommunication Services_Open_max,Vanguard Telecommunication Services_Open_min,Vanguard Telecommunication Services_Open_volatility,Vanguard Telecommunication Services_Open_change,Vanguard Telecommunication Services_High_average,Vanguard Telecommunication Services_High_max,Vanguard Telecommunication Services_High_min,Vanguard Telecommunication Services_High_volatility,Vanguard Telecommunication Services_High_change,Vanguard Telecommunication Services_Low_average,Vanguard Telecommunication Services_Low_max,Vanguard Telecommunication Services_Low_min,Vanguard Telecommunication Services_Low_volatility,Vanguard Telecommunication Services_Low_change,Vanguard Telecommunication Services_Close_average,Vanguard Telecommunication Services_Close_max,Vanguard Telecommunication Services_Close_min,Vanguard Telecommunication Services_Close_volatility,Vanguard Telecommunication Services_Close_change
2018-01-14,90.73,90.73,90.73,0.0,0.0,92.5,92.5,92.5,0.0,0.0,90.73,90.73,90.73,0.0,0.0,92.5,92.5,92.5,0.0,0.0
2018-01-21,92.1,92.1,92.1,0.0,0.0,92.88,92.88,92.88,0.0,0.0,91.7,91.7,91.7,0.0,0.0,92.14,92.14,92.14,0.0,0.0
2018-01-28,90.25,90.25,90.25,0.0,0.0,91.14,91.14,91.14,0.0,0.0,87.69,87.69,87.69,0.0,0.0,87.76,87.76,87.76,0.0,0.0
2018-02-04,85.72,85.72,85.72,0.0,0.0,86.87,86.87,86.87,0.0,0.0,85.34,85.34,85.34,0.0,0.0,86.28,86.28,86.28,0.0,0.0
2018-02-11,88.53,88.53,88.53,0.0,0.0,89.81,89.81,89.81,0.0,0.0,88.32,88.32,88.32,0.0,0.0,89.2,89.2,89.2,0.0,0.0
2018-02-18,88.28,88.28,88.28,0.0,0.0,89.12,89.12,89.12,0.0,0.0,88.23,88.23,88.23,0.0,0.0,89.0,89.0,89.0,0.0,0.0
2018-02-25,86.9,86.9,86.9,0.0,0.0,88.63,88.63,88.63,0.0,0.0,86.73,86.73,86.73,0.0,0.0,88.35,88.35,88.35,0.0,0.0
2018-03-04,89.78,89.78,89.78,0.0,0.0,89.84,89.84,89.84,0.0,0.0,88.63,88.63,88.63,0.0,0.0,89.07,89.07,89.07,0.0,0.0
2018-03-11,87.74,87.74,87.74,0.0,0.0,88.04,88.04,88.04,0.0,0.0,86.42,86.42,86.42,0.0,0.0,86.65,86.65,86.65,0.0,0.0
2018-03-18,83.65,83.65,83.65,0.0,0.0,83.99,83.99,83.99,0.0,0.0,82.75,82.75,82.75,0.0,0.0,83.41,83.41,83.41,0.0,0.0
