Date,WisdomTree China ex-State-Owned Enterprises_Open_average,WisdomTree China ex-State-Owned Enterprises_Open_max,WisdomTree China ex-State-Owned Enterprises_Open_min,WisdomTree China ex-State-Owned Enterprises_Open_volatility,WisdomTree China ex-State-Owned Enterprises_Open_change,WisdomTree China ex-State-Owned Enterprises_High_average,WisdomTree China ex-State-Owned Enterprises_High_max,WisdomTree China ex-State-Owned Enterprises_High_min,WisdomTree China ex-State-Owned Enterprises_High_volatility,WisdomTree China ex-State-Owned Enterprises_High_change,WisdomTree China ex-State-Owned Enterprises_Low_average,WisdomTree China ex-State-Owned Enterprises_Low_max,WisdomTree China ex-State-Owned Enterprises_Low_min,WisdomTree China ex-State-Owned Enterprises_Low_volatility,WisdomTree China ex-State-Owned Enterprises_Low_change,WisdomTree China ex-State-Owned Enterprises_Close_average,WisdomTree China ex-State-Owned Enterprises_Close_max,WisdomTree China ex-State-Owned Enterprises_Close_min,WisdomTree China ex-State-Owned Enterprises_Close_volatility,WisdomTree China ex-State-Owned Enterprises_Close_change
2018-01-14,94.28,94.28,94.28,0.0,0.0,94.6,94.6,94.6,0.0,0.0,93.86,93.86,93.86,0.0,0.0,94.6,94.6,94.6,0.0,0.0
2018-01-21,94.9,94.9,94.9,0.0,0.0,94.9,94.9,94.9,0.0,0.0,93.77,93.77,93.77,0.0,0.0,93.98,93.98,93.98,0.0,0.0
2018-01-28,90.24,90.24,90.24,0.0,0.0,91.63,91.63,91.63,0.0,0.0,88.0,88.0,88.0,0.0,0.0,88.27,88.27,88.27,0.0,0.0
2018-02-04,84.25,84.25,84.25,0.0,0.0,85.17,85.17,85.17,0.0,0.0,83.56,83.56,83.56,0.0,0.0,84.81,84.81,84.81,0.0,0.0
2018-02-11,90.69,90.69,90.69,0.0,0.0,91.45,91.45,91.45,0.0,0.0,90.17,90.17,90.17,0.0,0.0,90.76,90.76,90.76,0.0,0.0
2018-02-18,92.81,92.81,92.81,0.0,0.0,93.13,93.13,93.13,0.0,0.0,92.16,92.16,92.16,0.0,0.0,92.97,92.97,92.97,0.0,0.0
2018-02-25,87.57,87.57,87.57,0.0,0.0,88.81,88.81,88.81,0.0,0.0,87.34,87.34,87.34,0.0,0.0,88.72,88.72,88.72,0.0,0.0
2018-03-04,93.15,93.15,93.15,0.0,0.0,93.43,93.43,93.43,0.0,0.0,92.81,92.81,92.81,0.0,0.0,93.29,93.29,93.29,0.0,0.0
2018-03-11,92.84,92.84,92.84,0.0,0.0,93.14,93.14,93.14,0.0,0.0,91.87,91.87,91.87,0.0,0.0,92.37,92.37,92.37,0.0,0.0
2018-03-18,89.14,89.14,89.14,0.0,0.0,90.02,90.02,90.02,0.0,0.0,87.99,87.99,87.99,0.0,0.0,89.87,89.87,89.87,0.0,0.0
