Date,iShares New York AMT-Free Muni Bond_etf_Open_average,iShares New York AMT-Free Muni Bond_etf_Open_max,iShares New York AMT-Free Muni Bond_etf_Open_min,iShares New York AMT-Free Muni Bond_etf_Open_volatility,iShares New York AMT-Free Muni Bond_etf_Open_change,iShares New York AMT-Free Muni Bond_etf_High_average,iShares New York AMT-Free Muni Bond_etf_High_max,iShares New York AMT-Free Muni Bond_etf_High_min,iShares New York AMT-Free Muni Bond_etf_High_volatility,iShares New York AMT-Free Muni Bond_etf_High_change,iShares New York AMT-Free Muni Bond_etf_Low_average,iShares New York AMT-Free Muni Bond_etf_Low_max,iShares New York AMT-Free Muni Bond_etf_Low_min,iShares New York AMT-Free Muni Bond_etf_Low_volatility,iShares New York AMT-Free Muni Bond_etf_Low_change,iShares New York AMT-Free Muni Bond_etf_Close_average,iShares New York AMT-Free Muni Bond_etf_Close_max,iShares New York AMT-Free Muni Bond_etf_Close_min,iShares New York AMT-Free Muni Bond_etf_Close_volatility,iShares New York AMT-Free Muni Bond_etf_Close_change
2018-01-14,55.43,55.43,55.43,0.0,0.0,55.51,55.51,55.51,0.0,0.0,55.43,55.43,55.43,0.0,0.0,55.49,55.49,55.49,0.0,0.0
2018-01-21,55.39,55.39,55.39,0.0,0.0,55.42,55.42,55.42,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.38,55.38,55.38,0.0,0.0
2018-01-28,54.78,54.78,54.78,0.0,0.0,54.87,54.87,54.87,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.82,54.82,54.82,0.0,0.0
2018-02-04,54.85,54.85,54.85,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2018-02-11,54.72,54.72,54.72,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.78,54.78,54.78,0.0,0.0
2018-02-18,54.8,54.8,54.8,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.8,54.8,54.8,0.0,0.0
2018-02-25,54.78,54.78,54.78,0.0,0.0,54.78,54.78,54.78,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.72,54.72,54.72,0.0,0.0
2018-03-04,54.57,54.57,54.57,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.57,54.57,54.57,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2018-03-11,54.56,54.56,54.56,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.56,54.56,54.56,0.0,0.0
2018-03-18,54.61,54.61,54.61,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.64,54.64,54.64,0.0,0.0
