Date,UBS E-TRACS Alerian Natural Gas MLP_Open_average,UBS E-TRACS Alerian Natural Gas MLP_Open_max,UBS E-TRACS Alerian Natural Gas MLP_Open_min,UBS E-TRACS Alerian Natural Gas MLP_Open_volatility,UBS E-TRACS Alerian Natural Gas MLP_Open_change,UBS E-TRACS Alerian Natural Gas MLP_High_average,UBS E-TRACS Alerian Natural Gas MLP_High_max,UBS E-TRACS Alerian Natural Gas MLP_High_min,UBS E-TRACS Alerian Natural Gas MLP_High_volatility,UBS E-TRACS Alerian Natural Gas MLP_High_change,UBS E-TRACS Alerian Natural Gas MLP_Low_average,UBS E-TRACS Alerian Natural Gas MLP_Low_max,UBS E-TRACS Alerian Natural Gas MLP_Low_min,UBS E-TRACS Alerian Natural Gas MLP_Low_volatility,UBS E-TRACS Alerian Natural Gas MLP_Low_change,UBS E-TRACS Alerian Natural Gas MLP_Close_average,UBS E-TRACS Alerian Natural Gas MLP_Close_max,UBS E-TRACS Alerian Natural Gas MLP_Close_min,UBS E-TRACS Alerian Natural Gas MLP_Close_volatility,UBS E-TRACS Alerian Natural Gas MLP_Close_change
2018-01-14,25.37,25.37,25.37,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2018-01-21,25.8,25.8,25.8,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.8,25.8,25.8,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2018-01-28,25.25,25.25,25.25,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2018-02-04,23.24,23.24,23.24,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.16,23.16,23.16,0.0,0.0,23.63,23.63,23.63,0.0,0.0
2018-02-11,23.72,23.72,23.72,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.9,23.9,23.9,0.0,0.0
2018-02-18,23.29,23.29,23.29,0.0,0.0,23.29,23.29,23.29,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0
2018-02-25,22.65,22.65,22.65,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.62,22.62,22.62,0.0,0.0,22.9,22.9,22.9,0.0,0.0
2018-03-04,23.0,23.0,23.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0
2018-03-11,21.2,21.2,21.2,0.0,0.0,22.39,22.39,22.39,0.0,0.0,19.96,19.96,19.96,0.0,0.0,22.15,22.15,22.15,0.0,0.0
2018-03-18,20.98,20.98,20.98,0.0,0.0,20.98,20.98,20.98,0.0,0.0,20.98,20.98,20.98,0.0,0.0,20.98,20.98,20.98,0.0,0.0
