Date,Franklin FTSE MexicoEtf_Open_average,Franklin FTSE MexicoEtf_Open_max,Franklin FTSE MexicoEtf_Open_min,Franklin FTSE MexicoEtf_Open_volatility,Franklin FTSE MexicoEtf_Open_change,Franklin FTSE MexicoEtf_High_average,Franklin FTSE MexicoEtf_High_max,Franklin FTSE MexicoEtf_High_min,Franklin FTSE MexicoEtf_High_volatility,Franklin FTSE MexicoEtf_High_change,Franklin FTSE MexicoEtf_Low_average,Franklin FTSE MexicoEtf_Low_max,Franklin FTSE MexicoEtf_Low_min,Franklin FTSE MexicoEtf_Low_volatility,Franklin FTSE MexicoEtf_Low_change,Franklin FTSE MexicoEtf_Close_average,Franklin FTSE MexicoEtf_Close_max,Franklin FTSE MexicoEtf_Close_min,Franklin FTSE MexicoEtf_Close_volatility,Franklin FTSE MexicoEtf_Close_change
2018-01-14,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0
2018-01-21,27.09,27.09,27.09,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.1,27.1,27.1,0.0,0.0
2018-01-28,26.56,26.56,26.56,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2018-02-04,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0
2018-02-11,26.19,26.19,26.19,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.25,26.25,26.25,0.0,0.0
2018-02-18,25.91,25.91,25.91,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.97,25.97,25.97,0.0,0.0
2018-02-25,26.73,26.73,26.73,0.0,0.0,26.73,26.73,26.73,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2018-03-04,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2018-03-11,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0
2018-03-18,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0
