Date,iShares AsiaPacific Dividend_Open_average,iShares AsiaPacific Dividend_Open_max,iShares AsiaPacific Dividend_Open_min,iShares AsiaPacific Dividend_Open_volatility,iShares AsiaPacific Dividend_Open_change,iShares AsiaPacific Dividend_High_average,iShares AsiaPacific Dividend_High_max,iShares AsiaPacific Dividend_High_min,iShares AsiaPacific Dividend_High_volatility,iShares AsiaPacific Dividend_High_change,iShares AsiaPacific Dividend_Low_average,iShares AsiaPacific Dividend_Low_max,iShares AsiaPacific Dividend_Low_min,iShares AsiaPacific Dividend_Low_volatility,iShares AsiaPacific Dividend_Low_change,iShares AsiaPacific Dividend_Close_average,iShares AsiaPacific Dividend_Close_max,iShares AsiaPacific Dividend_Close_min,iShares AsiaPacific Dividend_Close_volatility,iShares AsiaPacific Dividend_Close_change
2018-01-14,50.67,50.67,50.67,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2018-01-21,51.21,51.21,51.21,0.0,0.0,51.21,51.21,51.21,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.12,51.12,51.12,0.0,0.0
2018-01-28,49.9,49.9,49.9,0.0,0.0,49.9,49.9,49.9,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2018-02-04,48.01,48.01,48.01,0.0,0.0,48.18,48.18,48.18,0.0,0.0,47.86,47.86,47.86,0.0,0.0,48.12,48.12,48.12,0.0,0.0
2018-02-11,49.1,49.1,49.1,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2018-02-18,49.5,49.5,49.5,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2018-02-25,47.12,47.12,47.12,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.12,47.12,47.12,0.0,0.0,47.64,47.64,47.64,0.0,0.0
2018-03-04,48.54,48.54,48.54,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2018-03-11,47.74,47.74,47.74,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.63,47.63,47.63,0.0,0.0
2018-03-18,46.52,46.52,46.52,0.0,0.0,46.74,46.74,46.74,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2018-03-25,46.28,46.28,46.28,0.0,0.0,46.28,46.28,46.28,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.6,45.6,45.6,0.0,0.0
2018-04-01,46.64,46.64,46.64,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2018-04-08,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0
2018-04-15,46.25,46.25,46.25,0.0,0.0,46.25,46.25,46.25,0.0,0.0,46.11,46.11,46.11,0.0,0.0,46.11,46.11,46.11,0.0,0.0
