Date,First Trust China AlphaDEX_Open_average,First Trust China AlphaDEX_Open_max,First Trust China AlphaDEX_Open_min,First Trust China AlphaDEX_Open_volatility,First Trust China AlphaDEX_Open_change,First Trust China AlphaDEX_High_average,First Trust China AlphaDEX_High_max,First Trust China AlphaDEX_High_min,First Trust China AlphaDEX_High_volatility,First Trust China AlphaDEX_High_change,First Trust China AlphaDEX_Low_average,First Trust China AlphaDEX_Low_max,First Trust China AlphaDEX_Low_min,First Trust China AlphaDEX_Low_volatility,First Trust China AlphaDEX_Low_change,First Trust China AlphaDEX_Close_average,First Trust China AlphaDEX_Close_max,First Trust China AlphaDEX_Close_min,First Trust China AlphaDEX_Close_volatility,First Trust China AlphaDEX_Close_change
2016-01-03,18.26,18.26,18.26,0.0,0.0,18.26,18.26,18.26,0.0,0.0,18.26,18.26,18.26,0.0,0.0,18.26,18.26,18.26,0.0,0.0
2016-01-10,17.14,17.14,17.14,0.0,0.0,18.49,18.49,18.49,0.0,0.0,17.09,17.09,17.09,0.0,0.0,17.8,17.8,17.8,0.0,0.0
2016-01-17,17.18,17.18,17.18,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.3,17.3,17.3,0.0,0.0
2016-01-24,17.49,17.49,17.49,0.0,0.0,17.6,17.6,17.6,0.0,0.0,17.49,17.49,17.49,0.0,0.0,17.6,17.6,17.6,0.0,0.0
2016-01-31,17.0,17.0,17.0,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.36,16.36,16.36,0.0,0.0,16.36,16.36,16.36,0.0,0.0
2016-02-07,16.34,16.34,16.34,0.0,0.0,16.44,16.44,16.44,0.0,0.0,16.34,16.34,16.34,0.0,0.0,16.44,16.44,16.44,0.0,0.0
2016-02-14,17.83,17.83,17.83,0.0,0.0,17.83,17.83,17.83,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.79,17.79,17.79,0.0,0.0
2016-02-21,17.42,17.42,17.42,0.0,0.0,17.42,17.42,17.42,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.29,17.29,17.29,0.0,0.0
2016-02-28,18.76,18.76,18.76,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2016-03-06,18.46,18.46,18.46,0.0,0.0,18.46,18.46,18.46,0.0,0.0,18.46,18.46,18.46,0.0,0.0,18.46,18.46,18.46,0.0,0.0
