Date,First Trust Mid Cap Growth AlphaDEX_Open_average,First Trust Mid Cap Growth AlphaDEX_Open_max,First Trust Mid Cap Growth AlphaDEX_Open_min,First Trust Mid Cap Growth AlphaDEX_Open_volatility,First Trust Mid Cap Growth AlphaDEX_Open_change,First Trust Mid Cap Growth AlphaDEX_High_average,First Trust Mid Cap Growth AlphaDEX_High_max,First Trust Mid Cap Growth AlphaDEX_High_min,First Trust Mid Cap Growth AlphaDEX_High_volatility,First Trust Mid Cap Growth AlphaDEX_High_change,First Trust Mid Cap Growth AlphaDEX_Low_average,First Trust Mid Cap Growth AlphaDEX_Low_max,First Trust Mid Cap Growth AlphaDEX_Low_min,First Trust Mid Cap Growth AlphaDEX_Low_volatility,First Trust Mid Cap Growth AlphaDEX_Low_change,First Trust Mid Cap Growth AlphaDEX_Close_average,First Trust Mid Cap Growth AlphaDEX_Close_max,First Trust Mid Cap Growth AlphaDEX_Close_min,First Trust Mid Cap Growth AlphaDEX_Close_volatility,First Trust Mid Cap Growth AlphaDEX_Close_change
2018-01-14,41.7,41.7,41.7,0.0,0.0,41.91,41.91,41.91,0.0,0.0,41.58,41.58,41.58,0.0,0.0,41.91,41.91,41.91,0.0,0.0
2018-01-21,42.22,42.22,42.22,0.0,0.0,42.26,42.26,42.26,0.0,0.0,41.96,41.96,41.96,0.0,0.0,42.07,42.07,42.07,0.0,0.0
2018-01-28,40.5,40.5,40.5,0.0,0.0,40.84,40.84,40.84,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.41,39.41,39.41,0.0,0.0
2018-02-04,38.95,38.95,38.95,0.0,0.0,39.51,39.51,39.51,0.0,0.0,38.75,38.75,38.75,0.0,0.0,39.21,39.21,39.21,0.0,0.0
2018-02-11,40.88,40.88,40.88,0.0,0.0,41.01,41.01,41.01,0.0,0.0,40.76,40.76,40.76,0.0,0.0,40.84,40.84,40.84,0.0,0.0
2018-02-18,41.06,41.06,41.06,0.0,0.0,41.21,41.21,41.21,0.0,0.0,40.96,40.96,40.96,0.0,0.0,41.2,41.2,41.2,0.0,0.0
2018-02-25,40.94,40.94,40.94,0.0,0.0,41.1,41.1,41.1,0.0,0.0,40.93,40.93,40.93,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2018-03-04,42.74,42.74,42.74,0.0,0.0,42.74,42.74,42.74,0.0,0.0,42.59,42.59,42.59,0.0,0.0,42.66,42.66,42.66,0.0,0.0
2018-03-11,41.95,41.95,41.95,0.0,0.0,42.15,42.15,42.15,0.0,0.0,41.43,41.43,41.43,0.0,0.0,41.88,41.88,41.88,0.0,0.0
2018-03-18,41.0,41.0,41.0,0.0,0.0,41.12,41.12,41.12,0.0,0.0,40.65,40.65,40.65,0.0,0.0,41.12,41.12,41.12,0.0,0.0
2018-03-25,40.43,40.43,40.43,0.0,0.0,40.64,40.64,40.64,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.64,39.64,39.64,0.0,0.0
2018-04-01,40.36,40.36,40.36,0.0,0.0,40.42,40.42,40.42,0.0,0.0,39.89,39.89,39.89,0.0,0.0,39.89,39.89,39.89,0.0,0.0
2018-04-08,40.83,40.83,40.83,0.0,0.0,41.18,41.18,41.18,0.0,0.0,40.82,40.82,40.82,0.0,0.0,41.1,41.1,41.1,0.0,0.0
2018-04-15,41.33,41.33,41.33,0.0,0.0,41.42,41.42,41.42,0.0,0.0,40.97,40.97,40.97,0.0,0.0,41.16,41.16,41.16,0.0,0.0
2018-04-22,40.8,40.8,40.8,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.36,40.36,40.36,0.0,0.0
2018-04-29,41.47,41.47,41.47,0.0,0.0,41.73,41.73,41.73,0.0,0.0,41.43,41.43,41.43,0.0,0.0,41.59,41.59,41.59,0.0,0.0
2018-05-06,42.91,42.91,42.91,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.59,42.59,42.59,0.0,0.0
2018-05-13,43.48,43.48,43.48,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.23,43.23,43.23,0.0,0.0,43.27,43.27,43.27,0.0,0.0
2018-05-20,42.92,42.92,42.92,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.87,42.87,42.87,0.0,0.0
2018-05-27,43.77,43.77,43.77,0.0,0.0,43.82,43.82,43.82,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.82,43.82,43.82,0.0,0.0
2018-06-03,44.45,44.45,44.45,0.0,0.0,44.54,44.54,44.54,0.0,0.0,44.36,44.36,44.36,0.0,0.0,44.46,44.46,44.46,0.0,0.0
