Date,iShares International Developed Property_etf_Open_average,iShares International Developed Property_etf_Open_max,iShares International Developed Property_etf_Open_min,iShares International Developed Property_etf_Open_volatility,iShares International Developed Property_etf_Open_change,iShares International Developed Property_etf_High_average,iShares International Developed Property_etf_High_max,iShares International Developed Property_etf_High_min,iShares International Developed Property_etf_High_volatility,iShares International Developed Property_etf_High_change,iShares International Developed Property_etf_Low_average,iShares International Developed Property_etf_Low_max,iShares International Developed Property_etf_Low_min,iShares International Developed Property_etf_Low_volatility,iShares International Developed Property_etf_Low_change,iShares International Developed Property_etf_Close_average,iShares International Developed Property_etf_Close_max,iShares International Developed Property_etf_Close_min,iShares International Developed Property_etf_Close_volatility,iShares International Developed Property_etf_Close_change
2018-01-14,40.78,40.78,40.78,0.0,0.0,40.96,40.96,40.96,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.94,40.94,40.94,0.0,0.0
2018-01-21,41.65,41.65,41.65,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.74,41.74,41.74,0.0,0.0
2018-01-28,40.39,40.39,40.39,0.0,0.0,40.48,40.48,40.48,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.92,39.92,39.92,0.0,0.0
2018-02-04,37.89,37.89,37.89,0.0,0.0,38.33,38.33,38.33,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.93,37.93,37.93,0.0,0.0
2018-02-11,38.86,38.86,38.86,0.0,0.0,39.13,39.13,39.13,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2018-02-18,38.98,38.98,38.98,0.0,0.0,39.17,39.17,39.17,0.0,0.0,38.98,38.98,38.98,0.0,0.0,39.16,39.16,39.16,0.0,0.0
2018-02-25,38.32,38.32,38.32,0.0,0.0,38.56,38.56,38.56,0.0,0.0,38.32,38.32,38.32,0.0,0.0,38.46,38.46,38.46,0.0,0.0
2018-03-04,39.0,39.0,39.0,0.0,0.0,39.12,39.12,39.12,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.08,39.08,39.08,0.0,0.0
2018-03-11,39.16,39.16,39.16,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2018-03-18,38.58,38.58,38.58,0.0,0.0,38.67,38.67,38.67,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.26,38.26,38.26,0.0,0.0
2018-03-25,38.88,38.88,38.88,0.0,0.0,39.1,39.1,39.1,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.98,38.98,38.98,0.0,0.0
2018-04-01,39.31,39.31,39.31,0.0,0.0,39.35,39.35,39.35,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.81,38.81,38.81,0.0,0.0
2018-04-08,39.5,39.5,39.5,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.4,39.4,39.4,0.0,0.0
2018-04-15,39.3,39.3,39.3,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2018-04-22,39.32,39.32,39.32,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.32,39.32,39.32,0.0,0.0,39.46,39.46,39.46,0.0,0.0
2018-04-29,39.3,39.3,39.3,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.26,39.26,39.26,0.0,0.0,39.37,39.37,39.37,0.0,0.0
2018-05-06,39.96,39.96,39.96,0.0,0.0,39.99,39.99,39.99,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.91,39.91,39.91,0.0,0.0
2018-05-13,39.19,39.19,39.19,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.12,39.12,39.12,0.0,0.0,39.19,39.19,39.19,0.0,0.0
2018-05-20,39.28,39.28,39.28,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.21,39.21,39.21,0.0,0.0
2018-05-27,39.37,39.37,39.37,0.0,0.0,39.38,39.38,39.38,0.0,0.0,39.27,39.27,39.27,0.0,0.0,39.35,39.35,39.35,0.0,0.0
