Date,Wisdom Tree Dividend Ex-Financials_etf_Open_average,Wisdom Tree Dividend Ex-Financials_etf_Open_max,Wisdom Tree Dividend Ex-Financials_etf_Open_min,Wisdom Tree Dividend Ex-Financials_etf_Open_volatility,Wisdom Tree Dividend Ex-Financials_etf_Open_change,Wisdom Tree Dividend Ex-Financials_etf_High_average,Wisdom Tree Dividend Ex-Financials_etf_High_max,Wisdom Tree Dividend Ex-Financials_etf_High_min,Wisdom Tree Dividend Ex-Financials_etf_High_volatility,Wisdom Tree Dividend Ex-Financials_etf_High_change,Wisdom Tree Dividend Ex-Financials_etf_Low_average,Wisdom Tree Dividend Ex-Financials_etf_Low_max,Wisdom Tree Dividend Ex-Financials_etf_Low_min,Wisdom Tree Dividend Ex-Financials_etf_Low_volatility,Wisdom Tree Dividend Ex-Financials_etf_Low_change,Wisdom Tree Dividend Ex-Financials_etf_Close_average,Wisdom Tree Dividend Ex-Financials_etf_Close_max,Wisdom Tree Dividend Ex-Financials_etf_Close_min,Wisdom Tree Dividend Ex-Financials_etf_Close_volatility,Wisdom Tree Dividend Ex-Financials_etf_Close_change
2018-01-14,91.01,91.01,91.01,0.0,0.0,91.04,91.04,91.04,0.0,0.0,90.57,90.57,90.57,0.0,0.0,91.04,91.04,91.04,0.0,0.0
2018-01-21,92.09,92.09,92.09,0.0,0.0,92.93,92.93,92.93,0.0,0.0,92.0,92.0,92.0,0.0,0.0,92.93,92.93,92.93,0.0,0.0
2018-01-28,90.27,90.27,90.27,0.0,0.0,90.27,90.27,90.27,0.0,0.0,88.81,88.81,88.81,0.0,0.0,88.81,88.81,88.81,0.0,0.0
2018-02-04,85.07,85.07,85.07,0.0,0.0,85.71,85.71,85.71,0.0,0.0,82.91,82.91,82.91,0.0,0.0,85.5,85.5,85.5,0.0,0.0
2018-02-11,88.97,88.97,88.97,0.0,0.0,89.78,89.78,89.78,0.0,0.0,88.93,88.93,88.93,0.0,0.0,89.24,89.24,89.24,0.0,0.0
2018-02-18,87.89,87.89,87.89,0.0,0.0,88.65,88.65,88.65,0.0,0.0,87.76,87.76,87.76,0.0,0.0,88.61,88.61,88.61,0.0,0.0
2018-02-25,85.72,85.72,85.72,0.0,0.0,86.81,86.81,86.81,0.0,0.0,85.72,85.72,85.72,0.0,0.0,86.81,86.81,86.81,0.0,0.0
2018-03-04,88.08,88.08,88.08,0.0,0.0,88.65,88.65,88.65,0.0,0.0,88.01,88.01,88.01,0.0,0.0,88.65,88.65,88.65,0.0,0.0
2018-03-11,87.43,87.43,87.43,0.0,0.0,88.36,88.36,88.36,0.0,0.0,87.43,87.43,87.43,0.0,0.0,88.12,88.12,88.12,0.0,0.0
2018-03-18,84.56,84.56,84.56,0.0,0.0,84.73,84.73,84.73,0.0,0.0,82.53,82.53,82.53,0.0,0.0,82.75,82.75,82.75,0.0,0.0
2018-03-25,83.72,83.72,83.72,0.0,0.0,84.66,84.66,84.66,0.0,0.0,83.72,83.72,83.72,0.0,0.0,84.54,84.54,84.54,0.0,0.0
2018-04-01,84.92,84.92,84.92,0.0,0.0,85.16,85.16,85.16,0.0,0.0,83.47,83.47,83.47,0.0,0.0,83.95,83.95,83.95,0.0,0.0
2018-04-08,85.42,85.42,85.42,0.0,0.0,85.42,85.42,85.42,0.0,0.0,84.97,84.97,84.97,0.0,0.0,85.12,85.12,85.12,0.0,0.0
2018-04-15,85.77,85.77,85.77,0.0,0.0,85.84,85.84,85.84,0.0,0.0,85.15,85.15,85.15,0.0,0.0,85.24,85.24,85.24,0.0,0.0
2018-04-22,85.81,85.81,85.81,0.0,0.0,86.33,86.33,86.33,0.0,0.0,85.81,85.81,85.81,0.0,0.0,86.14,86.14,86.14,0.0,0.0
2018-04-29,84.09,84.09,84.09,0.0,0.0,85.02,85.02,85.02,0.0,0.0,84.09,84.09,84.09,0.0,0.0,84.84,84.84,84.84,0.0,0.0
2018-05-06,86.24,86.24,86.24,0.0,0.0,86.73,86.73,86.73,0.0,0.0,86.24,86.24,86.24,0.0,0.0,86.45,86.45,86.45,0.0,0.0
2018-05-13,86.64,86.64,86.64,0.0,0.0,86.74,86.74,86.74,0.0,0.0,86.55,86.55,86.55,0.0,0.0,86.57,86.57,86.57,0.0,0.0
2018-05-20,86.4,86.4,86.4,0.0,0.0,86.4,86.4,86.4,0.0,0.0,85.9,85.9,85.9,0.0,0.0,86.1,86.1,86.1,0.0,0.0
2018-05-27,86.82,86.82,86.82,0.0,0.0,87.0,87.0,87.0,0.0,0.0,86.62,86.62,86.62,0.0,0.0,86.69,86.69,86.69,0.0,0.0
2018-06-03,87.21,87.21,87.21,0.0,0.0,87.74,87.74,87.74,0.0,0.0,87.21,87.21,87.21,0.0,0.0,87.71,87.71,87.71,0.0,0.0
2018-06-10,87.48,87.48,87.48,0.0,0.0,88.03,88.03,88.03,0.0,0.0,87.48,87.48,87.48,0.0,0.0,87.93,87.93,87.93,0.0,0.0
2018-06-17,88.25,88.25,88.25,0.0,0.0,88.39,88.39,88.39,0.0,0.0,87.94,87.94,87.94,0.0,0.0,87.94,87.94,87.94,0.0,0.0
2018-06-24,87.2,87.2,87.2,0.0,0.0,87.58,87.58,87.58,0.0,0.0,86.89,86.89,86.89,0.0,0.0,86.89,86.89,86.89,0.0,0.0
2018-07-01,87.24,87.24,87.24,0.0,0.0,88.2,88.2,88.2,0.0,0.0,87.24,87.24,87.24,0.0,0.0,88.15,88.15,88.15,0.0,0.0
2018-07-08,88.79,88.79,88.79,0.0,0.0,89.07,89.07,89.07,0.0,0.0,88.72,88.72,88.72,0.0,0.0,88.89,88.89,88.89,0.0,0.0
2018-07-15,88.36,88.36,88.36,0.0,0.0,88.36,88.36,88.36,0.0,0.0,87.97,87.97,87.97,0.0,0.0,87.97,87.97,87.97,0.0,0.0
2018-07-22,88.86,88.86,88.86,0.0,0.0,89.07,89.07,89.07,0.0,0.0,88.32,88.32,88.32,0.0,0.0,88.54,88.54,88.54,0.0,0.0
2018-07-29,89.5,89.5,89.5,0.0,0.0,89.77,89.77,89.77,0.0,0.0,89.45,89.45,89.45,0.0,0.0,89.61,89.61,89.61,0.0,0.0
2018-08-05,89.65,89.65,89.65,0.0,0.0,89.92,89.92,89.92,0.0,0.0,89.59,89.59,89.59,0.0,0.0,89.85,89.85,89.85,0.0,0.0
2018-08-12,90.56,90.56,90.56,0.0,0.0,91.42,91.42,91.42,0.0,0.0,90.56,90.56,90.56,0.0,0.0,91.25,91.25,91.25,0.0,0.0
2018-08-19,90.99,90.99,90.99,0.0,0.0,91.25,91.25,91.25,0.0,0.0,90.77,90.77,90.77,0.0,0.0,91.13,91.13,91.13,0.0,0.0
2018-08-26,90.62,90.62,90.62,0.0,0.0,90.82,90.82,90.82,0.0,0.0,90.31,90.31,90.31,0.0,0.0,90.6,90.6,90.6,0.0,0.0
2018-09-02,90.63,90.63,90.63,0.0,0.0,90.78,90.78,90.78,0.0,0.0,90.24,90.24,90.24,0.0,0.0,90.52,90.52,90.52,0.0,0.0
2018-09-09,91.55,91.55,91.55,0.0,0.0,91.61,91.61,91.61,0.0,0.0,91.24,91.24,91.24,0.0,0.0,91.5,91.5,91.5,0.0,0.0
2018-09-16,92.24,92.24,92.24,0.0,0.0,92.54,92.54,92.54,0.0,0.0,92.16,92.16,92.16,0.0,0.0,92.16,92.16,92.16,0.0,0.0
2018-09-23,90.17,90.17,90.17,0.0,0.0,90.56,90.56,90.56,0.0,0.0,90.17,90.17,90.17,0.0,0.0,90.43,90.43,90.43,0.0,0.0
2018-09-30,90.96,90.96,90.96,0.0,0.0,90.96,90.96,90.96,0.0,0.0,90.41,90.41,90.41,0.0,0.0,90.6,90.6,90.6,0.0,0.0
2018-10-07,86.75,86.75,86.75,0.0,0.0,87.38,87.38,87.38,0.0,0.0,85.88,85.88,85.88,0.0,0.0,86.74,86.74,86.74,0.0,0.0
2018-10-14,87.09,87.09,87.09,0.0,0.0,87.74,87.74,87.74,0.0,0.0,87.09,87.09,87.09,0.0,0.0,87.27,87.27,87.27,0.0,0.0
2018-10-21,83.98,83.98,83.98,0.0,0.0,83.98,83.98,83.98,0.0,0.0,82.55,82.55,82.55,0.0,0.0,83.15,83.15,83.15,0.0,0.0
2018-10-28,86.31,86.31,86.31,0.0,0.0,86.33,86.33,86.33,0.0,0.0,84.84,84.84,84.84,0.0,0.0,85.35,85.35,85.35,0.0,0.0
2018-11-04,86.96,86.96,86.96,0.0,0.0,86.96,86.96,86.96,0.0,0.0,86.03,86.03,86.03,0.0,0.0,86.44,86.44,86.44,0.0,0.0
