Date,iShares Core MSCI International Developed Market_Open_average,iShares Core MSCI International Developed Market_Open_max,iShares Core MSCI International Developed Market_Open_min,iShares Core MSCI International Developed Market_Open_volatility,iShares Core MSCI International Developed Market_Open_change,iShares Core MSCI International Developed Market_High_average,iShares Core MSCI International Developed Market_High_max,iShares Core MSCI International Developed Market_High_min,iShares Core MSCI International Developed Market_High_volatility,iShares Core MSCI International Developed Market_High_change,iShares Core MSCI International Developed Market_Low_average,iShares Core MSCI International Developed Market_Low_max,iShares Core MSCI International Developed Market_Low_min,iShares Core MSCI International Developed Market_Low_volatility,iShares Core MSCI International Developed Market_Low_change,iShares Core MSCI International Developed Market_Close_average,iShares Core MSCI International Developed Market_Close_max,iShares Core MSCI International Developed Market_Close_min,iShares Core MSCI International Developed Market_Close_volatility,iShares Core MSCI International Developed Market_Close_change
2018-01-14,61.52,61.52,61.52,0.0,0.0,61.74,61.74,61.74,0.0,0.0,61.42,61.42,61.42,0.0,0.0,61.67,61.67,61.67,0.0,0.0
2018-01-21,61.99,61.99,61.99,0.0,0.0,62.02,62.02,62.02,0.0,0.0,61.84,61.84,61.84,0.0,0.0,61.93,61.93,61.93,0.0,0.0
2018-01-28,59.32,59.32,59.32,0.0,0.0,59.42,59.42,59.42,0.0,0.0,57.62,57.62,57.62,0.0,0.0,57.7,57.7,57.7,0.0,0.0
2018-02-04,57.44,57.44,57.44,0.0,0.0,57.97,57.97,57.97,0.0,0.0,57.44,57.44,57.44,0.0,0.0,57.87,57.87,57.87,0.0,0.0
2018-02-11,59.26,59.26,59.26,0.0,0.0,59.55,59.55,59.55,0.0,0.0,59.21,59.21,59.21,0.0,0.0,59.33,59.33,59.33,0.0,0.0
2018-02-18,59.63,59.63,59.63,0.0,0.0,59.87,59.87,59.87,0.0,0.0,59.49,59.49,59.49,0.0,0.0,59.75,59.75,59.75,0.0,0.0
2018-02-25,57.26,57.26,57.26,0.0,0.0,58.02,58.02,58.02,0.0,0.0,57.26,57.26,57.26,0.0,0.0,57.95,57.95,57.95,0.0,0.0
2018-03-04,59.06,59.06,59.06,0.0,0.0,59.06,59.06,59.06,0.0,0.0,58.96,58.96,58.96,0.0,0.0,59.01,59.01,59.01,0.0,0.0
2018-03-11,58.45,58.45,58.45,0.0,0.0,58.45,58.45,58.45,0.0,0.0,57.95,57.95,57.95,0.0,0.0,58.2,58.2,58.2,0.0,0.0
2018-03-18,57.49,57.49,57.49,0.0,0.0,57.61,57.61,57.61,0.0,0.0,57.17,57.17,57.17,0.0,0.0,57.61,57.61,57.61,0.0,0.0
2018-03-25,57.82,57.82,57.82,0.0,0.0,57.82,57.82,57.82,0.0,0.0,56.87,56.87,56.87,0.0,0.0,57.25,57.25,57.25,0.0,0.0
2018-04-01,58.35,58.35,58.35,0.0,0.0,58.52,58.52,58.52,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.15,58.15,58.15,0.0,0.0
2018-04-08,59.06,59.06,59.06,0.0,0.0,59.06,59.06,59.06,0.0,0.0,59.04,59.04,59.04,0.0,0.0,59.04,59.04,59.04,0.0,0.0
2018-04-15,59.05,59.05,59.05,0.0,0.0,59.11,59.11,59.11,0.0,0.0,58.92,58.92,58.92,0.0,0.0,59.07,59.07,59.07,0.0,0.0
