Date,ProShares UltraPro 3x Crude Oil_etf_Open_average,ProShares UltraPro 3x Crude Oil_etf_Open_max,ProShares UltraPro 3x Crude Oil_etf_Open_min,ProShares UltraPro 3x Crude Oil_etf_Open_volatility,ProShares UltraPro 3x Crude Oil_etf_Open_change,ProShares UltraPro 3x Crude Oil_etf_High_average,ProShares UltraPro 3x Crude Oil_etf_High_max,ProShares UltraPro 3x Crude Oil_etf_High_min,ProShares UltraPro 3x Crude Oil_etf_High_volatility,ProShares UltraPro 3x Crude Oil_etf_High_change,ProShares UltraPro 3x Crude Oil_etf_Low_average,ProShares UltraPro 3x Crude Oil_etf_Low_max,ProShares UltraPro 3x Crude Oil_etf_Low_min,ProShares UltraPro 3x Crude Oil_etf_Low_volatility,ProShares UltraPro 3x Crude Oil_etf_Low_change,ProShares UltraPro 3x Crude Oil_etf_Close_average,ProShares UltraPro 3x Crude Oil_etf_Close_max,ProShares UltraPro 3x Crude Oil_etf_Close_min,ProShares UltraPro 3x Crude Oil_etf_Close_volatility,ProShares UltraPro 3x Crude Oil_etf_Close_change
2018-01-14,43.24,43.24,43.24,0.0,0.0,43.83,43.83,43.83,0.0,0.0,42.45,42.45,42.45,0.0,0.0,43.57,43.57,43.57,0.0,0.0
2018-01-21,47.81,47.81,47.81,0.0,0.0,49.57,49.57,49.57,0.0,0.0,47.7,47.7,47.7,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-01-28,47.61,47.61,47.61,0.0,0.0,48.11,48.11,48.11,0.0,0.0,45.58,45.58,45.58,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2018-02-04,37.32,37.32,37.32,0.0,0.0,37.5,37.5,37.5,0.0,0.0,33.0,33.0,33.0,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2018-02-11,38.52,38.52,38.52,0.0,0.0,40.04,40.04,40.04,0.0,0.0,38.08,38.08,38.08,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2018-02-18,42.15,42.15,42.15,0.0,0.0,44.11,44.11,44.11,0.0,0.0,42.05,42.05,42.05,0.0,0.0,43.86,43.86,43.86,0.0,0.0
2018-02-25,38.13,38.13,38.13,0.0,0.0,39.53,39.53,39.53,0.0,0.0,37.06,37.06,37.06,0.0,0.0,39.44,39.44,39.44,0.0,0.0
2018-03-04,38.65,38.65,38.65,0.0,0.0,40.64,40.64,40.64,0.0,0.0,38.54,38.54,38.54,0.0,0.0,40.48,40.48,40.48,0.0,0.0
2018-03-11,39.25,39.25,39.25,0.0,0.0,41.7,41.7,41.7,0.0,0.0,38.97,38.97,38.97,0.0,0.0,41.17,41.17,41.17,0.0,0.0
2018-03-18,46.41,46.41,46.41,0.0,0.0,48.59,48.59,48.59,0.0,0.0,46.34,46.34,46.34,0.0,0.0,48.43,48.43,48.43,0.0,0.0
2018-03-25,45.26,45.26,45.26,0.0,0.0,46.85,46.85,46.85,0.0,0.0,44.67,44.67,44.67,0.0,0.0,46.33,46.33,46.33,0.0,0.0
