Date,iShares MSCI China A_Open_average,iShares MSCI China A_Open_max,iShares MSCI China A_Open_min,iShares MSCI China A_Open_volatility,iShares MSCI China A_Open_change,iShares MSCI China A_High_average,iShares MSCI China A_High_max,iShares MSCI China A_High_min,iShares MSCI China A_High_volatility,iShares MSCI China A_High_change,iShares MSCI China A_Low_average,iShares MSCI China A_Low_max,iShares MSCI China A_Low_min,iShares MSCI China A_Low_volatility,iShares MSCI China A_Low_change,iShares MSCI China A_Close_average,iShares MSCI China A_Close_max,iShares MSCI China A_Close_min,iShares MSCI China A_Close_volatility,iShares MSCI China A_Close_change
2018-01-14,34.81,34.81,34.81,0.0,0.0,34.85,34.85,34.85,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2018-01-21,34.78,34.78,34.78,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2018-01-28,34.61,34.61,34.61,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2018-02-04,31.33,31.33,31.33,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-02-11,33.08,33.08,33.08,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.17,33.17,33.17,0.0,0.0
2018-02-18,33.43,33.43,33.43,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.78,33.78,33.78,0.0,0.0
2018-02-25,32.55,32.55,32.55,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.55,32.55,32.55,0.0,0.0
2018-03-04,33.59,33.59,33.59,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2018-03-11,32.85,32.85,32.85,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.92,32.92,32.92,0.0,0.0
2018-03-18,31.73,31.73,31.73,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.86,31.86,31.86,0.0,0.0
