Date,VanEck Vectors Uranium+Nuclear Energy_Open_average,VanEck Vectors Uranium+Nuclear Energy_Open_max,VanEck Vectors Uranium+Nuclear Energy_Open_min,VanEck Vectors Uranium+Nuclear Energy_Open_volatility,VanEck Vectors Uranium+Nuclear Energy_Open_change,VanEck Vectors Uranium+Nuclear Energy_High_average,VanEck Vectors Uranium+Nuclear Energy_High_max,VanEck Vectors Uranium+Nuclear Energy_High_min,VanEck Vectors Uranium+Nuclear Energy_High_volatility,VanEck Vectors Uranium+Nuclear Energy_High_change,VanEck Vectors Uranium+Nuclear Energy_Low_average,VanEck Vectors Uranium+Nuclear Energy_Low_max,VanEck Vectors Uranium+Nuclear Energy_Low_min,VanEck Vectors Uranium+Nuclear Energy_Low_volatility,VanEck Vectors Uranium+Nuclear Energy_Low_change,VanEck Vectors Uranium+Nuclear Energy_Close_average,VanEck Vectors Uranium+Nuclear Energy_Close_max,VanEck Vectors Uranium+Nuclear Energy_Close_min,VanEck Vectors Uranium+Nuclear Energy_Close_volatility,VanEck Vectors Uranium+Nuclear Energy_Close_change
2018-01-14,48.51,48.51,48.51,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.51,48.51,48.51,0.0,0.0
2018-01-21,49.42,49.42,49.42,0.0,0.0,49.42,49.42,49.42,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2018-01-28,47.6,47.6,47.6,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.07,47.07,47.07,0.0,0.0,47.07,47.07,47.07,0.0,0.0
2018-02-04,46.46,46.46,46.46,0.0,0.0,46.53,46.53,46.53,0.0,0.0,46.28,46.28,46.28,0.0,0.0,46.53,46.53,46.53,0.0,0.0
2018-02-11,47.99,47.99,47.99,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.99,47.99,47.99,0.0,0.0
2018-02-18,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2018-02-25,47.38,47.38,47.38,0.0,0.0,47.38,47.38,47.38,0.0,0.0,47.31,47.31,47.31,0.0,0.0,47.31,47.31,47.31,0.0,0.0
2018-03-04,47.24,47.24,47.24,0.0,0.0,47.24,47.24,47.24,0.0,0.0,47.24,47.24,47.24,0.0,0.0,47.24,47.24,47.24,0.0,0.0
2018-03-11,47.73,47.73,47.73,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.73,47.73,47.73,0.0,0.0,47.88,47.88,47.88,0.0,0.0
2018-03-18,47.7,47.7,47.7,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.56,47.56,47.56,0.0,0.0,47.56,47.56,47.56,0.0,0.0
