Date,iShares Intermediate Credit BondEtf_Open_average,iShares Intermediate Credit BondEtf_Open_max,iShares Intermediate Credit BondEtf_Open_min,iShares Intermediate Credit BondEtf_Open_volatility,iShares Intermediate Credit BondEtf_Open_change,iShares Intermediate Credit BondEtf_High_average,iShares Intermediate Credit BondEtf_High_max,iShares Intermediate Credit BondEtf_High_min,iShares Intermediate Credit BondEtf_High_volatility,iShares Intermediate Credit BondEtf_High_change,iShares Intermediate Credit BondEtf_Low_average,iShares Intermediate Credit BondEtf_Low_max,iShares Intermediate Credit BondEtf_Low_min,iShares Intermediate Credit BondEtf_Low_volatility,iShares Intermediate Credit BondEtf_Low_change,iShares Intermediate Credit BondEtf_Close_average,iShares Intermediate Credit BondEtf_Close_max,iShares Intermediate Credit BondEtf_Close_min,iShares Intermediate Credit BondEtf_Close_volatility,iShares Intermediate Credit BondEtf_Close_change
2018-01-14,54.28,54.28,54.28,0.0,0.0,54.28,54.28,54.28,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.21,54.21,54.21,0.0,0.0
2018-01-21,54.34,54.34,54.34,0.0,0.0,54.34,54.34,54.34,0.0,0.0,54.27,54.27,54.27,0.0,0.0,54.33,54.33,54.33,0.0,0.0
2018-01-28,53.91,53.91,53.91,0.0,0.0,53.95,53.95,53.95,0.0,0.0,53.86,53.86,53.86,0.0,0.0,53.88,53.88,53.88,0.0,0.0
2018-02-04,53.77,53.77,53.77,0.0,0.0,53.82,53.82,53.82,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.78,53.78,53.78,0.0,0.0
2018-02-11,53.68,53.68,53.68,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.71,53.71,53.71,0.0,0.0
2018-02-18,53.66,53.66,53.66,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.62,53.62,53.62,0.0,0.0,53.69,53.69,53.69,0.0,0.0
2018-02-25,53.5,53.5,53.5,0.0,0.0,53.52,53.52,53.52,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.49,53.49,53.49,0.0,0.0
2018-03-04,53.47,53.47,53.47,0.0,0.0,53.47,53.47,53.47,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.47,53.47,53.47,0.0,0.0
2018-03-11,53.45,53.45,53.45,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.48,53.48,53.48,0.0,0.0
2018-03-18,53.34,53.34,53.34,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.34,53.34,53.34,0.0,0.0,53.38,53.38,53.38,0.0,0.0
