Date,ProShares Ultra Health Care_Open_average,ProShares Ultra Health Care_Open_max,ProShares Ultra Health Care_Open_min,ProShares Ultra Health Care_Open_volatility,ProShares Ultra Health Care_Open_change,ProShares Ultra Health Care_High_average,ProShares Ultra Health Care_High_max,ProShares Ultra Health Care_High_min,ProShares Ultra Health Care_High_volatility,ProShares Ultra Health Care_High_change,ProShares Ultra Health Care_Low_average,ProShares Ultra Health Care_Low_max,ProShares Ultra Health Care_Low_min,ProShares Ultra Health Care_Low_volatility,ProShares Ultra Health Care_Low_change,ProShares Ultra Health Care_Close_average,ProShares Ultra Health Care_Close_max,ProShares Ultra Health Care_Close_min,ProShares Ultra Health Care_Close_volatility,ProShares Ultra Health Care_Close_change
2018-01-14,99.24,99.24,99.24,0.0,0.0,101.17,101.17,101.17,0.0,0.0,99.24,99.24,99.24,0.0,0.0,101.17,101.17,101.17,0.0,0.0
2018-01-21,106.14,106.14,106.14,0.0,0.0,107.49,107.49,107.49,0.0,0.0,106.14,106.14,106.14,0.0,0.0,106.75,106.75,106.75,0.0,0.0
2018-01-28,95.7,95.7,95.7,0.0,0.0,96.75,96.75,96.75,0.0,0.0,85.01,85.01,85.01,0.0,0.0,87.9,87.9,87.9,0.0,0.0
2018-02-04,87.33,87.33,87.33,0.0,0.0,88.58,88.58,88.58,0.0,0.0,85.67,85.67,85.67,0.0,0.0,88.48,88.48,88.48,0.0,0.0
2018-02-11,92.6,92.6,92.6,0.0,0.0,94.35,94.35,94.35,0.0,0.0,92.21,92.21,92.21,0.0,0.0,93.29,93.29,93.29,0.0,0.0
2018-02-18,92.8,92.8,92.8,0.0,0.0,95.19,95.19,95.19,0.0,0.0,92.8,92.8,92.8,0.0,0.0,94.86,94.86,94.86,0.0,0.0
2018-02-25,88.1,88.1,88.1,0.0,0.0,90.53,90.53,90.53,0.0,0.0,88.1,88.1,88.1,0.0,0.0,90.22,90.22,90.22,0.0,0.0
2018-03-04,97.11,97.11,97.11,0.0,0.0,97.12,97.12,97.12,0.0,0.0,94.73,94.73,94.73,0.0,0.0,95.22,95.22,95.22,0.0,0.0
2018-03-11,92.09,92.09,92.09,0.0,0.0,92.09,92.09,92.09,0.0,0.0,89.89,89.89,89.89,0.0,0.0,90.77,90.77,90.77,0.0,0.0
2018-03-18,83.53,83.53,83.53,0.0,0.0,85.14,85.14,85.14,0.0,0.0,81.54,81.54,81.54,0.0,0.0,85.12,85.12,85.12,0.0,0.0
2018-03-25,85.59,85.59,85.59,0.0,0.0,85.59,85.59,85.59,0.0,0.0,79.39,79.39,79.39,0.0,0.0,80.64,80.64,80.64,0.0,0.0
2018-04-01,82.25,82.25,82.25,0.0,0.0,85.0,85.0,85.0,0.0,0.0,81.8,81.8,81.8,0.0,0.0,82.58,82.58,82.58,0.0,0.0
2018-04-08,86.2,86.2,86.2,0.0,0.0,86.72,86.72,86.72,0.0,0.0,86.2,86.2,86.2,0.0,0.0,86.72,86.72,86.72,0.0,0.0
2018-04-15,86.04,86.04,86.04,0.0,0.0,86.8,86.8,86.8,0.0,0.0,86.0,86.0,86.0,0.0,0.0,86.17,86.17,86.17,0.0,0.0
2018-04-22,88.9,88.9,88.9,0.0,0.0,88.9,88.9,88.9,0.0,0.0,85.92,85.92,85.92,0.0,0.0,85.92,85.92,85.92,0.0,0.0
2018-04-29,83.97,83.97,83.97,0.0,0.0,85.02,85.02,85.02,0.0,0.0,83.71,83.71,83.71,0.0,0.0,83.74,83.74,83.74,0.0,0.0
2018-05-06,88.95,88.95,88.95,0.0,0.0,90.15,90.15,90.15,0.0,0.0,88.95,88.95,88.95,0.0,0.0,89.31,89.31,89.31,0.0,0.0
2018-05-13,89.2,89.2,89.2,0.0,0.0,89.67,89.67,89.67,0.0,0.0,88.63,88.63,88.63,0.0,0.0,88.63,88.63,88.63,0.0,0.0
2018-05-20,88.6,88.6,88.6,0.0,0.0,88.6,88.6,88.6,0.0,0.0,88.17,88.17,88.17,0.0,0.0,88.17,88.17,88.17,0.0,0.0
2018-05-27,89.16,89.16,89.16,0.0,0.0,90.16,90.16,90.16,0.0,0.0,89.16,89.16,89.16,0.0,0.0,89.83,89.83,89.83,0.0,0.0
2018-06-03,92.4,92.4,92.4,0.0,0.0,93.85,93.85,93.85,0.0,0.0,92.4,92.4,92.4,0.0,0.0,93.85,93.85,93.85,0.0,0.0
2018-06-10,93.75,93.75,93.75,0.0,0.0,93.75,93.75,93.75,0.0,0.0,92.27,92.27,92.27,0.0,0.0,92.58,92.58,92.58,0.0,0.0
2018-06-17,93.13,93.13,93.13,0.0,0.0,93.13,93.13,93.13,0.0,0.0,90.52,90.52,90.52,0.0,0.0,90.66,90.66,90.66,0.0,0.0
2018-06-24,88.75,88.75,88.75,0.0,0.0,90.51,90.51,90.51,0.0,0.0,88.47,88.47,88.47,0.0,0.0,90.51,90.51,90.51,0.0,0.0
2018-07-01,96.59,96.59,96.59,0.0,0.0,97.52,97.52,97.52,0.0,0.0,96.56,96.56,96.56,0.0,0.0,96.87,96.87,96.87,0.0,0.0
2018-07-08,99.0,99.0,99.0,0.0,0.0,99.0,99.0,99.0,0.0,0.0,97.29,97.29,97.29,0.0,0.0,97.29,97.29,97.29,0.0,0.0
2018-07-15,97.57,97.57,97.57,0.0,0.0,97.9,97.9,97.9,0.0,0.0,97.42,97.42,97.42,0.0,0.0,97.83,97.83,97.83,0.0,0.0
2018-07-22,99.14,99.14,99.14,0.0,0.0,99.74,99.74,99.74,0.0,0.0,99.14,99.14,99.14,0.0,0.0,99.37,99.37,99.37,0.0,0.0
2018-07-29,104.08,104.08,104.08,0.0,0.0,104.43,104.43,104.43,0.0,0.0,102.92,102.92,102.92,0.0,0.0,104.13,104.13,104.13,0.0,0.0
2018-08-05,104.15,104.15,104.15,0.0,0.0,104.25,104.25,104.25,0.0,0.0,102.87,102.87,102.87,0.0,0.0,103.44,103.44,103.44,0.0,0.0
2018-08-12,107.0,107.0,107.0,0.0,0.0,107.48,107.48,107.48,0.0,0.0,106.91,106.91,106.91,0.0,0.0,107.18,107.18,107.18,0.0,0.0
2018-08-19,108.97,108.97,108.97,0.0,0.0,109.61,109.61,109.61,0.0,0.0,108.73,108.73,108.73,0.0,0.0,109.61,109.61,109.61,0.0,0.0
2018-08-26,110.39,110.39,110.39,0.0,0.0,110.86,110.86,110.86,0.0,0.0,109.96,109.96,109.96,0.0,0.0,110.72,110.72,110.72,0.0,0.0
2018-09-02,110.1,110.1,110.1,0.0,0.0,110.55,110.55,110.55,0.0,0.0,109.12,109.12,109.12,0.0,0.0,109.12,109.12,109.12,0.0,0.0
2018-09-09,111.99,111.99,111.99,0.0,0.0,111.99,111.99,111.99,0.0,0.0,110.71,110.71,110.71,0.0,0.0,110.76,110.76,110.76,0.0,0.0
2018-09-16,114.59,114.59,114.59,0.0,0.0,115.11,115.11,115.11,0.0,0.0,113.85,113.85,113.85,0.0,0.0,114.8,114.8,114.8,0.0,0.0
2018-09-23,117.5,117.5,117.5,0.0,0.0,118.3,118.3,118.3,0.0,0.0,116.76,116.76,116.76,0.0,0.0,117.11,117.11,117.11,0.0,0.0
2018-09-30,113.0,113.0,113.0,0.0,0.0,113.71,113.71,113.71,0.0,0.0,110.94,110.94,110.94,0.0,0.0,112.69,112.69,112.69,0.0,0.0
2018-10-07,105.89,105.89,105.89,0.0,0.0,105.89,105.89,105.89,0.0,0.0,103.72,103.72,103.72,0.0,0.0,103.72,103.72,103.72,0.0,0.0
2018-10-14,105.99,105.99,105.99,0.0,0.0,106.91,106.91,106.91,0.0,0.0,103.3,103.3,103.3,0.0,0.0,104.11,104.11,104.11,0.0,0.0
2018-10-21,98.41,98.41,98.41,0.0,0.0,100.0,100.0,100.0,0.0,0.0,94.47,94.47,94.47,0.0,0.0,96.47,96.47,96.47,0.0,0.0
2018-10-28,101.32,101.32,101.32,0.0,0.0,103.29,103.29,103.29,0.0,0.0,101.32,101.32,101.32,0.0,0.0,102.58,102.58,102.58,0.0,0.0
2018-11-04,107.76,107.76,107.76,0.0,0.0,108.0,108.0,108.0,0.0,0.0,104.65,104.65,104.65,0.0,0.0,104.86,104.86,104.86,0.0,0.0
2018-11-11,105.5,105.5,105.5,0.0,0.0,105.73,105.73,105.73,0.0,0.0,101.87,101.87,101.87,0.0,0.0,102.54,102.54,102.54,0.0,0.0
2018-11-18,101.49,101.49,101.49,0.0,0.0,102.51,102.51,102.51,0.0,0.0,100.95,100.95,100.95,0.0,0.0,102.09,102.09,102.09,0.0,0.0
2018-11-25,116.37,116.37,116.37,0.0,0.0,116.37,116.37,116.37,0.0,0.0,112.47,112.47,112.47,0.0,0.0,113.14,113.14,113.14,0.0,0.0
2018-12-02,102.18,102.18,102.18,0.0,0.0,102.92,102.92,102.92,0.0,0.0,97.68,97.68,97.68,0.0,0.0,102.68,102.68,102.68,0.0,0.0
2018-12-09,96.07,96.07,96.07,0.0,0.0,96.76,96.76,96.76,0.0,0.0,92.46,92.46,92.46,0.0,0.0,93.52,93.52,93.52,0.0,0.0
2018-12-16,83.39,83.39,83.39,0.0,0.0,83.55,83.55,83.55,0.0,0.0,80.3,80.3,80.3,0.0,0.0,80.3,80.3,80.3,0.0,0.0
2018-12-23,90.21,90.21,90.21,0.0,0.0,92.15,92.15,92.15,0.0,0.0,90.21,90.21,90.21,0.0,0.0,90.92,90.92,90.92,0.0,0.0
2018-12-30,90.72,90.72,90.72,0.0,0.0,93.6,93.6,93.6,0.0,0.0,90.72,90.72,90.72,0.0,0.0,92.37,92.37,92.37,0.0,0.0
2019-01-06,95.23,95.23,95.23,0.0,0.0,95.23,95.23,95.23,0.0,0.0,93.68,93.68,93.68,0.0,0.0,93.68,93.68,93.68,0.0,0.0
2019-01-13,99.5,99.5,99.5,0.0,0.0,100.67,100.67,100.67,0.0,0.0,98.7,98.7,98.7,0.0,0.0,100.67,100.67,100.67,0.0,0.0
2019-01-20,96.86,96.86,96.86,0.0,0.0,96.86,96.86,96.86,0.0,0.0,95.35,95.35,95.35,0.0,0.0,95.72,95.72,95.72,0.0,0.0
2019-01-27,102.13,102.13,102.13,0.0,0.0,102.13,102.13,102.13,0.0,0.0,100.26,100.26,100.26,0.0,0.0,101.54,101.54,101.54,0.0,0.0
