Date,ProShares Ultra IndustrialsEtf_Open_average,ProShares Ultra IndustrialsEtf_Open_max,ProShares Ultra IndustrialsEtf_Open_min,ProShares Ultra IndustrialsEtf_Open_volatility,ProShares Ultra IndustrialsEtf_Open_change,ProShares Ultra IndustrialsEtf_High_average,ProShares Ultra IndustrialsEtf_High_max,ProShares Ultra IndustrialsEtf_High_min,ProShares Ultra IndustrialsEtf_High_volatility,ProShares Ultra IndustrialsEtf_High_change,ProShares Ultra IndustrialsEtf_Low_average,ProShares Ultra IndustrialsEtf_Low_max,ProShares Ultra IndustrialsEtf_Low_min,ProShares Ultra IndustrialsEtf_Low_volatility,ProShares Ultra IndustrialsEtf_Low_change,ProShares Ultra IndustrialsEtf_Close_average,ProShares Ultra IndustrialsEtf_Close_max,ProShares Ultra IndustrialsEtf_Close_min,ProShares Ultra IndustrialsEtf_Close_volatility,ProShares Ultra IndustrialsEtf_Close_change
2018-01-14,80.79,80.79,80.79,0.0,0.0,81.11,81.11,81.11,0.0,0.0,80.19,80.19,80.19,0.0,0.0,81.06,81.06,81.06,0.0,0.0
2018-01-21,81.92,81.92,81.92,0.0,0.0,83.09,83.09,83.09,0.0,0.0,81.92,81.92,81.92,0.0,0.0,83.08,83.08,83.08,0.0,0.0
2018-01-28,78.95,78.95,78.95,0.0,0.0,79.12,79.12,79.12,0.0,0.0,77.0,77.0,77.0,0.0,0.0,77.15,77.15,77.15,0.0,0.0
2018-02-04,68.06,68.06,68.06,0.0,0.0,69.34,69.34,69.34,0.0,0.0,64.98,64.98,64.98,0.0,0.0,69.34,69.34,69.34,0.0,0.0
2018-02-11,74.74,74.74,74.74,0.0,0.0,76.25,76.25,76.25,0.0,0.0,74.74,74.74,74.74,0.0,0.0,75.67,75.67,75.67,0.0,0.0
2018-02-18,75.72,75.72,75.72,0.0,0.0,75.72,75.72,75.72,0.0,0.0,75.72,75.72,75.72,0.0,0.0,75.72,75.72,75.72,0.0,0.0
2018-02-25,70.03,70.03,70.03,0.0,0.0,71.12,71.12,71.12,0.0,0.0,69.15,69.15,69.15,0.0,0.0,71.12,71.12,71.12,0.0,0.0
2018-03-04,74.88,74.88,74.88,0.0,0.0,77.07,77.07,77.07,0.0,0.0,74.88,74.88,74.88,0.0,0.0,77.07,77.07,77.07,0.0,0.0
2018-03-11,74.2,74.2,74.2,0.0,0.0,74.64,74.64,74.64,0.0,0.0,74.2,74.2,74.2,0.0,0.0,74.64,74.64,74.64,0.0,0.0
2018-03-18,69.43,69.43,69.43,0.0,0.0,69.61,69.61,69.61,0.0,0.0,67.82,67.82,67.82,0.0,0.0,67.82,67.82,67.82,0.0,0.0
2018-03-25,68.68,68.68,68.68,0.0,0.0,70.19,70.19,70.19,0.0,0.0,68.68,68.68,68.68,0.0,0.0,70.19,70.19,70.19,0.0,0.0
2018-04-01,68.27,68.27,68.27,0.0,0.0,68.27,68.27,68.27,0.0,0.0,66.59,66.59,66.59,0.0,0.0,66.59,66.59,66.59,0.0,0.0
2018-04-08,70.3,70.3,70.3,0.0,0.0,70.3,70.3,70.3,0.0,0.0,69.12,69.12,69.12,0.0,0.0,69.12,69.12,69.12,0.0,0.0
2018-04-15,72.59,72.59,72.59,0.0,0.0,72.59,72.59,72.59,0.0,0.0,71.96,71.96,71.96,0.0,0.0,71.96,71.96,71.96,0.0,0.0
2018-04-22,67.44,67.44,67.44,0.0,0.0,67.44,67.44,67.44,0.0,0.0,67.0,67.0,67.0,0.0,0.0,67.0,67.0,67.0,0.0,0.0
2018-04-29,64.55,64.55,64.55,0.0,0.0,66.81,66.81,66.81,0.0,0.0,64.55,64.55,64.55,0.0,0.0,66.27,66.27,66.27,0.0,0.0
