Date,ProShares RAFI LongShort_etf_Open_average,ProShares RAFI LongShort_etf_Open_max,ProShares RAFI LongShort_etf_Open_min,ProShares RAFI LongShort_etf_Open_volatility,ProShares RAFI LongShort_etf_Open_change,ProShares RAFI LongShort_etf_High_average,ProShares RAFI LongShort_etf_High_max,ProShares RAFI LongShort_etf_High_min,ProShares RAFI LongShort_etf_High_volatility,ProShares RAFI LongShort_etf_High_change,ProShares RAFI LongShort_etf_Low_average,ProShares RAFI LongShort_etf_Low_max,ProShares RAFI LongShort_etf_Low_min,ProShares RAFI LongShort_etf_Low_volatility,ProShares RAFI LongShort_etf_Low_change,ProShares RAFI LongShort_etf_Close_average,ProShares RAFI LongShort_etf_Close_max,ProShares RAFI LongShort_etf_Close_min,ProShares RAFI LongShort_etf_Close_volatility,ProShares RAFI LongShort_etf_Close_change
2018-01-14,37.22,37.22,37.22,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.28,37.28,37.28,0.0,0.0
2018-01-21,37.25,37.25,37.25,0.0,0.0,37.42,37.42,37.42,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.3,37.3,37.3,0.0,0.0
2018-01-28,37.0,37.0,37.0,0.0,0.0,37.18,37.18,37.18,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.18,37.18,37.18,0.0,0.0
2018-02-04,37.09,37.09,37.09,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.06,37.06,37.06,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2018-02-11,36.87,36.87,36.87,0.0,0.0,37.06,37.06,37.06,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2018-02-18,36.75,36.75,36.75,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.75,36.75,36.75,0.0,0.0
2018-02-25,36.84,36.84,36.84,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.68,36.68,36.68,0.0,0.0
2018-03-04,36.74,36.74,36.74,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.57,36.57,36.57,0.0,0.0,36.58,36.58,36.58,0.0,0.0
2018-03-11,36.65,36.65,36.65,0.0,0.0,36.71,36.71,36.71,0.0,0.0,36.63,36.63,36.63,0.0,0.0,36.63,36.63,36.63,0.0,0.0
2018-03-18,36.7,36.7,36.7,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.65,36.65,36.65,0.0,0.0
