Date,PowerShares FTSE RAFI US 1000 Portfolio_Open_average,PowerShares FTSE RAFI US 1000 Portfolio_Open_max,PowerShares FTSE RAFI US 1000 Portfolio_Open_min,PowerShares FTSE RAFI US 1000 Portfolio_Open_volatility,PowerShares FTSE RAFI US 1000 Portfolio_Open_change,PowerShares FTSE RAFI US 1000 Portfolio_High_average,PowerShares FTSE RAFI US 1000 Portfolio_High_max,PowerShares FTSE RAFI US 1000 Portfolio_High_min,PowerShares FTSE RAFI US 1000 Portfolio_High_volatility,PowerShares FTSE RAFI US 1000 Portfolio_High_change,PowerShares FTSE RAFI US 1000 Portfolio_Low_average,PowerShares FTSE RAFI US 1000 Portfolio_Low_max,PowerShares FTSE RAFI US 1000 Portfolio_Low_min,PowerShares FTSE RAFI US 1000 Portfolio_Low_volatility,PowerShares FTSE RAFI US 1000 Portfolio_Low_change,PowerShares FTSE RAFI US 1000 Portfolio_Close_average,PowerShares FTSE RAFI US 1000 Portfolio_Close_max,PowerShares FTSE RAFI US 1000 Portfolio_Close_min,PowerShares FTSE RAFI US 1000 Portfolio_Close_volatility,PowerShares FTSE RAFI US 1000 Portfolio_Close_change
2018-01-14,118.55,118.55,118.55,0.0,0.0,119.54,119.54,119.54,0.0,0.0,118.46,118.46,118.46,0.0,0.0,119.54,119.54,119.54,0.0,0.0
2018-01-21,120.53,120.53,120.53,0.0,0.0,120.66,120.66,120.66,0.0,0.0,119.9,119.9,119.9,0.0,0.0,119.9,119.9,119.9,0.0,0.0
2018-01-28,114.7,114.7,114.7,0.0,0.0,115.58,115.58,115.58,0.0,0.0,110.6,110.6,110.6,0.0,0.0,110.93,110.93,110.93,0.0,0.0
2018-02-04,110.69,110.69,110.69,0.0,0.0,111.77,111.77,111.77,0.0,0.0,109.98,109.98,109.98,0.0,0.0,111.12,111.12,111.12,0.0,0.0
2018-02-11,113.74,113.74,113.74,0.0,0.0,115.04,115.04,115.04,0.0,0.0,113.74,113.74,113.74,0.0,0.0,114.14,114.14,114.14,0.0,0.0
2018-02-18,114.85,114.85,114.85,0.0,0.0,115.63,115.63,115.63,0.0,0.0,114.5,114.5,114.5,0.0,0.0,115.55,115.55,115.55,0.0,0.0
2018-02-25,111.4,111.4,111.4,0.0,0.0,113.49,113.49,113.49,0.0,0.0,111.4,111.4,111.4,0.0,0.0,113.21,113.21,113.21,0.0,0.0
2018-03-04,115.58,115.58,115.58,0.0,0.0,115.91,115.91,115.91,0.0,0.0,115.16,115.16,115.16,0.0,0.0,115.31,115.31,115.31,0.0,0.0
2018-03-11,113.53,113.53,113.53,0.0,0.0,113.53,113.53,113.53,0.0,0.0,111.72,111.72,111.72,0.0,0.0,112.41,112.41,112.41,0.0,0.0
2018-03-18,109.12,109.12,109.12,0.0,0.0,110.23,110.23,110.23,0.0,0.0,108.19,108.19,108.19,0.0,0.0,110.12,110.12,110.12,0.0,0.0
2018-03-25,109.94,109.94,109.94,0.0,0.0,110.09,110.09,110.09,0.0,0.0,106.81,106.81,106.81,0.0,0.0,107.92,107.92,107.92,0.0,0.0
2018-04-01,109.82,109.82,109.82,0.0,0.0,110.99,110.99,110.99,0.0,0.0,109.39,109.39,109.39,0.0,0.0,109.47,109.47,109.47,0.0,0.0
2018-04-08,111.87,111.87,111.87,0.0,0.0,112.61,112.61,112.61,0.0,0.0,111.53,111.53,111.53,0.0,0.0,112.23,112.23,112.23,0.0,0.0
2018-04-15,111.99,111.99,111.99,0.0,0.0,112.27,112.27,112.27,0.0,0.0,111.49,111.49,111.49,0.0,0.0,111.92,111.92,111.92,0.0,0.0
2018-04-22,112.32,112.32,112.32,0.0,0.0,112.57,112.57,112.57,0.0,0.0,111.07,111.07,111.07,0.0,0.0,111.07,111.07,111.07,0.0,0.0
