Date,PowerShares Dynamic Large Cap Growth_Open_average,PowerShares Dynamic Large Cap Growth_Open_max,PowerShares Dynamic Large Cap Growth_Open_min,PowerShares Dynamic Large Cap Growth_Open_volatility,PowerShares Dynamic Large Cap Growth_Open_change,PowerShares Dynamic Large Cap Growth_High_average,PowerShares Dynamic Large Cap Growth_High_max,PowerShares Dynamic Large Cap Growth_High_min,PowerShares Dynamic Large Cap Growth_High_volatility,PowerShares Dynamic Large Cap Growth_High_change,PowerShares Dynamic Large Cap Growth_Low_average,PowerShares Dynamic Large Cap Growth_Low_max,PowerShares Dynamic Large Cap Growth_Low_min,PowerShares Dynamic Large Cap Growth_Low_volatility,PowerShares Dynamic Large Cap Growth_Low_change,PowerShares Dynamic Large Cap Growth_Close_average,PowerShares Dynamic Large Cap Growth_Close_max,PowerShares Dynamic Large Cap Growth_Close_min,PowerShares Dynamic Large Cap Growth_Close_volatility,PowerShares Dynamic Large Cap Growth_Close_change
2018-01-14,44.29,44.29,44.29,0.0,0.0,44.38,44.38,44.38,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.35,44.35,44.35,0.0,0.0
2018-01-21,44.86,44.86,44.86,0.0,0.0,45.22,45.22,45.22,0.0,0.0,44.8,44.8,44.8,0.0,0.0,45.21,45.21,45.21,0.0,0.0
2018-01-28,44.13,44.13,44.13,0.0,0.0,44.21,44.21,44.21,0.0,0.0,43.47,43.47,43.47,0.0,0.0,43.47,43.47,43.47,0.0,0.0
2018-02-04,41.25,41.25,41.25,0.0,0.0,41.73,41.73,41.73,0.0,0.0,40.25,40.25,40.25,0.0,0.0,41.59,41.59,41.59,0.0,0.0
2018-02-11,43.34,43.34,43.34,0.0,0.0,43.72,43.72,43.72,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.46,43.46,43.46,0.0,0.0
2018-02-18,43.55,43.55,43.55,0.0,0.0,44.08,44.08,44.08,0.0,0.0,43.43,43.43,43.43,0.0,0.0,44.08,44.08,44.08,0.0,0.0
2018-02-25,42.5,42.5,42.5,0.0,0.0,43.22,43.22,43.22,0.0,0.0,42.28,42.28,42.28,0.0,0.0,43.22,43.22,43.22,0.0,0.0
2018-03-04,44.33,44.33,44.33,0.0,0.0,44.86,44.86,44.86,0.0,0.0,44.33,44.33,44.33,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2018-03-11,44.37,44.37,44.37,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.27,44.27,44.27,0.0,0.0,44.35,44.35,44.35,0.0,0.0
2018-03-18,42.9,42.9,42.9,0.0,0.0,43.1,43.1,43.1,0.0,0.0,42.11,42.11,42.11,0.0,0.0,42.11,42.11,42.11,0.0,0.0
