Date,CPIX_Open_average,CPIX_Open_max,CPIX_Open_volatility,CPIX_Open_change%,CPIX_High_average,CPIX_High_max,CPIX_High_volatility,CPIX_High_change%,CPIX_Low_average,CPIX_Low_max,CPIX_Low_volatility,CPIX_Low_change%,CPIX_Close_average,CPIX_Close_max,CPIX_Close_volatility,CPIX_Close_change%,CPIX_Volume_average,CPIX_Volume_max,CPIX_Volume_volatility,CPIX_Volume_change%
2016-01-03,4.966666666666667,5.18,0.7599999999999998,-1.7374517374517349,5.176666666666667,5.38,0.5199999999999996,-1.5444015444015458,4.863333333333333,5.03,0.6100000000000003,-5.776892430278868,5.013333333333334,5.18,0.35999999999999943,-3.7475345167652936,18869,55830,52927,264.56836881285096
2016-01-10,4.93,4.93,0.0,0.0,5.0575,5.09,0.07000000000000028,0.7936507936507944,4.8925,4.92,0.05999999999999961,1.2345679012345598,4.93,4.93,0.0,0.0,9410,17730,11775,32.577903682719544
2016-01-17,4.944,5.0,0.07000000000000028,1.4198782961460505,5.046,5.22,0.23999999999999932,1.6064257028112285,4.85,4.95,0.20000000000000018,2.9106029106029228,4.946,5.01,0.1299999999999999,0.20161290322580216,18632,44524,40796,-68.70013699734064
2016-01-24,5.04,5.24,0.29000000000000004,-0.5964214711729672,5.112,5.24,0.20999999999999996,2.1868787276341832,4.95,4.99,0.08999999999999986,1.836734693877548,5.0040000000000004,5.09,0.1299999999999999,2.2088353413654502,10262,14655,10684,-53.625510776380096
2016-01-31,4.986,5.05,0.1899999999999995,-3.187250996015922,5.032,5.09,0.1899999999999995,-3.732809430255393,4.888,4.98,0.20000000000000018,-3.434343434343433,4.922,5.01,0.22999999999999954,-3.200000000000003,12096,24147,17992,-74.51029113347414
2016-02-07,4.7125,4.85,0.33999999999999986,-7.010309278350513,4.83,5.0,0.28000000000000025,-5.600000000000005,4.6775,4.79,0.28000000000000025,-5.845511482254702,4.7475000000000005,4.79,0.16000000000000014,-3.340292275574116,8493,11444,9970,-87.11988815099616
2016-02-14,4.754,5.01,0.3700000000000001,-2.3157894736842173,4.802,5.01,0.2999999999999998,0.6315789473684262,4.5040000000000004,4.63,0.1899999999999995,-3.023758099352045,4.588,4.69,0.20000000000000018,-3.4261241970021445,17069,26519,16149,72.16007714561235
2016-02-21,4.732,4.82,0.1900000000000004,4.1036717062635075,4.812,4.9,0.16999999999999993,1.2578616352201364,4.596,4.72,0.20000000000000018,2.8697571743929333,4.7,4.8,0.2400000000000002,-1.268498942917558,10717,14809,7118,-5.666625781920765
2016-02-28,4.862,4.99,0.20999999999999996,-4.208416833667334,4.936,5.0,0.08999999999999986,-1.7999999999999972,4.78,4.86,0.16000000000000014,1.7021276595744694,4.858,4.9,0.09000000000000075,-1.8367346938775662,12259,32485,28607,-88.06218254579036
2016-03-06,4.716,4.84,0.25,-2.3404255319149003,4.802,4.93,0.33999999999999986,-6.326530612244908,4.624,4.71,0.20999999999999996,-3.2051282051281937,4.672,4.83,0.2999999999999998,-6.211180124223599,9138,20675,19165,-4.30622009569378
2016-03-13,4.436,4.59,0.25,-4.1394335511982465,4.524,4.59,0.17999999999999972,-1.3071895424836517,4.348,4.5,0.2999999999999998,-2.4444444444444517,4.43,4.54,0.20000000000000018,-0.22026431718061204,162674,738635,726767,-13.556284319707139
2016-03-20,4.4025,4.5,0.20000000000000018,-1.7777777777777795,4.56,4.68,0.2599999999999998,-2.991452991452985,4.34,4.5,0.25,-3.555555555555559,4.4125,4.55,0.28000000000000025,-3.07692307692307,21305,33333,25135,-75.40575405754058
2016-03-27,4.558,4.7,0.2400000000000002,5.381165919282516,4.718,4.8,0.1899999999999995,4.121475054229924,4.524,4.67,0.25,5.656108597285068,4.58,4.67,0.17999999999999972,4.008908685968813,9689,15852,14143,39.24505692031156
2016-04-03,4.5975,4.69,0.27000000000000046,-2.1321961620469194,4.6625,4.7,0.11000000000000032,-2.3404255319149003,4.4675,4.65,0.3200000000000003,-6.881720430107532,4.5,4.65,0.27000000000000046,-5.806451612903235,17630,36671,32027,-37.234761454250574
2016-04-10,4.5600000000000005,4.71,0.3799999999999999,7.390300230946889,4.642,4.74,0.20999999999999996,3.0905077262693084,4.516,4.65,0.3200000000000003,7.390300230946889,4.574,4.65,0.20000000000000018,4.494382022471914,12625,19225,16416,582.876468494126
2016-04-17,4.704,4.72,0.02999999999999936,0.6396588486140589,4.716,4.72,0.019999999999999574,0.4255319148936079,4.626,4.65,0.1200000000000001,0.0,4.684,4.71,0.05999999999999961,0.42643923240937254,14201,30970,23398,-39.794863639977734
