Date,First Trust RiverFront Dynamic DM_Open_average,First Trust RiverFront Dynamic DM_Open_max,First Trust RiverFront Dynamic DM_Open_min,First Trust RiverFront Dynamic DM_Open_volatility,First Trust RiverFront Dynamic DM_Open_change,First Trust RiverFront Dynamic DM_High_average,First Trust RiverFront Dynamic DM_High_max,First Trust RiverFront Dynamic DM_High_min,First Trust RiverFront Dynamic DM_High_volatility,First Trust RiverFront Dynamic DM_High_change,First Trust RiverFront Dynamic DM_Low_average,First Trust RiverFront Dynamic DM_Low_max,First Trust RiverFront Dynamic DM_Low_min,First Trust RiverFront Dynamic DM_Low_volatility,First Trust RiverFront Dynamic DM_Low_change,First Trust RiverFront Dynamic DM_Close_average,First Trust RiverFront Dynamic DM_Close_max,First Trust RiverFront Dynamic DM_Close_min,First Trust RiverFront Dynamic DM_Close_volatility,First Trust RiverFront Dynamic DM_Close_change
2018-01-14,67.97,67.97,67.97,0.0,0.0,68.3,68.3,68.3,0.0,0.0,67.91,67.91,67.91,0.0,0.0,68.22,68.22,68.22,0.0,0.0
2018-01-21,68.51,68.51,68.51,0.0,0.0,68.57,68.57,68.57,0.0,0.0,68.24,68.24,68.24,0.0,0.0,68.3,68.3,68.3,0.0,0.0
2018-01-28,65.72,65.72,65.72,0.0,0.0,65.96,65.96,65.96,0.0,0.0,63.55,63.55,63.55,0.0,0.0,63.8,63.8,63.8,0.0,0.0
2018-02-04,63.22,63.22,63.22,0.0,0.0,63.86,63.86,63.86,0.0,0.0,63.16,63.16,63.16,0.0,0.0,63.75,63.75,63.75,0.0,0.0
2018-02-11,65.32,65.32,65.32,0.0,0.0,65.78,65.78,65.78,0.0,0.0,65.31,65.31,65.31,0.0,0.0,65.59,65.59,65.59,0.0,0.0
2018-02-18,65.87,65.87,65.87,0.0,0.0,66.19,66.19,66.19,0.0,0.0,65.63,65.63,65.63,0.0,0.0,66.15,66.15,66.15,0.0,0.0
2018-02-25,63.17,63.17,63.17,0.0,0.0,63.97,63.97,63.97,0.0,0.0,63.15,63.15,63.15,0.0,0.0,63.91,63.91,63.91,0.0,0.0
2018-03-04,65.14,65.14,65.14,0.0,0.0,65.24,65.24,65.24,0.0,0.0,65.04,65.04,65.04,0.0,0.0,65.19,65.19,65.19,0.0,0.0
2018-03-11,64.58,64.58,64.58,0.0,0.0,64.75,64.75,64.75,0.0,0.0,63.98,63.98,63.98,0.0,0.0,64.24,64.24,64.24,0.0,0.0
2018-03-18,63.52,63.52,63.52,0.0,0.0,63.67,63.67,63.67,0.0,0.0,62.93,62.93,62.93,0.0,0.0,63.64,63.64,63.64,0.0,0.0
2018-03-25,63.43,63.43,63.43,0.0,0.0,63.72,63.72,63.72,0.0,0.0,62.61,62.61,62.61,0.0,0.0,62.94,62.94,62.94,0.0,0.0
2018-04-01,63.98,63.98,63.98,0.0,0.0,64.36,64.36,64.36,0.0,0.0,63.86,63.86,63.86,0.0,0.0,63.99,63.99,63.99,0.0,0.0
2018-04-08,65.02,65.02,65.02,0.0,0.0,65.02,65.02,65.02,0.0,0.0,64.76,64.76,64.76,0.0,0.0,64.84,64.84,64.84,0.0,0.0
