Date,IBM_Open_average,IBM_Open_max,IBM_Open_min,IBM_Open_volatility,IBM_Open_change,IBM_High_average,IBM_High_max,IBM_High_min,IBM_High_volatility,IBM_High_change,IBM_Low_average,IBM_Low_max,IBM_Low_min,IBM_Low_volatility,IBM_Low_change,IBM_Close_average,IBM_Close_max,IBM_Close_min,IBM_Close_volatility,IBM_Close_change,IBM_Volume_average,IBM_Volume_max,IBM_Volume_min,IBM_Volume_volatility,IBM_Volume_change
2018-01-14,165.816,170.0,161.51,8.490000000000009,-3.5900000000000034,166.986,171.13,163.98,7.150000000000006,-1.3100000000000023,164.234,168.15,161.11,7.039999999999992,-2.2399999999999807,165.318,169.12,162.37,6.75,-1.25,12683371,21172488,7794195,13378293,686600
2018-01-21,165.81,167.45,162.82,4.6299999999999955,4.6299999999999955,167.512,168.72,166.26,2.460000000000008,2.1299999999999955,164.864,166.01,162.51,3.5,3.5,166.246,167.34,165.37,1.9699999999999989,0.5500000000000114,4743732,7466232,3302520,4163712,-3949237
2018-01-28,162.548,166.21,157.89,8.320000000000022,-8.320000000000022,163.278,166.77,158.5,8.27000000000001,-8.27000000000001,159.338,163.16,150.0,13.159999999999997,-13.159999999999997,160.256,163.7,152.53,11.169999999999987,-11.090000000000003,5481590,8746599,4072830,4673769,3844258
2018-02-04,151.28799999999998,154.17,148.6,5.569999999999993,0.6100000000000136,153.386,155.49,150.54,4.950000000000017,-3.0900000000000034,148.918,153.28,144.4,8.879999999999995,1.1899999999999977,151.538,155.34,147.59,7.75,-3.9399999999999977,7301129,9867678,5881377,3986301,-3986301
2018-02-11,153.075,155.71,150.19,5.52000000000001,4.810000000000002,155.2075,157.79,151.18,6.609999999999985,6.609999999999985,152.2575,155.69,149.64,6.050000000000011,6.050000000000011,154.425,156.18,150.75,5.430000000000007,5.430000000000007,5069133,5623581,4282908,1340673,-608102
2018-02-18,155.166,155.81,154.3,1.509999999999991,0.020000000000010232,156.504,158.88,155.04,3.8400000000000034,2.9199999999999875,154.028,155.51,152.79,2.719999999999999,1.6399999999999864,155.28,158.58,153.18,5.400000000000006,3.420000000000016,3821833,4489604,3256074,1233530,-879312
2018-02-25,155.68,158.46,152.79,5.670000000000016,-4.340000000000003,157.428,159.78,154.76,5.02000000000001,-2.289999999999992,154.15,156.53,151.88,4.650000000000006,-2.780000000000001,155.526,156.95,153.81,3.1399999999999864,0.39999999999997726,3802381,4237283,3261141,976142,-566653
2018-03-04,157.678,159.64,155.0,4.639999999999986,2.359999999999985,159.37800000000001,161.02,157.89,3.130000000000024,3.130000000000024,156.226,158.87,154.73,4.140000000000015,3.710000000000008,157.964,160.26,155.72,4.539999999999992,4.539999999999992,4966952,6455612,3685736,2769876,1377761
2018-03-11,159.748,160.17,158.71,1.4599999999999795,-0.37999999999999545,161.182,162.11,159.89,2.2200000000000273,-2.2200000000000273,158.232,159.64,156.45,3.1899999999999977,-2.3600000000000136,158.932,160.26,157.35,2.9099999999999966,-1.9699999999999989,5286529,9262656,3631825,5630831,1296393
2018-03-18,154.51,157.52,151.21,6.310000000000002,-6.310000000000002,155.524,158.2,152.58,5.619999999999976,-4.27000000000001,152.406,155.92,148.54,7.3799999999999955,-5.009999999999991,153.448,156.69,148.89,7.800000000000011,-2.829999999999984,4222011,4746349,3482184,1264165,-232834
