Date,iShares Edge MSCI Multifactor Intl_Open_average,iShares Edge MSCI Multifactor Intl_Open_max,iShares Edge MSCI Multifactor Intl_Open_min,iShares Edge MSCI Multifactor Intl_Open_volatility,iShares Edge MSCI Multifactor Intl_Open_change,iShares Edge MSCI Multifactor Intl_High_average,iShares Edge MSCI Multifactor Intl_High_max,iShares Edge MSCI Multifactor Intl_High_min,iShares Edge MSCI Multifactor Intl_High_volatility,iShares Edge MSCI Multifactor Intl_High_change,iShares Edge MSCI Multifactor Intl_Low_average,iShares Edge MSCI Multifactor Intl_Low_max,iShares Edge MSCI Multifactor Intl_Low_min,iShares Edge MSCI Multifactor Intl_Low_volatility,iShares Edge MSCI Multifactor Intl_Low_change,iShares Edge MSCI Multifactor Intl_Close_average,iShares Edge MSCI Multifactor Intl_Close_max,iShares Edge MSCI Multifactor Intl_Close_min,iShares Edge MSCI Multifactor Intl_Close_volatility,iShares Edge MSCI Multifactor Intl_Close_change
2018-01-14,30.74,30.74,30.74,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2018-01-21,30.92,30.92,30.92,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-01-28,29.6,29.6,29.6,0.0,0.0,29.68,29.68,29.68,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.72,28.72,28.72,0.0,0.0
2018-02-04,28.5,28.5,28.5,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2018-02-11,29.5,29.5,29.5,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.56,29.56,29.56,0.0,0.0
2018-02-18,29.71,29.71,29.71,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2018-02-25,28.58,28.58,28.58,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2018-03-04,29.32,29.32,29.32,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.42,29.42,29.42,0.0,0.0
2018-03-11,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.02,29.02,29.02,0.0,0.0
2018-03-18,28.6,28.6,28.6,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2018-03-25,28.82,28.82,28.82,0.0,0.0,28.82,28.82,28.82,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.44,28.44,28.44,0.0,0.0
2018-04-01,28.82,28.82,28.82,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.82,28.82,28.82,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2018-04-08,29.42,29.42,29.42,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2018-04-15,29.5,29.5,29.5,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2018-04-22,29.33,29.33,29.33,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2018-04-29,29.36,29.36,29.36,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.35,29.35,29.35,0.0,0.0
2018-05-06,29.86,29.86,29.86,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2018-05-13,29.93,29.93,29.93,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.91,29.91,29.91,0.0,0.0
2018-05-20,29.35,29.35,29.35,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.32,29.32,29.32,0.0,0.0
2018-05-27,29.44,29.44,29.44,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2018-06-03,29.49,29.49,29.49,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2018-06-10,28.79,28.79,28.79,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2018-06-17,27.78,27.78,27.78,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-06-24,27.25,27.25,27.25,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.36,27.36,27.36,0.0,0.0
