Date,iShares MSCI Brazil Capped_Open_average,iShares MSCI Brazil Capped_Open_max,iShares MSCI Brazil Capped_Open_min,iShares MSCI Brazil Capped_Open_volatility,iShares MSCI Brazil Capped_Open_change,iShares MSCI Brazil Capped_High_average,iShares MSCI Brazil Capped_High_max,iShares MSCI Brazil Capped_High_min,iShares MSCI Brazil Capped_High_volatility,iShares MSCI Brazil Capped_High_change,iShares MSCI Brazil Capped_Low_average,iShares MSCI Brazil Capped_Low_max,iShares MSCI Brazil Capped_Low_min,iShares MSCI Brazil Capped_Low_volatility,iShares MSCI Brazil Capped_Low_change,iShares MSCI Brazil Capped_Close_average,iShares MSCI Brazil Capped_Close_max,iShares MSCI Brazil Capped_Close_min,iShares MSCI Brazil Capped_Close_volatility,iShares MSCI Brazil Capped_Close_change
2018-01-14,44.28,44.28,44.28,0.0,0.0,44.68,44.68,44.68,0.0,0.0,44.09,44.09,44.09,0.0,0.0,44.63,44.63,44.63,0.0,0.0
2018-01-21,46.76,46.76,46.76,0.0,0.0,46.89,46.89,46.89,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.39,46.39,46.39,0.0,0.0
2018-01-28,44.93,44.93,44.93,0.0,0.0,45.35,45.35,45.35,0.0,0.0,43.04,43.04,43.04,0.0,0.0,43.46,43.46,43.46,0.0,0.0
2018-02-04,43.59,43.59,43.59,0.0,0.0,44.19,44.19,44.19,0.0,0.0,43.14,43.14,43.14,0.0,0.0,43.78,43.78,43.78,0.0,0.0
2018-02-11,45.05,45.05,45.05,0.0,0.0,46.0,46.0,46.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.54,45.54,45.54,0.0,0.0
2018-02-18,47.12,47.12,47.12,0.0,0.0,47.2,47.2,47.2,0.0,0.0,46.7,46.7,46.7,0.0,0.0,47.13,47.13,47.13,0.0,0.0
2018-02-25,45.27,45.27,45.27,0.0,0.0,46.01,46.01,46.01,0.0,0.0,45.16,45.16,45.16,0.0,0.0,45.92,45.92,45.92,0.0,0.0
2018-03-04,46.15,46.15,46.15,0.0,0.0,46.29,46.29,46.29,0.0,0.0,45.88,45.88,45.88,0.0,0.0,46.22,46.22,46.22,0.0,0.0
2018-03-11,44.2,44.2,44.2,0.0,0.0,44.5,44.5,44.5,0.0,0.0,43.92,43.92,43.92,0.0,0.0,44.2,44.2,44.2,0.0,0.0
2018-03-18,44.64,44.64,44.64,0.0,0.0,44.77,44.77,44.77,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.53,44.53,44.53,0.0,0.0
2018-03-25,44.69,44.69,44.69,0.0,0.0,44.82,44.82,44.82,0.0,0.0,43.79,43.79,43.79,0.0,0.0,44.17,44.17,44.17,0.0,0.0
2018-04-01,43.3,43.3,43.3,0.0,0.0,43.4,43.4,43.4,0.0,0.0,41.96,41.96,41.96,0.0,0.0,41.98,41.98,41.98,0.0,0.0
2018-04-08,42.74,42.74,42.74,0.0,0.0,42.75,42.75,42.75,0.0,0.0,41.63,41.63,41.63,0.0,0.0,41.88,41.88,41.88,0.0,0.0
2018-04-15,42.68,42.68,42.68,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.34,42.34,42.34,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2018-04-22,43.02,43.02,43.02,0.0,0.0,43.11,43.11,43.11,0.0,0.0,42.26,42.26,42.26,0.0,0.0,42.3,42.3,42.3,0.0,0.0
2018-04-29,40.41,40.41,40.41,0.0,0.0,40.69,40.69,40.69,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2018-05-06,41.19,41.19,41.19,0.0,0.0,41.37,41.37,41.37,0.0,0.0,40.33,40.33,40.33,0.0,0.0,40.65,40.65,40.65,0.0,0.0
2018-05-13,39.04,39.04,39.04,0.0,0.0,39.12,39.12,39.12,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.39,38.39,38.39,0.0,0.0
2018-05-20,38.07,38.07,38.07,0.0,0.0,38.15,38.15,38.15,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.25,37.25,37.25,0.0,0.0
2018-05-27,36.37,36.37,36.37,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.42,36.42,36.42,0.0,0.0
2018-06-03,34.35,34.35,34.35,0.0,0.0,34.66,34.66,34.66,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2018-06-10,32.43,32.43,32.43,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.57,32.57,32.57,0.0,0.0
2018-06-17,32.34,32.34,32.34,0.0,0.0,32.47,32.47,32.47,0.0,0.0,31.62,31.62,31.62,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2018-06-24,31.64,31.64,31.64,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-07-01,33.4,33.4,33.4,0.0,0.0,33.62,33.62,33.62,0.0,0.0,32.93,32.93,32.93,0.0,0.0,33.54,33.54,33.54,0.0,0.0
