Date,iShares Core S&P Total US Stock MarketEtf_Open_average,iShares Core S&P Total US Stock MarketEtf_Open_max,iShares Core S&P Total US Stock MarketEtf_Open_min,iShares Core S&P Total US Stock MarketEtf_Open_volatility,iShares Core S&P Total US Stock MarketEtf_Open_change,iShares Core S&P Total US Stock MarketEtf_High_average,iShares Core S&P Total US Stock MarketEtf_High_max,iShares Core S&P Total US Stock MarketEtf_High_min,iShares Core S&P Total US Stock MarketEtf_High_volatility,iShares Core S&P Total US Stock MarketEtf_High_change,iShares Core S&P Total US Stock MarketEtf_Low_average,iShares Core S&P Total US Stock MarketEtf_Low_max,iShares Core S&P Total US Stock MarketEtf_Low_min,iShares Core S&P Total US Stock MarketEtf_Low_volatility,iShares Core S&P Total US Stock MarketEtf_Low_change,iShares Core S&P Total US Stock MarketEtf_Close_average,iShares Core S&P Total US Stock MarketEtf_Close_max,iShares Core S&P Total US Stock MarketEtf_Close_min,iShares Core S&P Total US Stock MarketEtf_Close_volatility,iShares Core S&P Total US Stock MarketEtf_Close_change
2018-01-14,63.84,63.84,63.84,0.0,0.0,64.04,64.04,64.04,0.0,0.0,63.72,63.72,63.72,0.0,0.0,64.04,64.04,64.04,0.0,0.0
2018-01-21,64.88,64.88,64.88,0.0,0.0,65.33,65.33,65.33,0.0,0.0,64.79,64.79,64.79,0.0,0.0,65.33,65.33,65.33,0.0,0.0
2018-01-28,63.81,63.81,63.81,0.0,0.0,63.92,63.92,63.92,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.86,62.86,62.86,0.0,0.0
2018-02-04,59.56,59.56,59.56,0.0,0.0,60.14,60.14,60.14,0.0,0.0,57.78,57.78,57.78,0.0,0.0,59.72,59.72,59.72,0.0,0.0
2018-02-11,62.14,62.14,62.14,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.14,62.14,62.14,0.0,0.0,62.36,62.36,62.36,0.0,0.0
2018-02-18,62.04,62.04,62.04,0.0,0.0,62.67,62.67,62.67,0.0,0.0,61.9,61.9,61.9,0.0,0.0,62.64,62.64,62.64,0.0,0.0
2018-02-25,60.65,60.65,60.65,0.0,0.0,61.6,61.6,61.6,0.0,0.0,60.44,60.44,60.44,0.0,0.0,61.47,61.47,61.47,0.0,0.0
2018-03-04,63.07,63.07,63.07,0.0,0.0,63.77,63.77,63.77,0.0,0.0,62.98,62.98,62.98,0.0,0.0,63.76,63.76,63.76,0.0,0.0
2018-03-11,62.97,62.97,62.97,0.0,0.0,63.27,63.27,63.27,0.0,0.0,62.97,62.97,62.97,0.0,0.0,62.98,62.98,62.98,0.0,0.0
2018-03-18,60.56,60.56,60.56,0.0,0.0,60.78,60.78,60.78,0.0,0.0,59.15,59.15,59.15,0.0,0.0,59.22,59.22,59.22,0.0,0.0
2018-03-25,59.87,59.87,59.87,0.0,0.0,60.76,60.76,60.76,0.0,0.0,59.68,59.68,59.68,0.0,0.0,60.39,60.39,60.39,0.0,0.0
2018-04-01,60.39,60.39,60.39,0.0,0.0,60.73,60.73,60.73,0.0,0.0,59.15,59.15,59.15,0.0,0.0,59.56,59.56,59.56,0.0,0.0
2018-04-08,61.28,61.28,61.28,0.0,0.0,61.31,61.31,61.31,0.0,0.0,60.53,60.53,60.53,0.0,0.0,60.77,60.77,60.77,0.0,0.0
2018-04-15,61.66,61.66,61.66,0.0,0.0,61.76,61.76,61.76,0.0,0.0,60.95,60.95,60.95,0.0,0.0,61.17,61.17,61.17,0.0,0.0
2018-04-22,61.21,61.21,61.21,0.0,0.0,61.24,61.24,61.24,0.0,0.0,60.83,60.83,60.83,0.0,0.0,61.08,61.08,61.08,0.0,0.0
2018-04-29,60.01,60.01,60.01,0.0,0.0,61.2,61.2,61.2,0.0,0.0,59.94,59.94,59.94,0.0,0.0,61.02,61.02,61.02,0.0,0.0
2018-05-06,62.45,62.45,62.45,0.0,0.0,62.67,62.67,62.67,0.0,0.0,62.32,62.32,62.32,0.0,0.0,62.56,62.56,62.56,0.0,0.0
2018-05-13,62.44,62.44,62.44,0.0,0.0,62.54,62.54,62.54,0.0,0.0,62.28,62.28,62.28,0.0,0.0,62.37,62.37,62.37,0.0,0.0
2018-05-20,62.55,62.55,62.55,0.0,0.0,62.67,62.67,62.67,0.0,0.0,62.39,62.39,62.39,0.0,0.0,62.55,62.55,62.55,0.0,0.0
2018-05-27,62.68,62.68,62.68,0.0,0.0,63.01,63.01,63.01,0.0,0.0,62.67,62.67,62.67,0.0,0.0,62.94,62.94,62.94,0.0,0.0
2018-06-03,63.74,63.74,63.74,0.0,0.0,64.02,64.02,64.02,0.0,0.0,63.58,63.58,63.58,0.0,0.0,64.01,64.01,64.01,0.0,0.0
2018-06-10,63.96,63.96,63.96,0.0,0.0,64.17,64.17,64.17,0.0,0.0,63.69,63.69,63.69,0.0,0.0,64.11,64.11,64.11,0.0,0.0
2018-06-17,63.89,63.89,63.89,0.0,0.0,63.89,63.89,63.89,0.0,0.0,63.59,63.59,63.59,0.0,0.0,63.6,63.6,63.6,0.0,0.0
2018-06-24,62.66,62.66,62.66,0.0,0.0,62.99,62.99,62.99,0.0,0.0,62.45,62.45,62.45,0.0,0.0,62.45,62.45,62.45,0.0,0.0
2018-07-01,63.01,63.01,63.01,0.0,0.0,63.6,63.6,63.6,0.0,0.0,62.91,62.91,62.91,0.0,0.0,63.51,63.51,63.51,0.0,0.0
2018-07-08,64.3,64.3,64.3,0.0,0.0,64.47,64.47,64.47,0.0,0.0,64.17,64.17,64.17,0.0,0.0,64.38,64.38,64.38,0.0,0.0
2018-07-15,64.47,64.47,64.47,0.0,0.0,64.6,64.6,64.6,0.0,0.0,64.39,64.39,64.39,0.0,0.0,64.43,64.43,64.43,0.0,0.0
2018-07-22,65.19,65.19,65.19,0.0,0.0,65.21,65.21,65.21,0.0,0.0,64.33,64.33,64.33,0.0,0.0,64.57,64.57,64.57,0.0,0.0
2018-07-29,64.92,64.92,64.92,0.0,0.0,65.08,65.08,65.08,0.0,0.0,64.85,64.85,64.85,0.0,0.0,65.07,65.07,65.07,0.0,0.0
2018-08-05,65.13,65.13,65.13,0.0,0.0,65.29,65.29,65.29,0.0,0.0,64.94,64.94,64.94,0.0,0.0,65.08,65.08,65.08,0.0,0.0
2018-08-12,65.14,65.14,65.14,0.0,0.0,65.58,65.58,65.58,0.0,0.0,65.08,65.08,65.08,0.0,0.0,65.47,65.47,65.47,0.0,0.0
2018-08-19,65.9,65.9,65.9,0.0,0.0,66.17,66.17,66.17,0.0,0.0,65.85,65.85,65.85,0.0,0.0,66.13,66.13,66.13,0.0,0.0
2018-08-26,66.64,66.64,66.64,0.0,0.0,66.85,66.85,66.85,0.0,0.0,66.55,66.55,66.55,0.0,0.0,66.76,66.76,66.76,0.0,0.0
2018-09-02,65.98,65.98,65.98,0.0,0.0,66.35,66.35,66.35,0.0,0.0,65.87,65.87,65.87,0.0,0.0,66.08,66.08,66.08,0.0,0.0
2018-09-09,66.85,66.85,66.85,0.0,0.0,66.93,66.93,66.93,0.0,0.0,66.63,66.63,66.63,0.0,0.0,66.83,66.83,66.83,0.0,0.0
2018-09-16,67.53,67.53,67.53,0.0,0.0,67.53,67.53,67.53,0.0,0.0,67.2,67.2,67.2,0.0,0.0,67.26,67.26,67.26,0.0,0.0
2018-09-23,66.44,66.44,66.44,0.0,0.0,66.73,66.73,66.73,0.0,0.0,66.43,66.43,66.43,0.0,0.0,66.56,66.56,66.56,0.0,0.0
2018-09-30,66.11,66.11,66.11,0.0,0.0,66.26,66.26,66.26,0.0,0.0,65.28,65.28,65.28,0.0,0.0,65.67,65.67,65.67,0.0,0.0
2018-10-07,63.15,63.15,63.15,0.0,0.0,63.18,63.18,63.18,0.0,0.0,62.06,62.06,62.06,0.0,0.0,62.89,62.89,62.89,0.0,0.0
2018-10-14,63.16,63.16,63.16,0.0,0.0,63.67,63.67,63.67,0.0,0.0,62.75,62.75,62.75,0.0,0.0,62.9,62.9,62.9,0.0,0.0
2018-10-21,60.51,60.51,60.51,0.0,0.0,61.18,61.18,61.18,0.0,0.0,59.68,59.68,59.68,0.0,0.0,60.39,60.39,60.39,0.0,0.0
2018-10-28,62.71,62.71,62.71,0.0,0.0,62.81,62.81,62.81,0.0,0.0,61.54,61.54,61.54,0.0,0.0,62.02,62.02,62.02,0.0,0.0
2018-11-04,63.6,63.6,63.6,0.0,0.0,63.6,63.6,63.6,0.0,0.0,62.85,62.85,62.85,0.0,0.0,63.24,63.24,63.24,0.0,0.0
2018-11-11,61.85,61.85,61.85,0.0,0.0,62.52,62.52,62.52,0.0,0.0,61.76,61.76,61.76,0.0,0.0,62.3,62.3,62.3,0.0,0.0
2018-11-18,60.0,60.0,60.0,0.0,0.0,60.42,60.42,60.42,0.0,0.0,59.99,59.99,59.99,0.0,0.0,60.09,60.09,60.09,0.0,0.0
2018-11-25,62.39,62.39,62.39,0.0,0.0,62.93,62.93,62.93,0.0,0.0,62.3,62.3,62.3,0.0,0.0,62.84,62.84,62.84,0.0,0.0
2018-12-02,61.32,61.32,61.32,0.0,0.0,61.73,61.73,61.73,0.0,0.0,59.78,59.78,59.78,0.0,0.0,60.02,60.02,60.02,0.0,0.0
2018-12-09,59.71,59.71,59.71,0.0,0.0,59.97,59.97,59.97,0.0,0.0,59.03,59.03,59.03,0.0,0.0,59.18,59.18,59.18,0.0,0.0
2018-12-16,55.9,55.9,55.9,0.0,0.0,56.54,56.54,56.54,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.55,54.55,54.55,0.0,0.0
2018-12-23,56.54,56.54,56.54,0.0,0.0,56.94,56.94,56.94,0.0,0.0,55.84,55.84,55.84,0.0,0.0,56.16,56.16,56.16,0.0,0.0
2018-12-30,56.17,56.17,56.17,0.0,0.0,57.43,57.43,57.43,0.0,0.0,56.09,56.09,56.09,0.0,0.0,57.28,57.28,57.28,0.0,0.0
2019-01-06,58.71,58.71,58.71,0.0,0.0,59.0,59.0,59.0,0.0,0.0,58.56,58.56,58.56,0.0,0.0,59.0,59.0,59.0,0.0,0.0
2019-01-13,60.35,60.35,60.35,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.15,60.15,60.15,0.0,0.0,60.69,60.69,60.69,0.0,0.0
2019-01-20,60.51,60.51,60.51,0.0,0.0,60.75,60.75,60.75,0.0,0.0,60.41,60.41,60.41,0.0,0.0,60.58,60.58,60.58,0.0,0.0
2019-01-27,61.57,61.57,61.57,0.0,0.0,61.8,61.8,61.8,0.0,0.0,61.39,61.39,61.39,0.0,0.0,61.62,61.62,61.62,0.0,0.0
2019-02-03,61.36,61.36,61.36,0.0,0.0,61.75,61.75,61.75,0.0,0.0,61.15,61.15,61.15,0.0,0.0,61.75,61.75,61.75,0.0,0.0
2019-02-10,63.15,63.15,63.15,0.0,0.0,63.42,63.42,63.42,0.0,0.0,63.08,63.08,63.08,0.0,0.0,63.41,63.41,63.41,0.0,0.0
2019-02-17,63.59,63.59,63.59,0.0,0.0,63.88,63.88,63.88,0.0,0.0,63.52,63.52,63.52,0.0,0.0,63.84,63.84,63.84,0.0,0.0
2019-02-24,64.07,64.07,64.07,0.0,0.0,64.19,64.19,64.19,0.0,0.0,63.7,63.7,63.7,0.0,0.0,64.12,64.12,64.12,0.0,0.0
2019-03-03,62.19,62.19,62.19,0.0,0.0,62.61,62.61,62.61,0.0,0.0,62.11,62.11,62.11,0.0,0.0,62.58,62.58,62.58,0.0,0.0
2019-03-10,64.2,64.2,64.2,0.0,0.0,64.57,64.57,64.57,0.0,0.0,64.18,64.18,64.18,0.0,0.0,64.34,64.34,64.34,0.0,0.0
2019-03-17,64.52,64.52,64.52,0.0,0.0,64.61,64.61,64.61,0.0,0.0,63.47,63.47,63.47,0.0,0.0,63.52,63.52,63.52,0.0,0.0
2019-03-24,64.31,64.31,64.31,0.0,0.0,64.38,64.38,64.38,0.0,0.0,64.04,64.04,64.04,0.0,0.0,64.33,64.33,64.33,0.0,0.0
2019-03-31,65.54,65.54,65.54,0.0,0.0,65.74,65.74,65.74,0.0,0.0,65.48,65.48,65.48,0.0,0.0,65.74,65.74,65.74,0.0,0.0
2019-04-07,66.08,66.08,66.08,0.0,0.0,66.16,66.16,66.16,0.0,0.0,65.89,65.89,65.89,0.0,0.0,66.07,66.07,66.07,0.0,0.0
2019-04-14,65.99,65.99,65.99,0.0,0.0,66.01,66.01,66.01,0.0,0.0,65.61,65.61,65.61,0.0,0.0,65.97,65.97,65.97,0.0,0.0
2019-04-21,66.43,66.43,66.43,0.0,0.0,66.77,66.77,66.77,0.0,0.0,66.25,66.25,66.25,0.0,0.0,66.74,66.74,66.74,0.0,0.0
2019-04-28,66.63,66.63,66.63,0.0,0.0,67.0,67.0,67.0,0.0,0.0,66.57,66.57,66.57,0.0,0.0,66.99,66.99,66.99,0.0,0.0
2019-05-05,65.06,65.06,65.06,0.0,0.0,65.79,65.79,65.79,0.0,0.0,64.32,64.32,64.32,0.0,0.0,65.59,65.59,65.59,0.0,0.0
