Date,Vanguard Mega Cap Growth_Open_average,Vanguard Mega Cap Growth_Open_max,Vanguard Mega Cap Growth_Open_min,Vanguard Mega Cap Growth_Open_volatility,Vanguard Mega Cap Growth_Open_change,Vanguard Mega Cap Growth_High_average,Vanguard Mega Cap Growth_High_max,Vanguard Mega Cap Growth_High_min,Vanguard Mega Cap Growth_High_volatility,Vanguard Mega Cap Growth_High_change,Vanguard Mega Cap Growth_Low_average,Vanguard Mega Cap Growth_Low_max,Vanguard Mega Cap Growth_Low_min,Vanguard Mega Cap Growth_Low_volatility,Vanguard Mega Cap Growth_Low_change,Vanguard Mega Cap Growth_Close_average,Vanguard Mega Cap Growth_Close_max,Vanguard Mega Cap Growth_Close_min,Vanguard Mega Cap Growth_Close_volatility,Vanguard Mega Cap Growth_Close_change
2018-01-14,118.39,118.39,118.39,0.0,0.0,119.44,119.44,119.44,0.0,0.0,118.33,118.33,118.33,0.0,0.0,119.44,119.44,119.44,0.0,0.0
2018-01-21,120.79,120.79,120.79,0.0,0.0,120.94,120.94,120.94,0.0,0.0,120.08,120.08,120.08,0.0,0.0,120.21,120.21,120.21,0.0,0.0
2018-01-28,115.51,115.51,115.51,0.0,0.0,117.0,117.0,117.0,0.0,0.0,111.78,111.78,111.78,0.0,0.0,112.05,112.05,112.05,0.0,0.0
2018-02-04,111.85,111.85,111.85,0.0,0.0,113.21,113.21,113.21,0.0,0.0,110.95,110.95,110.95,0.0,0.0,112.55,112.55,112.55,0.0,0.0
2018-02-11,116.04,116.04,116.04,0.0,0.0,117.13,117.13,117.13,0.0,0.0,115.98,115.98,115.98,0.0,0.0,116.22,116.22,116.22,0.0,0.0
2018-02-18,118.1,118.1,118.1,0.0,0.0,118.96,118.96,118.96,0.0,0.0,117.91,117.91,117.91,0.0,0.0,118.96,118.96,118.96,0.0,0.0
2018-02-25,114.49,114.49,114.49,0.0,0.0,116.64,116.64,116.64,0.0,0.0,114.38,114.38,114.38,0.0,0.0,116.42,116.42,116.42,0.0,0.0
2018-03-04,120.07,120.07,120.07,0.0,0.0,120.45,120.45,120.45,0.0,0.0,119.79,119.79,119.79,0.0,0.0,119.93,119.93,119.93,0.0,0.0
2018-03-11,117.69,117.69,117.69,0.0,0.0,117.69,117.69,117.69,0.0,0.0,115.53,115.53,115.53,0.0,0.0,116.41,116.41,116.41,0.0,0.0
2018-03-18,112.51,112.51,112.51,0.0,0.0,113.89,113.89,113.89,0.0,0.0,110.84,110.84,110.84,0.0,0.0,113.8,113.8,113.8,0.0,0.0
