Date,NRG_Open_average,NRG_Open_max,NRG_Open_min,NRG_Open_volatility,NRG_Open_change,NRG_High_average,NRG_High_max,NRG_High_min,NRG_High_volatility,NRG_High_change,NRG_Low_average,NRG_Low_max,NRG_Low_min,NRG_Low_volatility,NRG_Low_change,NRG_Close_average,NRG_Close_max,NRG_Close_min,NRG_Close_volatility,NRG_Close_change,NRG_Volume_average,NRG_Volume_max,NRG_Volume_min,NRG_Volume_volatility,NRG_Volume_change
2018-01-14,27.532,28.8,26.73,2.0700000000000003,-1.8100000000000023,27.748,28.88,27.0,1.879999999999999,-1.6099999999999994,26.924,27.85,26.32,1.5300000000000011,-1.1400000000000006,27.192,27.9,26.81,1.0899999999999999,-0.9799999999999969,8099096,10257892,4521264,5736628,5736628
2018-01-21,27.34,28.05,27.0,1.0500000000000007,0.28999999999999915,27.66,28.05,27.4,0.6500000000000021,-0.060000000000002274,27.026,27.24,26.85,0.389999999999997,0.0,27.259999999999998,27.65,26.86,0.7899999999999991,-0.28000000000000114,4472930,5813987,3161530,2652457,961239
2018-01-28,26.176,26.71,25.89,0.8200000000000003,-0.6900000000000013,26.446,26.73,26.14,0.5899999999999999,-0.5899999999999999,25.6,25.79,25.07,0.7199999999999989,-0.6400000000000006,25.976,26.43,25.16,1.2699999999999996,-0.9299999999999997,6040987,7600091,4394222,3205869,-473385
2018-02-04,25.086,26.73,24.15,2.580000000000002,0.07000000000000028,25.536,27.04,24.79,2.25,-0.7899999999999991,24.294,25.32,23.75,1.5700000000000003,0.10000000000000142,24.836,25.51,24.0,1.5100000000000016,-0.7900000000000027,9340997,12115754,8448459,3667295,-57839
2018-02-11,24.7625,25.08,24.29,0.7899999999999991,0.3999999999999986,25.1725,25.55,24.76,0.7899999999999991,0.7899999999999991,24.62,25.05,24.2,0.8500000000000014,0.6000000000000014,24.9725,25.26,24.61,0.6500000000000021,0.6099999999999994,3767280,4256732,2938988,1317744,-1317744
2018-02-18,25.61,26.54,25.11,1.4299999999999997,1.379999999999999,26.056,26.55,25.61,0.9400000000000013,0.6000000000000014,25.28,25.77,25.0,0.7699999999999996,0.7399999999999984,25.732,26.42,25.0,1.4200000000000017,0.5999999999999979,4999529,7695309,3206756,4488553,-1897368
2018-02-25,26.784,27.75,26.0,1.75,1.4899999999999984,27.428,29.02,26.19,2.8299999999999983,2.620000000000001,26.576,27.7,25.79,1.9100000000000001,1.7100000000000009,27.122,28.95,25.86,3.09,2.960000000000001,6481700,7935436,5007718,2927718,1533990
2018-03-04,29.342,29.7,28.95,0.75,0.75,29.774,30.11,29.49,0.620000000000001,0.620000000000001,29.26,29.6,28.88,0.7200000000000024,0.7200000000000024,29.566,29.89,29.21,0.6799999999999997,0.6799999999999997,6758921,7617112,6168969,1448143,549282
2018-03-11,30.324,30.79,30.0,0.7899999999999991,0.17999999999999972,30.592,30.84,30.24,0.6000000000000014,0.39000000000000057,30.086,30.35,29.86,0.490000000000002,0.120000000000001,30.288,30.77,30.0,0.7699999999999996,0.1700000000000017,5775995,6816490,4602703,2213787,1015883
2018-03-18,30.288,30.4,29.97,0.4299999999999997,-0.3500000000000014,30.632,30.85,30.4,0.45000000000000284,-0.13000000000000256,29.971999999999998,30.2,29.74,0.46000000000000085,-0.41000000000000014,30.19,30.37,29.79,0.5800000000000018,0.07000000000000028,4631946,5722682,3498456,2224226,1011788
2018-03-25,30.5125,30.58,30.45,0.129999999999999,0.10999999999999943,30.885,31.14,30.78,0.35999999999999943,-0.35999999999999943,30.1,30.41,29.96,0.4499999999999993,0.00999999999999801,30.285,30.53,30.0,0.5300000000000011,0.33999999999999986,6250842,8099318,4356645,3742673,-1774957
2018-04-01,30.32,30.5,30.2,0.3000000000000007,-0.21000000000000085,30.592,30.71,30.45,0.26000000000000156,0.08000000000000185,29.948,30.09,29.82,0.2699999999999996,0.019999999999999574,30.334,30.53,29.96,0.5700000000000003,0.060000000000002274,4840622,5531075,4198637,1332438,568120
2018-04-08,30.458,30.83,30.09,0.7399999999999984,-0.5799999999999983,30.71,30.9,30.38,0.5199999999999996,0.07000000000000028,30.13,30.42,29.85,0.5700000000000003,0.07000000000000028,30.413999999999998,30.72,30.02,0.6999999999999993,0.16000000000000014,4247731,5539642,3198278,2341364,1254819
2018-04-15,31.247999999999998,31.49,30.58,0.9100000000000001,0.6600000000000001,31.544,31.78,31.31,0.4700000000000024,-0.030000000000001137,31.026,31.36,30.57,0.7899999999999991,0.35999999999999943,31.3,31.49,31.17,0.31999999999999673,-0.03999999999999915,3972439,5779292,2824183,2955109,-2937170
2018-04-22,31.25,31.41,30.88,0.5300000000000011,-0.010000000000001563,31.514,31.82,31.14,0.6799999999999997,-0.3500000000000014,30.972,31.32,30.67,0.6499999999999986,0.10999999999999943,31.186,31.51,30.99,0.5200000000000031,0.010000000000001563,3822786,5178322,3098260,2080062,993606
2018-04-29,31.756,33.58,30.59,2.9899999999999984,2.4899999999999984,32.624,34.38,30.91,3.4700000000000024,3.0900000000000034,31.426,33.5,30.25,3.25,3.1799999999999997,32.188,34.16,30.48,3.679999999999996,3.509999999999998,8677352,16097735,4959698,11138037,1865761
2018-05-06,34.408,34.94,33.87,1.0700000000000003,1.0700000000000003,34.74,35.17,34.26,0.9100000000000037,0.8000000000000043,34.272,34.73,33.78,0.9499999999999957,0.8999999999999986,34.495999999999995,34.91,33.9,1.009999999999998,0.8800000000000026,5618146,7494534,4079177,3415357,-3415357
2018-05-13,33.988,34.47,33.55,0.9200000000000017,-0.39000000000000057,34.064,34.47,33.8,0.6700000000000017,-0.39000000000000057,33.385999999999996,33.62,33.05,0.5700000000000003,-0.5700000000000003,33.652,33.75,33.5,0.25,-0.25,4252745,5588077,2493305,3094772,-476473
2018-05-20,33.665,34.16,33.44,0.7199999999999989,0.5999999999999943,34.03,34.55,33.59,0.9599999999999937,0.5600000000000023,33.2875,33.61,32.84,0.769999999999996,0.38000000000000256,33.7525,34.43,33.15,1.2800000000000011,0.529999999999994,7015082,10724228,4896309,5827919,-5827919
2018-05-27,34.054,34.42,33.69,0.730000000000004,0.5200000000000031,34.378,34.76,33.98,0.7800000000000011,0.3200000000000003,33.622,34.07,33.43,0.6400000000000006,0.03999999999999915,34.024,34.41,33.72,0.6899999999999977,0.13000000000000256,4384008,5117789,3552385,1565404,809156
2018-06-03,33.644,34.06,33.18,0.8800000000000026,-0.6000000000000014,33.942,34.29,33.52,0.769999999999996,-0.6899999999999977,33.158,33.5,32.66,0.8400000000000034,-0.8300000000000054,33.379999999999995,33.94,32.66,1.2800000000000011,-0.990000000000002,4937657,6026645,4097860,1928785,1440243
