Date,WisdomTree LargeCap Dividend_etf_Open_average,WisdomTree LargeCap Dividend_etf_Open_max,WisdomTree LargeCap Dividend_etf_Open_min,WisdomTree LargeCap Dividend_etf_Open_volatility,WisdomTree LargeCap Dividend_etf_Open_change,WisdomTree LargeCap Dividend_etf_High_average,WisdomTree LargeCap Dividend_etf_High_max,WisdomTree LargeCap Dividend_etf_High_min,WisdomTree LargeCap Dividend_etf_High_volatility,WisdomTree LargeCap Dividend_etf_High_change,WisdomTree LargeCap Dividend_etf_Low_average,WisdomTree LargeCap Dividend_etf_Low_max,WisdomTree LargeCap Dividend_etf_Low_min,WisdomTree LargeCap Dividend_etf_Low_volatility,WisdomTree LargeCap Dividend_etf_Low_change,WisdomTree LargeCap Dividend_etf_Close_average,WisdomTree LargeCap Dividend_etf_Close_max,WisdomTree LargeCap Dividend_etf_Close_min,WisdomTree LargeCap Dividend_etf_Close_volatility,WisdomTree LargeCap Dividend_etf_Close_change
2018-01-14,95.36,95.36,95.36,0.0,0.0,95.47,95.47,95.47,0.0,0.0,95.11,95.11,95.11,0.0,0.0,95.47,95.47,95.47,0.0,0.0
2018-01-21,96.42,96.42,96.42,0.0,0.0,97.25,97.25,97.25,0.0,0.0,96.15,96.15,96.15,0.0,0.0,97.25,97.25,97.25,0.0,0.0
2018-01-28,94.87,94.87,94.87,0.0,0.0,94.87,94.87,94.87,0.0,0.0,93.35,93.35,93.35,0.0,0.0,93.45,93.45,93.45,0.0,0.0
2018-02-04,88.46,88.46,88.46,0.0,0.0,89.46,89.46,89.46,0.0,0.0,86.16,86.16,86.16,0.0,0.0,88.75,88.75,88.75,0.0,0.0
2018-02-11,91.89,91.89,91.89,0.0,0.0,93.0,93.0,93.0,0.0,0.0,91.89,91.89,91.89,0.0,0.0,92.27,92.27,92.27,0.0,0.0
2018-02-18,91.21,91.21,91.21,0.0,0.0,92.17,92.17,92.17,0.0,0.0,91.11,91.11,91.11,0.0,0.0,92.16,92.16,92.16,0.0,0.0
2018-02-25,89.32,89.32,89.32,0.0,0.0,90.5,90.5,90.5,0.0,0.0,89.23,89.23,89.23,0.0,0.0,90.37,90.37,90.37,0.0,0.0
2018-03-04,92.14,92.14,92.14,0.0,0.0,92.91,92.91,92.91,0.0,0.0,91.95,91.95,91.95,0.0,0.0,92.89,92.89,92.89,0.0,0.0
2018-03-11,91.73,91.73,91.73,0.0,0.0,92.16,92.16,92.16,0.0,0.0,91.73,91.73,91.73,0.0,0.0,91.87,91.87,91.87,0.0,0.0
2018-03-18,88.17,88.17,88.17,0.0,0.0,88.36,88.36,88.36,0.0,0.0,86.24,86.24,86.24,0.0,0.0,86.3,86.3,86.3,0.0,0.0
2018-03-25,88.0,88.0,88.0,0.0,0.0,88.96,88.96,88.96,0.0,0.0,87.86,87.86,87.86,0.0,0.0,88.49,88.49,88.49,0.0,0.0
2018-04-01,88.9,88.9,88.9,0.0,0.0,89.25,89.25,89.25,0.0,0.0,87.09,87.09,87.09,0.0,0.0,87.71,87.71,87.71,0.0,0.0
2018-04-08,89.85,89.85,89.85,0.0,0.0,89.85,89.85,89.85,0.0,0.0,88.87,88.87,88.87,0.0,0.0,89.17,89.17,89.17,0.0,0.0
2018-04-15,89.73,89.73,89.73,0.0,0.0,89.73,89.73,89.73,0.0,0.0,88.72,88.72,88.72,0.0,0.0,88.95,88.95,88.95,0.0,0.0
2018-04-22,88.98,88.98,88.98,0.0,0.0,89.3,89.3,89.3,0.0,0.0,88.94,88.94,88.94,0.0,0.0,89.17,89.17,89.17,0.0,0.0
2018-04-29,87.24,87.24,87.24,0.0,0.0,88.73,88.73,88.73,0.0,0.0,87.24,87.24,87.24,0.0,0.0,88.54,88.54,88.54,0.0,0.0
2018-05-06,90.3,90.3,90.3,0.0,0.0,90.6,90.6,90.6,0.0,0.0,90.21,90.21,90.21,0.0,0.0,90.42,90.42,90.42,0.0,0.0
2018-05-13,90.27,90.27,90.27,0.0,0.0,90.27,90.27,90.27,0.0,0.0,90.02,90.02,90.02,0.0,0.0,90.08,90.08,90.08,0.0,0.0
2018-05-20,90.17,90.17,90.17,0.0,0.0,90.27,90.27,90.27,0.0,0.0,89.88,89.88,89.88,0.0,0.0,90.1,90.1,90.1,0.0,0.0
2018-05-27,90.06,90.06,90.06,0.0,0.0,90.5,90.5,90.5,0.0,0.0,90.06,90.06,90.06,0.0,0.0,90.38,90.38,90.38,0.0,0.0
2018-06-03,91.44,91.44,91.44,0.0,0.0,91.89,91.89,91.89,0.0,0.0,91.44,91.44,91.44,0.0,0.0,91.88,91.88,91.88,0.0,0.0
2018-06-10,91.22,91.22,91.22,0.0,0.0,91.58,91.58,91.58,0.0,0.0,90.92,90.92,90.92,0.0,0.0,91.5,91.5,91.5,0.0,0.0
2018-06-17,90.85,90.85,90.85,0.0,0.0,90.97,90.97,90.97,0.0,0.0,90.68,90.68,90.68,0.0,0.0,90.68,90.68,90.68,0.0,0.0
2018-06-24,89.98,89.98,89.98,0.0,0.0,90.53,90.53,90.53,0.0,0.0,89.75,89.75,89.75,0.0,0.0,89.75,89.75,89.75,0.0,0.0
2018-07-01,90.35,90.35,90.35,0.0,0.0,91.08,91.08,91.08,0.0,0.0,90.35,90.35,90.35,0.0,0.0,90.98,90.98,90.98,0.0,0.0
2018-07-08,91.77,91.77,91.77,0.0,0.0,92.08,92.08,92.08,0.0,0.0,91.77,91.77,91.77,0.0,0.0,91.98,91.98,91.98,0.0,0.0
2018-07-15,91.85,91.85,91.85,0.0,0.0,91.99,91.99,91.99,0.0,0.0,91.77,91.77,91.77,0.0,0.0,91.86,91.86,91.86,0.0,0.0
