Date,iShares Russell Mid-Cap Value_etf_Open_average,iShares Russell Mid-Cap Value_etf_Open_max,iShares Russell Mid-Cap Value_etf_Open_min,iShares Russell Mid-Cap Value_etf_Open_volatility,iShares Russell Mid-Cap Value_etf_Open_change,iShares Russell Mid-Cap Value_etf_High_average,iShares Russell Mid-Cap Value_etf_High_max,iShares Russell Mid-Cap Value_etf_High_min,iShares Russell Mid-Cap Value_etf_High_volatility,iShares Russell Mid-Cap Value_etf_High_change,iShares Russell Mid-Cap Value_etf_Low_average,iShares Russell Mid-Cap Value_etf_Low_max,iShares Russell Mid-Cap Value_etf_Low_min,iShares Russell Mid-Cap Value_etf_Low_volatility,iShares Russell Mid-Cap Value_etf_Low_change,iShares Russell Mid-Cap Value_etf_Close_average,iShares Russell Mid-Cap Value_etf_Close_max,iShares Russell Mid-Cap Value_etf_Close_min,iShares Russell Mid-Cap Value_etf_Close_volatility,iShares Russell Mid-Cap Value_etf_Close_change
2018-01-14,91.01,91.01,91.01,0.0,0.0,91.5,91.5,91.5,0.0,0.0,90.91,90.91,90.91,0.0,0.0,91.47,91.47,91.47,0.0,0.0
2018-01-21,92.51,92.51,92.51,0.0,0.0,92.84,92.84,92.84,0.0,0.0,92.2,92.2,92.2,0.0,0.0,92.83,92.83,92.83,0.0,0.0
2018-01-28,90.29,90.29,90.29,0.0,0.0,90.35,90.35,90.35,0.0,0.0,89.01,89.01,89.01,0.0,0.0,89.11,89.11,89.11,0.0,0.0
2018-02-04,84.76,84.76,84.76,0.0,0.0,85.47,85.47,85.47,0.0,0.0,82.4,82.4,82.4,0.0,0.0,84.93,84.93,84.93,0.0,0.0
2018-02-11,88.02,88.02,88.02,0.0,0.0,88.96,88.96,88.96,0.0,0.0,87.99,87.99,87.99,0.0,0.0,88.41,88.41,88.41,0.0,0.0
2018-02-18,87.56,87.56,87.56,0.0,0.0,88.4,88.4,88.4,0.0,0.0,87.41,87.41,87.41,0.0,0.0,88.37,88.37,88.37,0.0,0.0
2018-02-25,85.57,85.57,85.57,0.0,0.0,86.72,86.72,86.72,0.0,0.0,85.19,85.19,85.19,0.0,0.0,86.6,86.6,86.6,0.0,0.0
2018-03-04,88.83,88.83,88.83,0.0,0.0,89.51,89.51,89.51,0.0,0.0,88.6,88.6,88.6,0.0,0.0,89.5,89.5,89.5,0.0,0.0
2018-03-11,88.45,88.45,88.45,0.0,0.0,89.16,89.16,89.16,0.0,0.0,88.45,88.45,88.45,0.0,0.0,88.97,88.97,88.97,0.0,0.0
2018-03-18,86.05,86.05,86.05,0.0,0.0,86.41,86.41,86.41,0.0,0.0,84.26,84.26,84.26,0.0,0.0,84.34,84.34,84.34,0.0,0.0
2018-03-25,85.83,85.83,85.83,0.0,0.0,86.75,86.75,86.75,0.0,0.0,85.58,85.58,85.58,0.0,0.0,86.43,86.43,86.43,0.0,0.0
2018-04-01,86.67,86.67,86.67,0.0,0.0,87.01,87.01,87.01,0.0,0.0,84.85,84.85,84.85,0.0,0.0,85.45,85.45,85.45,0.0,0.0
2018-04-08,87.07,87.07,87.07,0.0,0.0,87.14,87.14,87.14,0.0,0.0,86.23,86.23,86.23,0.0,0.0,86.5,86.5,86.5,0.0,0.0
2018-04-15,87.9,87.9,87.9,0.0,0.0,88.0,88.0,88.0,0.0,0.0,87.13,87.13,87.13,0.0,0.0,87.37,87.37,87.37,0.0,0.0
2018-04-22,87.42,87.42,87.42,0.0,0.0,87.79,87.79,87.79,0.0,0.0,87.26,87.26,87.26,0.0,0.0,87.63,87.63,87.63,0.0,0.0
2018-04-29,85.61,85.61,85.61,0.0,0.0,87.17,87.17,87.17,0.0,0.0,85.47,85.47,85.47,0.0,0.0,86.89,86.89,86.89,0.0,0.0
2018-05-06,88.36,88.36,88.36,0.0,0.0,88.57,88.57,88.57,0.0,0.0,88.1,88.1,88.1,0.0,0.0,88.24,88.24,88.24,0.0,0.0
2018-05-13,88.38,88.38,88.38,0.0,0.0,88.38,88.38,88.38,0.0,0.0,88.08,88.08,88.08,0.0,0.0,88.17,88.17,88.17,0.0,0.0
2018-05-20,88.33,88.33,88.33,0.0,0.0,88.4,88.4,88.4,0.0,0.0,88.04,88.04,88.04,0.0,0.0,88.27,88.27,88.27,0.0,0.0
2018-05-27,88.37,88.37,88.37,0.0,0.0,88.56,88.56,88.56,0.0,0.0,88.15,88.15,88.15,0.0,0.0,88.33,88.33,88.33,0.0,0.0
2018-06-03,89.26,89.26,89.26,0.0,0.0,89.69,89.69,89.69,0.0,0.0,89.17,89.17,89.17,0.0,0.0,89.66,89.66,89.66,0.0,0.0
2018-06-10,89.26,89.26,89.26,0.0,0.0,89.49,89.49,89.49,0.0,0.0,88.84,88.84,88.84,0.0,0.0,89.41,89.41,89.41,0.0,0.0
2018-06-17,89.63,89.63,89.63,0.0,0.0,89.78,89.78,89.78,0.0,0.0,89.41,89.41,89.41,0.0,0.0,89.41,89.41,89.41,0.0,0.0
2018-06-24,88.7,88.7,88.7,0.0,0.0,89.22,89.22,89.22,0.0,0.0,88.49,88.49,88.49,0.0,0.0,88.49,88.49,88.49,0.0,0.0
2018-07-01,88.72,88.72,88.72,0.0,0.0,89.51,89.51,89.51,0.0,0.0,88.55,88.55,88.55,0.0,0.0,89.36,89.36,89.36,0.0,0.0
2018-07-08,89.5,89.5,89.5,0.0,0.0,89.83,89.83,89.83,0.0,0.0,89.5,89.5,89.5,0.0,0.0,89.55,89.55,89.55,0.0,0.0
2018-07-15,89.69,89.69,89.69,0.0,0.0,89.73,89.73,89.73,0.0,0.0,89.35,89.35,89.35,0.0,0.0,89.46,89.46,89.46,0.0,0.0
2018-07-22,90.34,90.34,90.34,0.0,0.0,90.55,90.55,90.55,0.0,0.0,89.64,89.64,89.64,0.0,0.0,89.85,89.85,89.85,0.0,0.0
2018-07-29,90.07,90.07,90.07,0.0,0.0,90.54,90.54,90.54,0.0,0.0,90.07,90.07,90.07,0.0,0.0,90.53,90.53,90.53,0.0,0.0
2018-08-05,90.13,90.13,90.13,0.0,0.0,90.3,90.3,90.3,0.0,0.0,89.88,89.88,89.88,0.0,0.0,89.95,89.95,89.95,0.0,0.0
