Date,iShares Global Infrastructure_Open_average,iShares Global Infrastructure_Open_max,iShares Global Infrastructure_Open_min,iShares Global Infrastructure_Open_volatility,iShares Global Infrastructure_Open_change,iShares Global Infrastructure_High_average,iShares Global Infrastructure_High_max,iShares Global Infrastructure_High_min,iShares Global Infrastructure_High_volatility,iShares Global Infrastructure_High_change,iShares Global Infrastructure_Low_average,iShares Global Infrastructure_Low_max,iShares Global Infrastructure_Low_min,iShares Global Infrastructure_Low_volatility,iShares Global Infrastructure_Low_change,iShares Global Infrastructure_Close_average,iShares Global Infrastructure_Close_max,iShares Global Infrastructure_Close_min,iShares Global Infrastructure_Close_volatility,iShares Global Infrastructure_Close_change
2018-01-14,45.78,45.78,45.78,0.0,0.0,45.96,45.96,45.96,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.95,45.95,45.95,0.0,0.0
2018-01-21,46.14,46.14,46.14,0.0,0.0,46.14,46.14,46.14,0.0,0.0,45.74,45.74,45.74,0.0,0.0,45.78,45.78,45.78,0.0,0.0
2018-01-28,44.38,44.38,44.38,0.0,0.0,44.47,44.47,44.47,0.0,0.0,43.23,43.23,43.23,0.0,0.0,43.31,43.31,43.31,0.0,0.0
2018-02-04,42.75,42.75,42.75,0.0,0.0,43.21,43.21,43.21,0.0,0.0,42.58,42.58,42.58,0.0,0.0,43.07,43.07,43.07,0.0,0.0
2018-02-11,44.07,44.07,44.07,0.0,0.0,44.31,44.31,44.31,0.0,0.0,43.93,43.93,43.93,0.0,0.0,44.09,44.09,44.09,0.0,0.0
2018-02-18,43.94,43.94,43.94,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.63,43.63,43.63,0.0,0.0,43.88,43.88,43.88,0.0,0.0
2018-02-25,42.3,42.3,42.3,0.0,0.0,42.95,42.95,42.95,0.0,0.0,42.3,42.3,42.3,0.0,0.0,42.92,42.92,42.92,0.0,0.0
2018-03-04,43.5,43.5,43.5,0.0,0.0,43.65,43.65,43.65,0.0,0.0,43.39,43.39,43.39,0.0,0.0,43.54,43.54,43.54,0.0,0.0
2018-03-11,43.12,43.12,43.12,0.0,0.0,43.16,43.16,43.16,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.93,42.93,42.93,0.0,0.0
2018-03-18,42.37,42.37,42.37,0.0,0.0,42.51,42.51,42.51,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.49,42.49,42.49,0.0,0.0
2018-03-25,42.91,42.91,42.91,0.0,0.0,42.91,42.91,42.91,0.0,0.0,42.06,42.06,42.06,0.0,0.0,42.37,42.37,42.37,0.0,0.0
2018-04-01,43.1,43.1,43.1,0.0,0.0,43.35,43.35,43.35,0.0,0.0,42.99,42.99,42.99,0.0,0.0,43.11,43.11,43.11,0.0,0.0
2018-04-08,43.43,43.43,43.43,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.37,43.37,43.37,0.0,0.0,43.64,43.64,43.64,0.0,0.0
2018-04-15,43.43,43.43,43.43,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.32,43.32,43.32,0.0,0.0
2018-04-22,43.84,43.84,43.84,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.67,43.67,43.67,0.0,0.0,43.71,43.71,43.71,0.0,0.0
2018-04-29,43.89,43.89,43.89,0.0,0.0,44.13,44.13,44.13,0.0,0.0,43.86,43.86,43.86,0.0,0.0,43.95,43.95,43.95,0.0,0.0
2018-05-06,44.09,44.09,44.09,0.0,0.0,44.18,44.18,44.18,0.0,0.0,43.95,43.95,43.95,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2018-05-13,43.25,43.25,43.25,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.1,43.1,43.1,0.0,0.0,43.24,43.24,43.24,0.0,0.0
2018-05-20,42.81,42.81,42.81,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.68,42.68,42.68,0.0,0.0,42.86,42.86,42.86,0.0,0.0
2018-05-27,43.04,43.04,43.04,0.0,0.0,43.21,43.21,43.21,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.89,42.89,42.89,0.0,0.0
2018-06-03,42.5,42.5,42.5,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2018-06-10,42.76,42.76,42.76,0.0,0.0,43.02,43.02,43.02,0.0,0.0,42.75,42.75,42.75,0.0,0.0,43.01,43.01,43.01,0.0,0.0
2018-06-17,42.54,42.54,42.54,0.0,0.0,42.58,42.58,42.58,0.0,0.0,42.34,42.34,42.34,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2018-06-24,42.75,42.75,42.75,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.56,42.56,42.56,0.0,0.0,42.83,42.83,42.83,0.0,0.0
2018-07-01,44.04,44.04,44.04,0.0,0.0,44.06,44.06,44.06,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.51,43.51,43.51,0.0,0.0
2018-07-08,43.47,43.47,43.47,0.0,0.0,43.78,43.78,43.78,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.52,43.52,43.52,0.0,0.0
2018-07-15,43.46,43.46,43.46,0.0,0.0,43.53,43.53,43.53,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.38,43.38,43.38,0.0,0.0
2018-07-22,43.64,43.64,43.64,0.0,0.0,43.65,43.65,43.65,0.0,0.0,43.51,43.51,43.51,0.0,0.0,43.52,43.52,43.52,0.0,0.0
2018-07-29,43.42,43.42,43.42,0.0,0.0,43.69,43.69,43.69,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.61,43.61,43.61,0.0,0.0
2018-08-05,43.13,43.13,43.13,0.0,0.0,43.17,43.17,43.17,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.97,42.97,42.97,0.0,0.0
2018-08-12,42.86,42.86,42.86,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.83,42.83,42.83,0.0,0.0,42.99,42.99,42.99,0.0,0.0
