Date,SPDR S&P Kensho Smart MobilityEtf_Open_average,SPDR S&P Kensho Smart MobilityEtf_Open_max,SPDR S&P Kensho Smart MobilityEtf_Open_min,SPDR S&P Kensho Smart MobilityEtf_Open_volatility,SPDR S&P Kensho Smart MobilityEtf_Open_change,SPDR S&P Kensho Smart MobilityEtf_High_average,SPDR S&P Kensho Smart MobilityEtf_High_max,SPDR S&P Kensho Smart MobilityEtf_High_min,SPDR S&P Kensho Smart MobilityEtf_High_volatility,SPDR S&P Kensho Smart MobilityEtf_High_change,SPDR S&P Kensho Smart MobilityEtf_Low_average,SPDR S&P Kensho Smart MobilityEtf_Low_max,SPDR S&P Kensho Smart MobilityEtf_Low_min,SPDR S&P Kensho Smart MobilityEtf_Low_volatility,SPDR S&P Kensho Smart MobilityEtf_Low_change,SPDR S&P Kensho Smart MobilityEtf_Close_average,SPDR S&P Kensho Smart MobilityEtf_Close_max,SPDR S&P Kensho Smart MobilityEtf_Close_min,SPDR S&P Kensho Smart MobilityEtf_Close_volatility,SPDR S&P Kensho Smart MobilityEtf_Close_change
2018-01-14,31.85,31.85,31.85,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2018-01-21,32.0,32.0,32.0,0.0,0.0,32.09,32.09,32.09,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2018-01-28,31.47,31.47,31.47,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2018-02-04,29.6,29.6,29.6,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2018-02-11,30.71,30.71,30.71,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2018-02-18,30.69,30.69,30.69,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2018-02-25,29.93,29.93,29.93,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2018-03-04,31.4,31.4,31.4,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.42,31.42,31.42,0.0,0.0
2018-03-11,31.21,31.21,31.21,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-03-18,30.34,30.34,30.34,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2018-03-25,29.31,29.31,29.31,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.31,29.31,29.31,0.0,0.0
2018-04-01,29.34,29.34,29.34,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2018-04-08,30.03,30.03,30.03,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2018-04-15,30.05,30.05,30.05,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2018-04-22,30.56,30.56,30.56,0.0,0.0,30.56,30.56,30.56,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2018-04-29,29.57,29.57,29.57,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2018-05-06,30.4,30.4,30.4,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2018-05-13,30.44,30.44,30.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-05-20,30.21,30.21,30.21,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.24,30.24,30.24,0.0,0.0
2018-05-27,30.44,30.44,30.44,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-06-03,30.98,30.98,30.98,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.1,31.1,31.1,0.0,0.0
2018-06-10,31.41,31.41,31.41,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.48,31.48,31.48,0.0,0.0
2018-06-17,31.46,31.46,31.46,0.0,0.0,31.46,31.46,31.46,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2018-06-24,29.6,29.6,29.6,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2018-07-01,30.24,30.24,30.24,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.24,30.24,30.24,0.0,0.0
2018-07-08,30.87,30.87,30.87,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2018-07-15,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2018-07-22,29.98,29.98,29.98,0.0,0.0,30.44,30.44,30.44,0.0,0.0,29.98,29.98,29.98,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-07-29,30.59,30.59,30.59,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-08-05,30.85,30.85,30.85,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.85,30.85,30.85,0.0,0.0
2018-08-12,30.09,30.09,30.09,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2018-08-19,30.49,30.49,30.49,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2018-08-26,31.28,31.28,31.28,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-09-02,30.53,30.53,30.53,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-09-09,30.8,30.8,30.8,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.81,30.81,30.81,0.0,0.0
2018-09-16,31.47,31.47,31.47,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2018-09-23,30.8,30.8,30.8,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2018-09-30,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2018-10-07,28.07,28.07,28.07,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.07,28.07,28.07,0.0,0.0
2018-10-14,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-10-21,25.05,25.05,25.05,0.0,0.0,26.68,26.68,26.68,0.0,0.0,25.05,25.05,25.05,0.0,0.0,26.29,26.29,26.29,0.0,0.0
2018-10-28,26.62,26.62,26.62,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2018-11-04,28.26,28.26,28.26,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-11-11,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2018-11-18,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2018-11-25,27.18,27.18,27.18,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.18,27.18,27.18,0.0,0.0
2018-12-02,26.06,26.06,26.06,0.0,0.0,26.08,26.08,26.08,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.88,25.88,25.88,0.0,0.0
2018-12-09,25.43,25.43,25.43,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-12-16,23.67,23.67,23.67,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.32,23.32,23.32,0.0,0.0
2018-12-23,23.47,23.47,23.47,0.0,0.0,23.52,23.52,23.52,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2018-12-30,23.52,23.52,23.52,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.52,23.52,23.52,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2019-01-06,25.74,25.74,25.74,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.87,25.87,25.87,0.0,0.0
