Date,ProShares K-1 Free Crude Oil Strategy_Open_average,ProShares K-1 Free Crude Oil Strategy_Open_max,ProShares K-1 Free Crude Oil Strategy_Open_min,ProShares K-1 Free Crude Oil Strategy_Open_volatility,ProShares K-1 Free Crude Oil Strategy_Open_change,ProShares K-1 Free Crude Oil Strategy_High_average,ProShares K-1 Free Crude Oil Strategy_High_max,ProShares K-1 Free Crude Oil Strategy_High_min,ProShares K-1 Free Crude Oil Strategy_High_volatility,ProShares K-1 Free Crude Oil Strategy_High_change,ProShares K-1 Free Crude Oil Strategy_Low_average,ProShares K-1 Free Crude Oil Strategy_Low_max,ProShares K-1 Free Crude Oil Strategy_Low_min,ProShares K-1 Free Crude Oil Strategy_Low_volatility,ProShares K-1 Free Crude Oil Strategy_Low_change,ProShares K-1 Free Crude Oil Strategy_Close_average,ProShares K-1 Free Crude Oil Strategy_Close_max,ProShares K-1 Free Crude Oil Strategy_Close_min,ProShares K-1 Free Crude Oil Strategy_Close_volatility,ProShares K-1 Free Crude Oil Strategy_Close_change
2018-01-14,22.79,22.79,22.79,0.0,0.0,22.92,22.92,22.92,0.0,0.0,22.75,22.75,22.75,0.0,0.0,22.92,22.92,22.92,0.0,0.0
2018-01-21,23.6,23.6,23.6,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.53,23.53,23.53,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2018-01-28,23.33,23.33,23.33,0.0,0.0,23.46,23.46,23.46,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.92,22.92,22.92,0.0,0.0
2018-02-04,21.52,21.52,21.52,0.0,0.0,21.69,21.69,21.69,0.0,0.0,21.33,21.33,21.33,0.0,0.0,21.35,21.35,21.35,0.0,0.0
2018-02-11,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0
2018-02-18,22.89,22.89,22.89,0.0,0.0,23.15,23.15,23.15,0.0,0.0,22.89,22.89,22.89,0.0,0.0,23.09,23.09,23.09,0.0,0.0
2018-02-25,22.28,22.28,22.28,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.28,22.28,22.28,0.0,0.0
2018-03-04,22.26,22.26,22.26,0.0,0.0,22.26,22.26,22.26,0.0,0.0,22.26,22.26,22.26,0.0,0.0,22.26,22.26,22.26,0.0,0.0
2018-03-11,22.29,22.29,22.29,0.0,0.0,22.51,22.51,22.51,0.0,0.0,22.29,22.29,22.29,0.0,0.0,22.5,22.5,22.5,0.0,0.0
2018-03-18,118.65,118.65,118.65,0.0,0.0,118.65,118.65,118.65,0.0,0.0,118.38,118.38,118.38,0.0,0.0,118.6,118.6,118.6,0.0,0.0
2018-03-25,114.15,114.15,114.15,0.0,0.0,114.22,114.22,114.22,0.0,0.0,114.0,114.0,114.0,0.0,0.0,114.22,114.22,114.22,0.0,0.0
2018-04-01,114.7,114.7,114.7,0.0,0.0,114.7,114.7,114.7,0.0,0.0,114.35,114.35,114.35,0.0,0.0,114.35,114.35,114.35,0.0,0.0
2018-04-08,121.1,121.1,121.1,0.0,0.0,121.1,121.1,121.1,0.0,0.0,120.0,120.0,120.0,0.0,0.0,120.25,120.25,120.25,0.0,0.0
2018-04-15,122.1,122.1,122.1,0.0,0.0,124.98,124.98,124.98,0.0,0.0,122.1,122.1,122.1,0.0,0.0,124.98,124.98,124.98,0.0,0.0
2018-04-22,122.2,122.2,122.2,0.0,0.0,124.5,124.5,124.5,0.0,0.0,122.2,122.2,122.2,0.0,0.0,123.93,123.93,123.93,0.0,0.0
2018-04-29,127.45,127.45,127.45,0.0,0.0,128.2,128.2,128.2,0.0,0.0,126.5,126.5,126.5,0.0,0.0,126.55,126.55,126.55,0.0,0.0
2018-05-06,128.3,128.3,128.3,0.0,0.0,129.45,129.45,129.45,0.0,0.0,128.29,128.29,128.29,0.0,0.0,128.99,128.99,128.99,0.0,0.0
2018-05-13,130.0,130.0,130.0,0.0,0.0,131.6,131.6,131.6,0.0,0.0,129.94,129.94,129.94,0.0,0.0,131.5,131.5,131.5,0.0,0.0
2018-05-20,124.95,124.95,124.95,0.0,0.0,124.95,124.95,124.95,0.0,0.0,122.7,122.7,122.7,0.0,0.0,122.95,122.95,122.95,0.0,0.0
2018-05-27,119.45,119.45,119.45,0.0,0.0,119.45,119.45,119.45,0.0,0.0,117.3,117.3,117.3,0.0,0.0,117.61,117.61,117.61,0.0,0.0
2018-06-03,118.05,118.05,118.05,0.0,0.0,120.05,120.05,120.05,0.0,0.0,118.05,118.05,118.05,0.0,0.0,119.85,119.85,119.85,0.0,0.0
