Date,TRXC_Open_average,TRXC_Open_max,TRXC_Open_min,TRXC_Open_volatility,TRXC_Open_change,TRXC_High_average,TRXC_High_max,TRXC_High_min,TRXC_High_volatility,TRXC_High_change,TRXC_Low_average,TRXC_Low_max,TRXC_Low_min,TRXC_Low_volatility,TRXC_Low_change,TRXC_Close_average,TRXC_Close_max,TRXC_Close_min,TRXC_Close_volatility,TRXC_Close_change,TRXC_Volume_average,TRXC_Volume_max,TRXC_Volume_min,TRXC_Volume_volatility,TRXC_Volume_change
2018-01-14,25.012,26.26,23.79,2.4700000000000024,0.9100000000000001,25.818,26.78,24.7,2.080000000000002,0.5199999999999996,24.439999999999998,25.48,23.4,2.080000000000002,0.6500000000000021,24.934,26.0,24.05,1.9499999999999993,0.7800000000000011,20251,28433,14287,14146,10646
2018-01-21,25.376,26.0,24.7,1.3000000000000007,-0.9100000000000001,25.714,26.39,24.7,1.6900000000000013,-1.4299999999999997,24.726,25.61,23.92,1.6899999999999977,-1.6899999999999977,25.038,26.0,24.18,1.8200000000000003,-1.8200000000000003,15772,19236,10809,8427,3798
2018-01-28,22.36,24.05,19.5,4.550000000000001,-4.550000000000001,22.607,24.18,20.215,3.965,-3.965,21.19,23.14,18.85,4.289999999999999,-4.16,21.372,23.4,18.98,4.419999999999998,-4.16,20282,30720,10697,20023,-695
2018-02-04,17.914,18.46,17.16,1.3000000000000007,-0.5199999999999996,18.356,19.37,17.42,1.9499999999999993,-1.9499999999999993,17.264,17.94,16.51,1.4299999999999997,-0.6500000000000021,17.81,18.46,17.29,1.1700000000000017,-1.0399999999999991,12475,20633,5708,14925,-14925
2018-02-11,18.265,19.24,17.68,1.5599999999999987,0.7800000000000011,19.5,22.36,17.68,4.68,0.7800000000000011,17.4525,17.81,17.03,0.7799999999999976,0.6499999999999986,18.1025,18.72,17.29,1.4299999999999997,0.9100000000000001,19709,49201,8788,40413,-1429
2018-02-18,20.436,22.23,18.2,4.030000000000001,4.030000000000001,22.36,25.74,20.41,5.329999999999998,5.329999999999998,20.02,22.1,18.07,4.030000000000001,4.030000000000001,21.814,25.61,19.37,6.239999999999998,6.239999999999998,23597,33403,11211,22192,15779
2018-02-25,25.064,26.26,23.66,2.6000000000000014,-0.5199999999999996,25.948,27.04,24.96,2.0799999999999983,0.7799999999999976,23.764,24.96,22.75,2.210000000000001,1.1700000000000017,25.349999999999998,26.65,24.31,2.34,0.5199999999999996,29982,46610,20402,26208,-10123
2018-03-04,23.452,26.65,22.1,4.549999999999997,-4.029999999999998,24.518,27.17,22.75,4.420000000000002,-3.3800000000000026,22.541999999999998,24.31,21.58,2.7300000000000004,-1.6899999999999977,23.374000000000002,24.44,22.62,1.8200000000000003,-1.3000000000000007,22273,36841,11366,25475,-23963
2018-03-11,22.152,23.14,21.06,2.080000000000002,-2.080000000000002,22.412,23.4,21.45,1.9499999999999993,-1.9499999999999993,21.242,21.84,20.54,1.3000000000000007,-1.1700000000000017,21.866,22.88,21.19,1.6899999999999977,-1.1699999999999982,11379,14519,7875,6644,-2615
2018-03-18,22.490000000000002,24.18,21.71,2.469999999999999,0.39000000000000057,23.14,24.57,22.1,2.469999999999999,-2.469999999999999,21.502,22.49,20.8,1.6899999999999977,-0.259999999999998,22.464,24.31,21.45,2.8599999999999994,-2.34,16501,28858,8301,20557,-20557
2018-03-25,21.905,22.36,21.19,1.1699999999999982,-0.13000000000000256,22.425,22.62,21.84,0.7800000000000011,0.0,21.32,21.58,20.8,0.7799999999999976,0.129999999999999,21.58,22.1,20.8,1.3000000000000007,0.5199999999999996,16400,30752,7582,23170,-22591
2018-04-01,22.567999999999998,23.4,21.84,1.5599999999999987,0.9100000000000001,23.556,24.05,23.075,0.9750000000000014,0.06499999999999773,22.009,22.62,21.515,1.1050000000000004,0.7149999999999999,22.88,23.92,21.84,2.080000000000002,-0.6500000000000021,14900,22200,8477,13723,-13723
2018-04-08,23.764,25.09,22.62,2.469999999999999,1.0399999999999991,24.804,26.0,23.53,2.469999999999999,0.7799999999999976,23.166,23.53,22.49,1.0400000000000027,0.39000000000000057,24.05,24.96,23.53,1.4299999999999997,0.5199999999999996,11536,25355,7519,17836,461
2018-04-15,24.544,25.74,23.66,2.0799999999999983,1.0399999999999991,25.064,26.26,24.31,1.9500000000000028,0.39000000000000057,23.673000000000002,24.245,23.14,1.1050000000000004,0.5199999999999996,24.44,25.48,23.79,1.6900000000000013,-0.39000000000000057,12485,23521,3757,19764,-2293
2018-04-22,22.88,24.05,22.1,1.9499999999999993,-1.8200000000000003,23.283,24.05,22.88,1.1700000000000017,-1.0399999999999991,22.061,22.75,21.58,1.1700000000000017,-0.8449999999999989,22.593999999999998,23.4,21.97,1.4299999999999997,-1.0399999999999991,14438,28138,4331,23807,-14679
2018-04-29,22.074,22.23,21.84,0.39000000000000057,0.0,22.867,23.92,22.1,1.8200000000000003,0.7800000000000011,21.657999999999998,22.23,21.45,0.7800000000000011,0.6500000000000021,22.178,23.27,21.84,1.4299999999999997,1.4299999999999997,10121,13615,8466,5149,5149
2018-05-06,26.52,28.08,23.53,4.549999999999997,4.549999999999997,28.184,32.11,23.79,8.32,8.32,25.791999999999998,27.82,22.88,4.940000000000001,4.940000000000001,27.274,31.46,23.79,7.670000000000002,7.670000000000002,38450,86246,8502,77744,33304
2018-05-13,36.686,41.6,32.24,9.36,9.36,39.234,45.5,35.1,10.399999999999999,10.399999999999999,35.516,40.69,30.42,10.269999999999996,10.269999999999996,38.584,44.59,34.71,9.880000000000003,9.880000000000003,61338,148294,27373,120921,103783
2018-05-20,41.5025,45.5,39.0,6.5,-4.420000000000002,42.8675,45.5,41.47,4.030000000000001,-4.030000000000001,38.805,39.91,36.66,3.25,0.259999999999998,39.942499999999995,41.21,37.96,3.25,0.7800000000000011,48428,67592,39663,27929,-27315
2018-05-27,47.554,50.05,45.37,4.68,0.6499999999999986,48.906,51.35,45.37,5.980000000000004,-0.259999999999998,44.044,46.15,42.25,3.8999999999999986,0.5200000000000031,45.5,48.75,43.94,4.810000000000002,-0.39000000000000057,74358,114292,35641,78651,-45099
