Date,MMYT_Open_average,MMYT_Open_max,MMYT_Open_min,MMYT_Open_volatility,MMYT_Open_change,MMYT_High_average,MMYT_High_max,MMYT_High_min,MMYT_High_volatility,MMYT_High_change,MMYT_Low_average,MMYT_Low_max,MMYT_Low_min,MMYT_Low_volatility,MMYT_Low_change,MMYT_Close_average,MMYT_Close_max,MMYT_Close_min,MMYT_Close_volatility,MMYT_Close_change,MMYT_Volume_average,MMYT_Volume_max,MMYT_Volume_min,MMYT_Volume_volatility,MMYT_Volume_change
2018-01-14,31.7,32.0,31.45,0.5500000000000007,-0.3500000000000014,32.1875,32.9,31.45,1.4499999999999993,-0.8999999999999986,31.4125,31.85,31.05,0.8000000000000007,-0.45000000000000284,31.6,31.95,31.2,0.75,-0.14999999999999858,178821,255907,90504,165403,-12650
2018-01-21,31.19,32.1,30.6,1.5,-0.9500000000000028,31.68,32.3,31.25,1.0499999999999972,-0.5999999999999979,30.48,31.15,29.85,1.2999999999999972,0.5999999999999979,30.89,31.25,30.25,1.0,0.4499999999999993,250796,295784,190196,105588,-75266
2018-01-28,30.76,31.15,30.3,0.8499999999999979,-0.34999999999999787,31.404,31.65,31.2,0.4499999999999993,-0.129999999999999,30.24,30.5,29.7,0.8000000000000007,-0.75,30.7,30.9,30.5,0.3999999999999986,0.14999999999999858,366664,638259,228046,410213,377150
2018-02-04,30.97,32.7,29.3,3.400000000000002,2.2500000000000036,32.2,34.45,30.75,3.700000000000003,2.4999999999999964,29.65,30.65,28.47,2.1799999999999997,-0.41999999999999815,30.72,32.8,29.25,3.549999999999997,-0.6000000000000014,597021,990654,475663,514991,82567
2018-02-11,29.01,29.85,28.3,1.5500000000000007,-0.8500000000000014,29.434,30.5,28.82,1.6799999999999997,-1.5500000000000007,28.330000000000002,29.45,27.6,1.8499999999999979,-1.25,28.78,29.9,28.2,1.6999999999999993,-1.5999999999999979,427220,511497,261059,250438,7529
2018-02-18,29.3,30.0,28.05,1.9499999999999993,1.9499999999999993,29.975,30.25,29.4,0.8500000000000014,0.8500000000000014,28.8375,29.35,28.05,1.3000000000000007,0.6999999999999993,29.725,30.05,29.1,0.9499999999999993,0.9499999999999993,290430,384849,204338,180511,-42057
2018-02-25,30.87,31.65,29.85,1.7999999999999972,1.4499999999999993,31.636,32.98,30.32,2.6599999999999966,2.6599999999999966,30.24,30.95,29.65,1.3000000000000007,1.3000000000000007,31.39,32.85,29.95,2.900000000000002,2.900000000000002,376996,491934,315497,176437,99545
2018-03-04,33.76,34.5,32.6,1.8999999999999986,1.8999999999999986,34.69,35.35,34.35,1.0,0.19999999999999574,32.995999999999995,33.55,31.95,1.5999999999999979,1.129999999999999,34.056,34.35,33.7,0.6499999999999986,-0.3999999999999986,412049,536188,212869,323319,-76439
2018-03-11,35.42,36.35,34.0,2.3500000000000014,1.25,36.43,36.8,36.0,0.7999999999999972,0.14999999999999858,34.58,35.25,33.4,1.8500000000000014,1.25,35.63,36.2,34.95,1.25,-0.7999999999999972,497425,888285,251956,636329,-270094
2018-03-18,34.44,35.05,33.55,1.5,-1.4500000000000028,35.1,35.55,33.95,1.5999999999999943,-1.1999999999999957,33.67,34.35,32.9,1.4500000000000028,-0.8999999999999986,34.12,35.15,33.25,1.8999999999999986,-0.8999999999999986,234088,320316,127882,192434,133481
