Date,SPDR Portfolio MSCI Global_Open_average,SPDR Portfolio MSCI Global_Open_max,SPDR Portfolio MSCI Global_Open_volatility,SPDR Portfolio MSCI Global_Open_change,SPDR Portfolio MSCI Global_High_average,SPDR Portfolio MSCI Global_High_max,SPDR Portfolio MSCI Global_High_volatility,SPDR Portfolio MSCI Global_High_change,SPDR Portfolio MSCI Global_Low_average,SPDR Portfolio MSCI Global_Low_max,SPDR Portfolio MSCI Global_Low_volatility,SPDR Portfolio MSCI Global_Low_change,SPDR Portfolio MSCI Global_Close_average,SPDR Portfolio MSCI Global_Close_max,SPDR Portfolio MSCI Global_Close_volatility,SPDR Portfolio MSCI Global_Close_change
2016-01-03,29.25,29.25,0.0,0.0,29.25,29.25,0.0,0.0,28.25,28.25,0.0,0.0,28.88,28.88,0.0,0.0
2016-01-10,27.77,27.77,0.0,0.0,28.12,28.12,0.0,0.0,27.77,27.77,0.0,0.0,28.12,28.12,0.0,0.0
2016-01-17,28.33,28.33,0.0,0.0,28.37,28.37,0.0,0.0,27.77,27.77,0.0,0.0,28.01,28.01,0.0,0.0
2016-01-24,28.26,28.26,0.0,0.0,29.05,29.05,0.0,0.0,28.26,28.26,0.0,0.0,29.05,29.05,0.0,0.0
2016-01-31,27.15,27.15,0.0,0.0,27.68,27.68,0.0,0.0,27.15,27.15,0.0,0.0,27.68,27.68,0.0,0.0
2016-02-07,27.59,27.59,0.0,0.0,27.89,27.89,0.0,0.0,27.27,27.27,0.0,0.0,27.53,27.53,0.0,0.0
2016-02-14,28.7,28.7,0.0,0.0,29.17,29.17,0.0,0.0,28.7,28.7,0.0,0.0,29.11,29.11,0.0,0.0
2016-02-21,28.36,28.36,0.0,0.0,28.59,28.59,0.0,0.0,28.36,28.36,0.0,0.0,28.59,28.59,0.0,0.0
2016-02-28,30.2,30.2,0.0,0.0,30.2,30.2,0.0,0.0,30.2,30.2,0.0,0.0,30.2,30.2,0.0,0.0
2016-03-06,30.48,30.48,0.0,0.0,30.63,30.63,0.0,0.0,30.45,30.45,0.0,0.0,30.54,30.54,0.0,0.0
2016-03-13,30.95,30.95,0.0,0.0,30.95,30.95,0.0,0.0,30.45,30.45,0.0,0.0,30.46,30.46,0.0,0.0
2016-03-20,30.47,30.47,0.0,0.0,30.47,30.47,0.0,0.0,30.47,30.47,0.0,0.0,30.47,30.47,0.0,0.0
2016-03-27,30.63,30.63,0.0,0.0,30.79,30.79,0.0,0.0,30.6,30.6,0.0,0.0,30.79,30.79,0.0,0.0
2016-04-03,30.85,30.85,0.0,0.0,30.91,30.91,0.0,0.0,30.6,30.6,0.0,0.0,30.73,30.73,0.0,0.0
2016-04-10,31.43,31.43,0.0,0.0,31.49,31.49,0.0,0.0,31.43,31.43,0.0,0.0,31.48,31.48,0.0,0.0
2016-04-17,31.55,31.55,0.0,0.0,31.57,31.57,0.0,0.0,31.43,31.43,0.0,0.0,31.5,31.5,0.0,0.0
